_id,DISTRICTE,BARRI,GRUP,HABITANTS GRUP,HABITANTS,HABITANTS 20-70,TOTAL,LLIURES,ORA,GUALS,PÀRQUINGS,SOLARS,ALTRES,TURISMES,PLACES/HABITANTS,PLACES/HABITANTS 20-70,PLACES/TURISMES,HABITANTS/TURISMES,HABITANTS 20-70/TURISMES,HABITANTS/HABITANTS 20-70
446,RASCANYA,ELS ORRIOLS,Grup 2,"",16423,"",3514,1586,8,1624,0,296,0,"","0,21","","","","",""
447,RASCANYA,TORREFIEL,Grup 2,"",26268,"",8723,2842,0,4761,0,1120,0,"","0,33","","","","",""
448,RASCANYA,SANT LLORENS,Grup 2,"",10879,"",10448,2279,5,7874,0,290,0,"","0,96","","","","",""
449,BENICALAP,BENICALAP,Grup 2,"",40908,"",16855,2864,0,11714,0,2277,0,"","0,41","","","","",""
450,BENICALAP,CIUTAT FALLERA,Grup 2,"",5791,"",1003,310,0,570,0,123,0,"","0,17","","","","",""
451,POBLATS DEL NORD,BENIFARAIG,Grup 2,"",1014,"",158,42,0,116,0,0,0,"","0,16","","","","",""
452,POBLATS DEL NORD,POBLE NOU,Grup 2,"",899,"",523,35,0,133,0,355,0,"","0,58","","","","",""
453,POBLATS DEL NORD,CARPESA,Grup 2,"",1186,"",158,93,0,65,0,0,0,"","0,13","","","","",""
454,POBLATS DEL NORD,LES CASES DE BARCENA,Grup 2,"",345,"",101,33,0,68,0,0,0,"","0,29","","","","",""
455,POBLATS DEL NORD,RAFALELL-VISTABELLA,Grup 2,"",0,"",0,0,0,0,0,0,0,"",0,"","","","",""
456,POBLATS DEL NORD,MAHUELLA-TAULADELLA,Grup 2,"",45,"",0,0,0,0,0,0,0,"",0,"","","","",""
457,POBLATS DEL NORD,MASSARROJOS,Grup 2,"",2362,"",554,349,0,205,0,0,0,"","0,23","","","","",""
458,POBLATS DEL NORD,BORBOTO,Grup 2,"",715,"",78,60,0,18,0,0,0,"","0,11","","","","",""
459,POBLATS DE L'OEST,BENIMAMET,Grup 2,"",13187,"",6983,3454,0,3529,0,0,0,"","0,53","","","","",""
460,POBLATS DE L'OEST,BENIFERRI,Grup 2,"",1200,"",2314,200,0,1549,565,0,0,"","1,93","","","","",""
461,POBLATS DEL SUD,EL FORN D'ALCEDO,Grup 2,"",1243,"",857,675,0,182,0,0,0,"","0,69","","","","",""
462,POBLATS DEL SUD,CASTELLAR-L'OLIVERAL,Grup 2,"",6800,"",1047,85,0,962,0,0,0,"","0,15","","","","",""
463,POBLATS DEL SUD,PINEDO,Grup 2,"",2559,"",501,240,0,261,0,0,0,"","0,2","","","","",""
464,POBLATS DEL SUD,EL SALER,Grup 2,"",1836,"",252,171,4,77,0,0,0,"","0,14","","","","",""
465,POBLATS DEL SUD,EL PALMAR,Grup 2,"",755,"",62,62,0,0,0,0,0,"","0,08","","","","",""
466,POBLATS DEL SUD,EL PERELLONET,Grup 2,"",1378,"",1201,399,0,802,0,0,0,"","0,87","","","","",""
467,POBLATS DEL SUD,LA TORRE,Grup 2,"",4781,"",1811,973,0,838,0,0,0,"","0,38","","","","",""
468,POBLATS DEL SUD,FAITANAR,Grup 2,"",1295,"",2790,650,0,2140,0,0,0,"","2,15","","","","",""
