_id,DISTRICTE,BARRI,GRUP,HABITANTS GRUP,HABITANTS,HABITANTS 20-70,TOTAL,LLIURES,ORA,GUALS,PÀRQUINGS,SOLARS,ALTRES,TURISMES,PLACES/HABITANTS,PLACES/HABITANTS 20-70,PLACES/TURISMES,HABITANTS/TURISMES,HABITANTS 20-70/TURISMES,HABITANTS/HABITANTS 20-70
196,EL PLA DEL REAL,Districte,45 - 49,2034,"","","","","","","","","","","","","","","",""
197,L'OLIVERETA,Districte,45 - 49,3913,"","","","","","","","","","","","","","","",""
198,PATRAIX,Districte,45 - 49,4515,"","","","","","","","","","","","","","","",""
199,JESUS,Districte,45 - 49,4106,"","","","","","","","","","","","","","","",""
200,QUATRE CARRERES,Districte,45 - 49,6228,"","","","","","","","","","","","","","","",""
201,POBLATS MARITIMS,Districte,45 - 49,4457,"","","","","","","","","","","","","","","",""
202,CAMINS AL GRAU,Districte,45 - 49,5886,"","","","","","","","","","","","","","","",""
203,ALGIROS,Districte,45 - 49,2309,"","","","","","","","","","","","","","","",""
204,BENIMACLET,Districte,45 - 49,1814,"","","","","","","","","","","","","","","",""
205,RASCANYA,Districte,45 - 49,4662,"","","","","","","","","","","","","","","",""
206,BENICALAP,Districte,45 - 49,3924,"","","","","","","","","","","","","","","",""
207,POBLATS DEL NORD,Districte,45 - 49,563,"","","","","","","","","","","","","","","",""
208,POBLATS DE L'OEST,Districte,45 - 49,1198,"","","","","","","","","","","","","","","",""
209,POBLATS DEL SUD,Districte,45 - 49,1581,"","","","","","","","","","","","","","","",""
210,CIUTAT VELLA,Districte,50 - 54,2061,"","","","","","","","","","","","","","","",""
211,L'EIXAMPLE,Districte,50 - 54,3375,"","","","","","","","","","","","","","","",""
212,EXTRAMURS,Districte,50 - 54,3675,"","","","","","","","","","","","","","","",""
213,CAMPANAR,Districte,50 - 54,2681,"","","","","","","","","","","","","","","",""
214,LA SAIDIA,Districte,50 - 54,3594,"","","","","","","","","","","","","","","",""
215,EL PLA DEL REAL,Districte,50 - 54,2037,"","","","","","","","","","","","","","","",""
216,L'OLIVERETA,Districte,50 - 54,3919,"","","","","","","","","","","","","","","",""
217,PATRAIX,Districte,50 - 54,4871,"","","","","","","","","","","","","","","",""
218,JESUS,Districte,50 - 54,4150,"","","","","","","","","","","","","","","",""
219,QUATRE CARRERES,Districte,50 - 54,6064,"","","","","","","","","","","","","","","",""
220,POBLATS MARITIMS,Districte,50 - 54,4469,"","","","","","","","","","","","","","","",""
221,CAMINS AL GRAU,Districte,50 - 54,5478,"","","","","","","","","","","","","","","",""
222,ALGIROS,Districte,50 - 54,2471,"","","","","","","","","","","","","","","",""
223,BENIMACLET,Districte,50 - 54,2081,"","","","","","","","","","","","","","","",""
224,RASCANYA,Districte,50 - 54,4293,"","","","","","","","","","","","","","","",""
225,BENICALAP,Districte,50 - 54,3701,"","","","","","","","","","","","","","","",""
226,POBLATS DEL NORD,Districte,50 - 54,528,"","","","","","","","","","","","","","","",""
227,POBLATS DE L'OEST,Districte,50 - 54,1082,"","","","","","","","","","","","","","","",""
228,POBLATS DEL SUD,Districte,50 - 54,1621,"","","","","","","","","","","","","","","",""
229,CIUTAT VELLA,Districte,55 - 59,1833,"","","","","","","","","","","","","","","",""
230,L'EIXAMPLE,Districte,55 - 59,2947,"","","","","","","","","","","","","","","",""
231,EXTRAMURS,Districte,55 - 59,3484,"","","","","","","","","","","","","","","",""
232,CAMPANAR,Districte,55 - 59,2427,"","","","","","","","","","","","","","","",""
233,LA SAIDIA,Districte,55 - 59,3264,"","","","","","","","","","","","","","","",""
234,EL PLA DEL REAL,Districte,55 - 59,2016,"","","","","","","","","","","","","","","",""
235,L'OLIVERETA,Districte,55 - 59,3535,"","","","","","","","","","","","","","","",""
236,PATRAIX,Districte,55 - 59,4530,"","","","","","","","","","","","","","","",""
237,JESUS,Districte,55 - 59,3878,"","","","","","","","","","","","","","","",""
238,QUATRE CARRERES,Districte,55 - 59,5112,"","","","","","","","","","","","","","","",""
239,POBLATS MARITIMS,Districte,55 - 59,4064,"","","","","","","","","","","","","","","",""
240,CAMINS AL GRAU,Districte,55 - 59,4511,"","","","","","","","","","","","","","","",""
241,ALGIROS,Districte,55 - 59,2863,"","","","","","","","","","","","","","","",""
242,BENIMACLET,Districte,55 - 59,2100,"","","","","","","","","","","","","","","",""
243,RASCANYA,Districte,55 - 59,3311,"","","","","","","","","","","","","","","",""
244,BENICALAP,Districte,55 - 59,2976,"","","","","","","","","","","","","","","",""
245,POBLATS DEL NORD,Districte,55 - 59,477,"","","","","","","","","","","","","","","",""
246,POBLATS DE L'OEST,Districte,55 - 59,939,"","","","","","","","","","","","","","","",""
247,POBLATS DEL SUD,Districte,55 - 59,1497,"","","","","","","","","","","","","","","",""
248,CIUTAT VELLA,Districte,60 - 64,1543,"","","","","","","","","","","","","","","",""
249,L'EIXAMPLE,Districte,60 - 64,2556,"","","","","","","","","","","","","","","",""
250,EXTRAMURS,Districte,60 - 64,3073,"","","","","","","","","","","","","","","",""
251,CAMPANAR,Districte,60 - 64,2423,"","","","","","","","","","","","","","","",""
252,LA SAIDIA,Districte,60 - 64,2860,"","","","","","","","","","","","","","","",""
253,EL PLA DEL REAL,Districte,60 - 64,1807,"","","","","","","","","","","","","","","",""
254,L'OLIVERETA,Districte,60 - 64,2646,"","","","","","","","","","","","","","","",""
255,PATRAIX,Districte,60 - 64,3894,"","","","","","","","","","","","","","","",""
256,JESUS,Districte,60 - 64,3476,"","","","","","","","","","","","","","","",""
257,QUATRE CARRERES,Districte,60 - 64,4132,"","","","","","","","","","","","","","","",""
258,POBLATS MARITIMS,Districte,60 - 64,3583,"","","","","","","","","","","","","","","",""
259,CAMINS AL GRAU,Districte,60 - 64,3723,"","","","","","","","","","","","","","","",""
260,ALGIROS,Districte,60 - 64,2659,"","","","","","","","","","","","","","","",""
261,BENIMACLET,Districte,60 - 64,2076,"","","","","","","","","","","","","","","",""
262,RASCANYA,Districte,60 - 64,2894,"","","","","","","","","","","","","","","",""
263,BENICALAP,Districte,60 - 64,2484,"","","","","","","","","","","","","","","",""
264,POBLATS DEL NORD,Districte,60 - 64,409,"","","","","","","","","","","","","","","",""
265,POBLATS DE L'OEST,Districte,60 - 64,897,"","","","","","","","","","","","","","","",""
266,POBLATS DEL SUD,Districte,60 - 64,1391,"","","","","","","","","","","","","","","",""
267,CIUTAT VELLA,Districte,65 - 69,1444,"","","","","","","","","","","","","","","",""
268,L'EIXAMPLE,Districte,65 - 69,2353,"","","","","","","","","","","","","","","",""
269,EXTRAMURS,Districte,65 - 69,2686,"","","","","","","","","","","","","","","",""
270,CAMPANAR,Districte,65 - 69,2370,"","","","","","","","","","","","","","","",""
271,LA SAIDIA,Districte,65 - 69,2564,"","","","","","","","","","","","","","","",""
272,EL PLA DEL REAL,Districte,65 - 69,1783,"","","","","","","","","","","","","","","",""
273,L'OLIVERETA,Districte,65 - 69,2441,"","","","","","","","","","","","","","","",""
274,PATRAIX,Districte,65 - 69,3626,"","","","","","","","","","","","","","","",""
275,JESUS,Districte,65 - 69,3017,"","","","","","","","","","","","","","","",""
276,QUATRE CARRERES,Districte,65 - 69,3925,"","","","","","","","","","","","","","","",""
277,POBLATS MARITIMS,Districte,65 - 69,3001,"","","","","","","","","","","","","","","",""
278,CAMINS AL GRAU,Districte,65 - 69,3218,"","","","","","","","","","","","","","","",""
279,ALGIROS,Districte,65 - 69,2619,"","","","","","","","","","","","","","","",""
280,BENIMACLET,Districte,65 - 69,1846,"","","","","","","","","","","","","","","",""
281,RASCANYA,Districte,65 - 69,2586,"","","","","","","","","","","","","","","",""
282,BENICALAP,Districte,65 - 69,2361,"","","","","","","","","","","","","","","",""
283,POBLATS DEL NORD,Districte,65 - 69,368,"","","","","","","","","","","","","","","",""
284,POBLATS DE L'OEST,Districte,65 - 69,722,"","","","","","","","","","","","","","","",""
285,POBLATS DEL SUD,Districte,65 - 69,1270,"","","","","","","","","","","","","","","",""
286,CIUTAT VELLA,Districte,70 - 74,1319,"","","","","","","","","","","","","","","",""
287,L'EIXAMPLE,Districte,70 - 74,2148,"","","","","","","","","","","","","","","",""
288,EXTRAMURS,Districte,70 - 74,2531,"","","","","","","","","","","","","","","",""
289,CAMPANAR,Districte,70 - 74,2135,"","","","","","","","","","","","","","","",""
290,LA SAIDIA,Districte,70 - 74,2618,"","","","","","","","","","","","","","","",""
291,EL PLA DEL REAL,Districte,70 - 74,1818,"","","","","","","","","","","","","","","",""
292,L'OLIVERETA,Districte,70 - 74,2372,"","","","","","","","","","","","","","","",""
293,PATRAIX,Districte,70 - 74,2959,"","","","","","","","","","","","","","","",""
294,JESUS,Districte,70 - 74,2590,"","","","","","","","","","","","","","","",""
295,QUATRE CARRERES,Districte,70 - 74,3907,"","","","","","","","","","","","","","","",""
296,POBLATS MARITIMS,Districte,70 - 74,2713,"","","","","","","","","","","","","","","",""
297,CAMINS AL GRAU,Districte,70 - 74,2859,"","","","","","","","","","","","","","","",""
298,ALGIROS,Districte,70 - 74,2371,"","","","","","","","","","","","","","","",""
299,BENIMACLET,Districte,70 - 74,1517,"","","","","","","","","","","","","","","",""
300,RASCANYA,Districte,70 - 74,2323,"","","","","","","","","","","","","","","",""
301,BENICALAP,Districte,70 - 74,2177,"","","","","","","","","","","","","","","",""
302,POBLATS DEL NORD,Districte,70 - 74,326,"","","","","","","","","","","","","","","",""
303,POBLATS DE L'OEST,Districte,70 - 74,685,"","","","","","","","","","","","","","","",""
304,POBLATS DEL SUD,Districte,70 - 74,1005,"","","","","","","","","","","","","","","",""
305,CIUTAT VELLA,Districte,75 - 79,1049,"","","","","","","","","","","","","","","",""
306,L'EIXAMPLE,Districte,75 - 79,1800,"","","","","","","","","","","","","","","",""
307,EXTRAMURS,Districte,75 - 79,2080,"","","","","","","","","","","","","","","",""
308,CAMPANAR,Districte,75 - 79,1433,"","","","","","","","","","","","","","","",""
309,LA SAIDIA,Districte,75 - 79,2116,"","","","","","","","","","","","","","","",""
310,EL PLA DEL REAL,Districte,75 - 79,1432,"","","","","","","","","","","","","","","",""
311,L'OLIVERETA,Districte,75 - 79,2164,"","","","","","","","","","","","","","","",""
312,PATRAIX,Districte,75 - 79,2082,"","","","","","","","","","","","","","","",""
313,JESUS,Districte,75 - 79,1998,"","","","","","","","","","","","","","","",""
314,QUATRE CARRERES,Districte,75 - 79,2961,"","","","","","","","","","","","","","","",""
315,POBLATS MARITIMS,Districte,75 - 79,2009,"","","","","","","","","","","","","","","",""
316,CAMINS AL GRAU,Districte,75 - 79,2276,"","","","","","","","","","","","","","","",""
317,ALGIROS,Districte,75 - 79,1503,"","","","","","","","","","","","","","","",""
318,BENIMACLET,Districte,75 - 79,1087,"","","","","","","","","","","","","","","",""
319,RASCANYA,Districte,75 - 79,1795,"","","","","","","","","","","","","","","",""
320,BENICALAP,Districte,75 - 79,1563,"","","","","","","","","","","","","","","",""
321,POBLATS DEL NORD,Districte,75 - 79,239,"","","","","","","","","","","","","","","",""
322,POBLATS DE L'OEST,Districte,75 - 79,466,"","","","","","","","","","","","","","","",""
323,POBLATS DEL SUD,Districte,75 - 79,772,"","","","","","","","","","","","","","","",""
324,CIUTAT VELLA,Districte,80 - 84,796,"","","","","","","","","","","","","","","",""
325,L'EIXAMPLE,Districte,80 - 84,1495,"","","","","","","","","","","","","","","",""
326,EXTRAMURS,Districte,80 - 84,1815,"","","","","","","","","","","","","","","",""
327,CAMPANAR,Districte,80 - 84,952,"","","","","","","","","","","","","","","",""
328,LA SAIDIA,Districte,80 - 84,1719,"","","","","","","","","","","","","","","",""
329,EL PLA DEL REAL,Districte,80 - 84,1065,"","","","","","","","","","","","","","","",""
330,L'OLIVERETA,Districte,80 - 84,1889,"","","","","","","","","","","","","","","",""
331,PATRAIX,Districte,80 - 84,1591,"","","","","","","","","","","","","","","",""
332,JESUS,Districte,80 - 84,1610,"","","","","","","","","","","","","","","",""
333,QUATRE CARRERES,Districte,80 - 84,2401,"","","","","","","","","","","","","","","",""
334,POBLATS MARITIMS,Districte,80 - 84,1756,"","","","","","","","","","","","","","","",""
335,CAMINS AL GRAU,Districte,80 - 84,1789,"","","","","","","","","","","","","","","",""
336,ALGIROS,Districte,80 - 84,1194,"","","","","","","","","","","","","","","",""
337,BENIMACLET,Districte,80 - 84,869,"","","","","","","","","","","","","","","",""
338,RASCANYA,Districte,80 - 84,1477,"","","","","","","","","","","","","","","",""
339,BENICALAP,Districte,80 - 84,1186,"","","","","","","","","","","","","","","",""
340,POBLATS DEL NORD,Districte,80 - 84,207,"","","","","","","","","","","","","","","",""
341,POBLATS DE L'OEST,Districte,80 - 84,399,"","","","","","","","","","","","","","","",""
342,POBLATS DEL SUD,Districte,80 - 84,589,"","","","","","","","","","","","","","","",""
343,CIUTAT VELLA,Districte,85 - 89,679,"","","","","","","","","","","","","","","",""
344,L'EIXAMPLE,Districte,85 - 89,1215,"","","","","","","","","","","","","","","",""
345,EXTRAMURS,Districte,85 - 89,1425,"","","","","","","","","","","","","","","",""
346,CAMPANAR,Districte,85 - 89,582,"","","","","","","","","","","","","","","",""
347,LA SAIDIA,Districte,85 - 89,1223,"","","","","","","","","","","","","","","",""
348,EL PLA DEL REAL,Districte,85 - 89,674,"","","","","","","","","","","","","","","",""
349,L'OLIVERETA,Districte,85 - 89,1315,"","","","","","","","","","","","","","","",""
350,PATRAIX,Districte,85 - 89,1078,"","","","","","","","","","","","","","","",""
351,JESUS,Districte,85 - 89,998,"","","","","","","","","","","","","","","",""
352,QUATRE CARRERES,Districte,85 - 89,1460,"","","","","","","","","","","","","","","",""
353,POBLATS MARITIMS,Districte,85 - 89,1144,"","","","","","","","","","","","","","","",""
354,CAMINS AL GRAU,Districte,85 - 89,1097,"","","","","","","","","","","","","","","",""
355,ALGIROS,Districte,85 - 89,751,"","","","","","","","","","","","","","","",""
356,BENIMACLET,Districte,85 - 89,618,"","","","","","","","","","","","","","","",""
357,RASCANYA,Districte,85 - 89,936,"","","","","","","","","","","","","","","",""
358,BENICALAP,Districte,85 - 89,711,"","","","","","","","","","","","","","","",""
359,POBLATS DEL NORD,Districte,85 - 89,145,"","","","","","","","","","","","","","","",""
360,POBLATS DE L'OEST,Districte,85 - 89,211,"","","","","","","","","","","","","","","",""
361,POBLATS DEL SUD,Districte,85 - 89,380,"","","","","","","","","","","","","","","",""
362,CIUTAT VELLA,Districte,? 90,452,"","","","","","","","","","","","","","","",""
363,L'EIXAMPLE,Districte,? 90,724,"","","","","","","","","","","","","","","",""
364,EXTRAMURS,Districte,? 90,811,"","","","","","","","","","","","","","","",""
365,CAMPANAR,Districte,? 90,334,"","","","","","","","","","","","","","","",""
366,LA SAIDIA,Districte,? 90,664,"","","","","","","","","","","","","","","",""
367,EL PLA DEL REAL,Districte,? 90,420,"","","","","","","","","","","","","","","",""
368,L'OLIVERETA,Districte,? 90,672,"","","","","","","","","","","","","","","",""
369,PATRAIX,Districte,? 90,586,"","","","","","","","","","","","","","","",""
370,JESUS,Districte,? 90,535,"","","","","","","","","","","","","","","",""
371,QUATRE CARRERES,Districte,? 90,723,"","","","","","","","","","","","","","","",""
372,POBLATS MARITIMS,Districte,? 90,610,"","","","","","","","","","","","","","","",""
373,CAMINS AL GRAU,Districte,? 90,600,"","","","","","","","","","","","","","","",""
374,ALGIROS,Districte,? 90,404,"","","","","","","","","","","","","","","",""
375,BENIMACLET,Districte,? 90,301,"","","","","","","","","","","","","","","",""
376,RASCANYA,Districte,? 90,382,"","","","","","","","","","","","","","","",""
377,BENICALAP,Districte,? 90,385,"","","","","","","","","","","","","","","",""
378,POBLATS DEL NORD,Districte,? 90,90,"","","","","","","","","","","","","","","",""
379,POBLATS DE L'OEST,Districte,? 90,97,"","","","","","","","","","","","","","","",""
380,POBLATS DEL SUD,Districte,? 90,185,"","","","","","","","","","","","","","","",""
381,CIUTAT VELLA,LA SEU,Grup 2,"",3013,"",1184,20,48,768,348,0,0,"","0,39","","","","",""
382,CIUTAT VELLA,LA XEREA,Grup 2,"",3908,"",3036,96,132,2421,387,0,0,"","0,78","","","","",""
383,CIUTAT VELLA,EL CARME,Grup 2,"",6343,"",1965,133,349,1466,0,17,0,"","0,31","","","","",""
384,CIUTAT VELLA,EL PILAR,Grup 2,"",4624,"",2935,11,115,2484,270,55,0,"","0,63","","","","",""
385,CIUTAT VELLA,EL MERCAT,Grup 2,"",3558,"",1934,8,29,861,1036,0,0,"","0,54","","","","",""
386,CIUTAT VELLA,SANT FRANCESC,Grup 2,"",5624,"",6764,114,86,4790,1774,0,0,"","1,2","","","","",""
387,L'EIXAMPLE,RUSSAFA,Grup 2,"",23742,"",13144,2034,404,8197,2437,72,0,"","0,55","","","","",""
388,L'EIXAMPLE,EL PLA DEL REMEI,Grup 2,"",6998,"",6971,363,225,4108,2275,0,0,"",1,"","","","",""
389,L'EIXAMPLE,LA GRAN VIA,Grup 2,"",11878,"",8323,1179,494,4964,1686,0,0,"","0,7","","","","",""
390,EXTRAMURS,EL BOTANIC,Grup 2,"",6620,"",2370,612,165,1593,0,0,0,"","0,36","","","","",""
391,EXTRAMURS,LA ROQUETA,Grup 2,"",4449,"",4320,630,86,2934,670,0,0,"","0,97","","","","",""
392,EXTRAMURS,LA PETXINA,Grup 2,"",15040,"",6767,2093,153,3583,915,23,0,"","0,45","","","","",""
393,EXTRAMURS,ARRANCAPINS,Grup 2,"",22508,"",10250,2417,506,5541,1786,0,0,"","0,46","","","","",""
394,CAMPANAR,CAMPANAR,Grup 2,"",11593,"",10768,2117,276,4032,3881,462,0,"","0,93","","","","",""
395,CAMPANAR,LES TENDETES,Grup 2,"",5253,"",2871,736,37,1458,510,0,130,"","0,55","","","","",""
396,CAMPANAR,EL CALVARI,Grup 2,"",4864,"",1514,262,0,1252,0,0,0,"","0,31","","","","",""
397,CAMPANAR,SANT PAU,Grup 2,"",16628,"",15933,1762,1,11238,1921,1011,0,"","0,96","","","","",""
398,LA SAIDIA,MARXALENES,Grup 2,"",10629,"",3340,1185,0,1804,196,155,0,"","0,31","","","","",""
399,LA SAIDIA,MORVEDRE,Grup 2,"",10222,"",3189,1264,0,1911,0,14,0,"","0,31","","","","",""
400,LA SAIDIA,TRINITAT,Grup 2,"",7807,"",3867,1123,146,2377,0,221,0,"","0,5","","","","",""
401,LA SAIDIA,TORMOS,Grup 2,"",8628,"",2618,762,0,1324,0,532,0,"","0,3","","","","",""
402,LA SAIDIA,SANT ANTONI,Grup 2,"",9806,"",3460,1231,0,1800,372,57,0,"","0,35","","","","",""
403,EL PLA DEL REAL,EXPOSICIO,Grup 2,"",6730,"",7635,1495,66,5351,723,0,0,"","1,13","","","","",""
404,EL PLA DEL REAL,MESTALLA,Grup 2,"",14646,"",9528,2704,693,4905,1226,0,0,"","0,65","","","","",""
