Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
FERIAS;AV;S/N;37672;"{""coordinates"": [-0.4282566959347815, 39.50274541929035], ""type"": ""Point""}";39.50274541929035, -0.4282566959347815
DOCTOR MANUEL CANDELA;C;41ac;37674;"{""coordinates"": [-0.3498131823963704, 39.46954428637064], ""type"": ""Point""}";39.46954428637064, -0.3498131823963704
DON JUAN DE AUSTRIA;C;34;37675;"{""coordinates"": [-0.3713763787202931, 39.470344821328325], ""type"": ""Point""}";39.470344821328325, -0.3713763787202931
FERIAS;AV;2;37677;"{""coordinates"": [-0.4260164420175356, 39.503384509227786], ""type"": ""Point""}";39.503384509227786, -0.4260164420175356
LUIS GARCIA-BERLANGA MARTI (DIRECTOR CINEMA);C;15ac;37682;"{""coordinates"": [-0.3471755067901397, 39.45687094985745], ""type"": ""Point""}";39.45687094985745, -0.3471755067901397
GASPAR AGUILAR;AV;92;37688;"{""coordinates"": [-0.39286962163297523, 39.45285083121223], ""type"": ""Point""}";39.45285083121223, -0.39286962163297523
CORTS VALENCIANES;AV;59;37689;"{""coordinates"": [-0.40355690694920976, 39.495491049459744], ""type"": ""Point""}";39.495491049459744, -0.40355690694920976
CID;AV;101;37692;"{""coordinates"": [-0.4150034523860575, 39.46921475277969], ""type"": ""Point""}";39.46921475277969, -0.4150034523860575
EUGENIA VIxES;C;22;37694;"{""coordinates"": [-0.3247952772393484, 39.46639424158843], ""type"": ""Point""}";39.46639424158843, -0.3247952772393484
ALEJANDRO VI;C;2ac;37699;"{""coordinates"": [-0.3648915861416972, 39.46260449697739], ""type"": ""Point""}";39.46260449697739, -0.3648915861416972
PUERTO;AV;310;37708;"{""coordinates"": [-0.33513578502177643, 39.46062048340899], ""type"": ""Point""}";39.46062048340899, -0.33513578502177643
COLON;C;31;37711;"{""coordinates"": [-0.3716432853493049, 39.469437556074475], ""type"": ""Point""}";39.469437556074475, -0.3716432853493049
PIO XII;AV;2;37713;"{""coordinates"": [-0.39108760252345626, 39.479447932915456], ""type"": ""Point""}";39.479447932915456, -0.39108760252345626
CAMP DE TURIA;C;S/N;37715;"{""coordinates"": [-0.40160776587773817, 39.49525704968078], ""type"": ""Point""}";39.49525704968078, -0.40160776587773817
CAMP DE TURIA;C;S/N;37716;"{""coordinates"": [-0.40159397839890526, 39.49523543553963], ""type"": ""Point""}";39.49523543553963, -0.40159397839890526
ARCHIDUQUE CARLOS;C;90ac;37718;"{""coordinates"": [-0.40219641801080525, 39.458633619001716], ""type"": ""Point""}";39.458633619001716, -0.40219641801080525
REYES PROSPER;PL;3ac;37723;"{""coordinates"": [-0.36034520018925653, 39.4732929643212], ""type"": ""Point""}";39.4732929643212, -0.36034520018925653
PIO BAROJA (ESCRIPTOR);AV;S/N;37735;"{""coordinates"": [-0.40664136655813504, 39.480576054549914], ""type"": ""Point""}";39.480576054549914, -0.40664136655813504
AYUNTAMIENTO;PL;24;37737;"{""coordinates"": [-0.37573347745443425, 39.4695367216107], ""type"": ""Point""}";39.4695367216107, -0.37573347745443425
MAR;C;4ac;37739;"{""coordinates"": [-0.37490416905399726, 39.474065756362876], ""type"": ""Point""}";39.474065756362876, -0.37490416905399726
OEST;AV;19;37742;"{""coordinates"": [-0.3796715943572682, 39.472714774438884], ""type"": ""Point""}";39.472714774438884, -0.3796715943572682
CANOVAS DEL CASTILLO;PL;9;37744;"{""coordinates"": [-0.3653849921256109, 39.46807207213753], ""type"": ""Point""}";39.46807207213753, -0.3653849921256109
PROFESSOR LOPEZ PITERO;AV;S/N;37746;"{""coordinates"": [-0.3520031689137635, 39.45398433746827], ""type"": ""Point""}";39.45398433746827, -0.3520031689137635
SAN CLEMENTE;C;12;37748;"{""coordinates"": [-0.40340496813211574, 39.49022576326107], ""type"": ""Point""}";39.49022576326107, -0.40340496813211574
PIO XII;AV;4;37759;"{""coordinates"": [-0.3915371977675783, 39.48007248056442], ""type"": ""Point""}";39.48007248056442, -0.3915371977675783
PIO XII;AV;S/N;37760;"{""coordinates"": [-0.3913740974001278, 39.47984546397178], ""type"": ""Point""}";39.47984546397178, -0.3913740974001278
PROFESOR BELTRAN BAGUENA;C;6;37763;"{""coordinates"": [-0.3897395092897773, 39.48130248090292], ""type"": ""Point""}";39.48130248090292, -0.3897395092897773
CAMPANAR;AV;S/N;37768;"{""coordinates"": [-0.3919959259597817, 39.48311704143158], ""type"": ""Point""}";39.48311704143158, -0.3919959259597817
MARQUES DEL TURIA;G.V.;16;37770;"{""coordinates"": [-0.3714625897237646, 39.465678657960616], ""type"": ""Point""}";39.465678657960616, -0.3714625897237646
MARQUES DEL TURIA;G.V.;18;37771;"{""coordinates"": [-0.37121905230720853, 39.46578011981007], ""type"": ""Point""}";39.46578011981007, -0.37121905230720853
PORTA DE LA MAR;PL;3;37772;"{""coordinates"": [-0.36834692724479184, 39.47176592288996], ""type"": ""Point""}";39.47176592288996, -0.36834692724479184
CALLOSA DaEN SARRIA;C;14;37773;"{""coordinates"": [-0.38673141223866453, 39.46039952764121], ""type"": ""Point""}";39.46039952764121, -0.38673141223866453
BALEARES;AV;2;37776;"{""coordinates"": [-0.3568021042047823, 39.46345082055338], ""type"": ""Point""}";39.46345082055338, -0.3568021042047823
DOCTOR MARCOS SOPENA;C;S/N;37778;"{""coordinates"": [-0.32443977260521484, 39.4631402114717], ""type"": ""Point""}";39.4631402114717, -0.32443977260521484
CID;AV;7;37780;"{""coordinates"": [-0.3913662577374157, 39.467100951093165], ""type"": ""Point""}";39.467100951093165, -0.3913662577374157
BLASCO IBAxEZ;AV;17;37781;"{""coordinates"": [-0.3624038150728873, 39.47863690970349], ""type"": ""Point""}";39.47863690970349, -0.3624038150728873
BLASCO IBAxEZ;AV;14;37782;"{""coordinates"": [-0.3644462239426186, 39.47845651770718], ""type"": ""Point""}";39.47845651770718, -0.3644462239426186
