OBJECTID;Àngul / Ángulo;Id. Càmera / Id. Cámara;Tipus Càmera / Tipo Cámara;Pas Inferior / Paso Inferior;Descripció / Descripción;URL;geo_shape;geo_point_2d
114567;246.05000305;03004;CF;Si;P.I. MENENDEZ PIDAL - TIRSO DE MOLINA direccion TIRSO DE MOLINA;https://camaras.valencia.es/camaras/visualizador.html?id=03004;"{""coordinates"": [-0.39047852406507816, 39.47902850930071], ""type"": ""Point""}";39.47902850930071, -0.39047852406507816
114572;17.87000084;03103;CF;No;GENERAL ELIO direccion BLASCO IBAPEZ;https://camaras.valencia.es/camaras/visualizador.html?id=03103;"{""coordinates"": [-0.36761653486776974, 39.47701290412624], ""type"": ""Point""}";39.47701290412624, -0.36761653486776974
114575;143.94000244;03102;CF;No;PASEO DE LA ALAMEDA direccion PL. ZARAGOZA;https://camaras.valencia.es/camaras/visualizador.html?id=03102;"{""coordinates"": [-0.3676082444815134, 39.47691217837556], ""type"": ""Point""}";39.47691217837556, -0.3676082444815134
114578;198.72000122;03202;CF;No;CARDENAL BENLLOCH direccion EDUARDO BOSCA;https://camaras.valencia.es/camaras/visualizador.html?id=03202;"{""coordinates"": [-0.3543931255132767, 39.4713895954812], ""type"": ""Point""}";39.4713895954812, -0.3543931255132767
114580;245.53999329;03207;CF;No;CHILE direccion AV. ARAGON;https://camaras.valencia.es/camaras/visualizador.html?id=03207;"{""coordinates"": [-0.3544325174603409, 39.47142058154664], ""type"": ""Point""}";39.47142058154664, -0.3544325174603409
114581;289.13000488;03402;CF;No;SANTOS JUSTO Y PASTOR direccion CARDENAL BENLLOCH;https://camaras.valencia.es/camaras/visualizador.html?id=03402;"{""coordinates"": [-0.3494754789274635, 39.47003811118407], ""type"": ""Point""}";39.47003811118407, -0.3494754789274635
114584;290.54998779;03504;CF;No;AV. PUERTO direccion PL. ZARAGOZA;https://camaras.valencia.es/camaras/visualizador.html?id=03504;"{""coordinates"": [-0.3513805293172935, 39.46544608602413], ""type"": ""Point""}";39.46544608602413, -0.3513805293172935
114587;291.42001343;03603;CF;No;AV. BALEARES direccion PASEO DE LA ALAMEDA;https://camaras.valencia.es/camaras/visualizador.html?id=03603;"{""coordinates"": [-0.3526110038633843, 39.46239015045295], ""type"": ""Point""}";39.46239015045295, -0.3526110038633843
114590;195.0;03704;CF;No;PUENTE DE MONTEOLIVETE direccion AUTOPISTA DEL SALER;https://camaras.valencia.es/camaras/visualizador.html?id=03704;"{""coordinates"": [-0.3535704044250579, 39.45982954571253], ""type"": ""Point""}";39.45982954571253, -0.3535704044250579
114593;149.36999512;01904;CF;No;PEREZ GALDOS direccion GIORGETA;https://camaras.valencia.es/camaras/visualizador.html?id=01904;"{""coordinates"": [-0.3957707466403899, 39.47522839695253], ""type"": ""Point""}";39.47522839695253, -0.3957707466403899
114602;129.3999939;02202;CF;No;PRIMADO REIG direccion AV. CATALU A;https://camaras.valencia.es/camaras/visualizador.html?id=02202;"{""coordinates"": [-0.3626932820502532, 39.48376243998734], ""type"": ""Point""}";39.48376243998734, -0.3626932820502532
114603;17.38999939;02302;CF;No;AV. CATALUnA direccion V-21 (AUTOVIA DE PUZOL);https://camaras.valencia.es/camaras/visualizador.html?id=02302;"{""coordinates"": [-0.3556611972800531, 39.47635562040786], ""type"": ""Point""}";39.47635562040786, -0.3556611972800531
114609;310.41000366;05103;CF;No;PRIMADO REIG direccion DR. PESET ALEIXANDRE;https://camaras.valencia.es/camaras/visualizador.html?id=05103;"{""coordinates"": [-0.35694620682818556, 39.479476030799376], ""type"": ""Point""}";39.479476030799376, -0.35694620682818556
114611;239.38000488;05003;CF;No;GENERAL AVILES direccion MAESTRO RODRIGO;https://camaras.valencia.es/camaras/visualizador.html?id=05003;"{""coordinates"": [-0.396304708149818, 39.485733285810895], ""type"": ""Point""}";39.485733285810895, -0.396304708149818
114616;122.51999664;07204;CF;Si;P.I. DR. PESET ALEIXANDRE - PRIMADO REIG direccion PRIMADO REIG;https://camaras.valencia.es/camaras/visualizador.html?id=07204;"{""coordinates"": [-0.3741396095709362, 39.49207676901594], ""type"": ""Point""}";39.49207676901594, -0.3741396095709362
114620;149.57000732;07303;CF;No;CORTES VALENCIANAS direccion PIO XII;https://camaras.valencia.es/camaras/visualizador.html?id=07303;"{""coordinates"": [-0.4027696898604686, 39.49508415829075], ""type"": ""Point""}";39.49508415829075, -0.4027696898604686
114621;137.58999634;10802;CF;Si;P.I. AUTOPISTA DEL SALER direccion CV-500 (AUTOPISTA DEL SALER);https://camaras.valencia.es/camaras/visualizador.html?id=10802;"{""coordinates"": [-0.356492356789606, 39.45673071923239], ""type"": ""Point""}";39.45673071923239, -0.356492356789606
114628;306.70001221;10820;CF;Si;P.I. AUTOPISTA DEL SALER direccion ALCALDE REIG;https://camaras.valencia.es/camaras/visualizador.html?id=10820;"{""coordinates"": [-0.35413562977001106, 39.45514370494002], ""type"": ""Point""}";39.45514370494002, -0.35413562977001106
114652;242.24000549;06102;CF;No;MESTRE RACIONAL direccion MATIAS PERELLO;https://camaras.valencia.es/camaras/visualizador.html?id=06102;"{""coordinates"": [-0.361170000517073, 39.46414846331341], ""type"": ""Point""}";39.46414846331341, -0.361170000517073
114653;332.92001343;06103;CF;No;JACINTO BENAVENTE direccion PL. AMERICA;https://camaras.valencia.es/camaras/visualizador.html?id=06103;"{""coordinates"": [-0.3612539887168913, 39.46443865142994], ""type"": ""Point""}";39.46443865142994, -0.3612539887168913
114658;330.6499939;06203;CF;Si;P.I. PEREZ GALDOS direccion PUENTE DE CAMPANAR;https://camaras.valencia.es/camaras/visualizador.html?id=06203;"{""coordinates"": [-0.3899597959699896, 39.466886583146554], ""type"": ""Point""}";39.466886583146554, -0.3899597959699896
114660;330.23999023;06202;CF;Si;P.I. PEREZ GALDOS direccion PUENTE DE CAMPANAR;https://camaras.valencia.es/camaras/visualizador.html?id=06202;"{""coordinates"": [-0.38919986154589803, 39.46569070933942], ""type"": ""Point""}";39.46569070933942, -0.38919986154589803
114667;329.73001099;06301;CF;Si;P.I. PIO XII - CORTES VALENCIANAS direccion CV-35 (AUTOVIA DE ADEMUZ);https://camaras.valencia.es/camaras/visualizador.html?id=06301;"{""coordinates"": [-0.3944381986634955, 39.48359618021019], ""type"": ""Point""}";39.48359618021019, -0.3944381986634955
