Òptica / Óptica;Tipus Regulador / Tipo Regulador;Cod. Regulador;Cod. Encreuament / Cod. Cruce;Descripció / Descripción;OBJECTID;geo_shape;geo_point_2d
Led;;;0918;BRASIL - MORENO USEDO;117393;"{""coordinates"": [-0.39725025377116896, 39.471373065253445], ""type"": ""Point""}";39.471373065253445, -0.39725025377116896
Led;;;0919;CASTAN TOBERAS - MORENO USEDO;117394;"{""coordinates"": [-0.39691063369638274, 39.473931531479195], ""type"": ""Point""}";39.473931531479195, -0.39691063369638274
Led;;;0920;CASTAN TOBERAS - TORRES;117395;"{""coordinates"": [-0.39877432309273375, 39.473663269496186], ""type"": ""Point""}";39.473663269496186, -0.39877432309273375
Led;;;0922;AVDA. DEL CID - ENGUERA;117397;"{""coordinates"": [-0.39519879020939563, 39.46772843623369], ""type"": ""Point""}";39.46772843623369, -0.39519879020939563
Led;;;0924;STA. CRUZ DE TENERIFE - MUSICO AYLLON;117399;"{""coordinates"": [-0.40015911646985497, 39.46634368320895], ""type"": ""Point""}";39.46634368320895, -0.40015911646985497
Led;;;0925;PECHINA - VELAZQUEZ;117400;"{""coordinates"": [-0.4017011177506309, 39.473617036158224], ""type"": ""Point""}";39.473617036158224, -0.4017011177506309
Led;;;1005;AVDA. BURJASOT - NICASIO BENLLOCH;117410;"{""coordinates"": [-0.38848138041548497, 39.48722237009072], ""type"": ""Point""}";39.48722237009072, -0.38848138041548497
Led;;;1006;PTE. SAN JOSE - DR.OLORIZ;117411;"{""coordinates"": [-0.3801897074374553, 39.48283924978203], ""type"": ""Point""}";39.48283924978203, -0.3801897074374553
Led;;;1009;MENENDEZ PIDAL - RICARDO MICO;117414;"{""coordinates"": [-0.3865740774532969, 39.48073856076211], ""type"": ""Point""}";39.48073856076211, -0.3865740774532969
Led;;;1021;DR. PESET ALEIXANDRE - GUILLEM FERRER;117422;"{""coordinates"": [-0.3866984878600781, 39.48911575298984], ""type"": ""Point""}";39.48911575298984, -0.3866984878600781
Led;;;3409;AV. DEL PROFESSOR LNPEZ PIEERO - ESCULTOR ANTONIO SACRAMENTO;117430;"{""coordinates"": [-0.35537037746686523, 39.45513370112507], ""type"": ""Point""}";39.45513370112507, -0.35537037746686523
Led;;;3412;EDUARDO PRIMO YUFERA - PASO DE PEATONES OCEANOGRAFICO;117433;"{""coordinates"": [-0.34788763376379245, 39.45231370806852], ""type"": ""Point""}";39.45231370806852, -0.34788763376379245
Led;;;3502;TRES CRUCES - PEREZ FELIU;117436;"{""coordinates"": [-0.40359239911490796, 39.46034190095871], ""type"": ""Point""}";39.46034190095871, -0.40359239911490796
Led;;;3511;TRES CRUCES  - LLOMBAY;117445;"{""coordinates"": [-0.40540362898693577, 39.465516311799114], ""type"": ""Point""}";39.465516311799114, -0.40540362898693577
Led;;;3516;TRES FORQUES - TRES CRUCES COLEGIO;117450;"{""coordinates"": [-0.4055016607353291, 39.46401663592528], ""type"": ""Point""}";39.46401663592528, -0.4055016607353291
Led;;;3518;TRES FORQUES - OP.HISTORIADOR PEDRO SUCIAS;117452;"{""coordinates"": [-0.40769466651658887, 39.46313468854926], ""type"": ""Point""}";39.46313468854926, -0.40769466651658887
Led;;;3524;TRES FORQUES - OP. GREMITS;117458;"{""coordinates"": [-0.4120360154030831, 39.46336171112142], ""type"": ""Point""}";39.46336171112142, -0.4120360154030831
Led;;;3528;AV. MARCONI - FELIX RODRIGUEZ DE LA FUENTE;117462;"{""coordinates"": [-0.4142622468107957, 39.46701255377907], ""type"": ""Point""}";39.46701255377907, -0.4142622468107957
Led;;;3604;VALLE DE LA BALLESTERA - HERNANDEZ LAZARO;117466;"{""coordinates"": [-0.40358532041253936, 39.4784369809193], ""type"": ""Point""}";39.4784369809193, -0.40358532041253936
Led;;;3606;VALLE DE LA BALLESTERA - SOLER Y PEREZ;117468;"{""coordinates"": [-0.3998657110136672, 39.478530836886584], ""type"": ""Point""}";39.478530836886584, -0.3998657110136672
Led;;;3607;MAESTRO RODRIGO - VALL DE LA BALLESTERA;117469;"{""coordinates"": [-0.3982578262025959, 39.47889393959845], ""type"": ""Point""}";39.47889393959845, -0.3982578262025959
Led;;;3609;VALLE DE LA BALLESTERA - DIP. LUIS LUCIA;117471;"{""coordinates"": [-0.39458615237533035, 39.48043695558897], ""type"": ""Point""}";39.48043695558897, -0.39458615237533035
Led;;;3610;VALLE DE LA BALLESTERA - PIO BAROJA;117472;"{""coordinates"": [-0.40639807982872145, 39.47860870945706], ""type"": ""Point""}";39.47860870945706, -0.40639807982872145
Led;;;3620;MANUEL DE FALLA - HERNANDEZ LAZARO;117481;"{""coordinates"": [-0.40371698990487787, 39.47530061682687], ""type"": ""Point""}";39.47530061682687, -0.40371698990487787
Hal1gena/Incandescencia;;;3701;PEDRO CABANES - CONDE LUMIARES;117482;"{""coordinates"": [-0.3725227839297749, 39.49546192757669], ""type"": ""Point""}";39.49546192757669, -0.3725227839297749
Hal3gena/Incandescencia;;;3703;PEDRO CABANES - CONDE DE TORREFIEL;117484;"{""coordinates"": [-0.3765342117394826, 39.49454971431385], ""type"": ""Point""}";39.49454971431385, -0.3765342117394826
Hal5gena/Incandescencia;;;3705;PINTOR JACOMART - SANTO DOMINGO SAVIO;117486;"{""coordinates"": [-0.375661183299352, 39.49686218828376], ""type"": ""Point""}";39.49686218828376, -0.375661183299352
Hal6gena/Incandescencia;;;3706;PEDRO PATRICIO MEY - ALCAOIZ;117487;"{""coordinates"": [-0.37791609068553206, 39.49247555735964], ""type"": ""Point""}";39.49247555735964, -0.37791609068553206
Led;;;3707;CONSTITUCION - RACO DEL ANELL;117488;"{""coordinates"": [-0.36847010789701523, 39.50305746913885], ""type"": ""Point""}";39.50305746913885, -0.36847010789701523
Hal2gena/Incandescencia;;;3712;CONSTITUCION - DUQUE DE MANDAS;117492;"{""coordinates"": [-0.37147195773487146, 39.495191410146056], ""type"": ""Point""}";39.495191410146056, -0.37147195773487146
Hal9gena/Incandescencia;;;3719;SAN JUAN BOSCO - DUQUE DE MANDAS;117499;"{""coordinates"": [-0.37101689682250977, 39.49497742663126], ""type"": ""Point""}";39.49497742663126, -0.37101689682250977
Hal1gena/Incandescencia;;;3721;PADRE VIrAS - AGUSTIN LARA;117501;"{""coordinates"": [-0.37096395008795513, 39.49349473800135], ""type"": ""Point""}";39.49349473800135, -0.37096395008795513
Hal7gena/Incandescencia;;;1807;MUSICO GINES - RAMON DE CAMPOAMOR (ESTE);117505;"{""coordinates"": [-0.34328141538340795, 39.46984838387562], ""type"": ""Point""}";39.46984838387562, -0.34328141538340795
Hal8gena/Incandescencia;;;1808;MUSICO GINES - POETA MAS Y ROS (OESTE);117506;"{""coordinates"": [-0.34379604475163356, 39.469012694575426], ""type"": ""Point""}";39.469012694575426, -0.34379604475163356
Led;;;1814;BLASCO IBAEEZ - MUSICO GINES (SUR);117512;"{""coordinates"": [-0.34255789158456745, 39.471914753667086], ""type"": ""Point""}";39.471914753667086, -0.34255789158456745
Led;;;1815;BLASCO IBAEEZ - ENRIQUE RAMBAL;117513;"{""coordinates"": [-0.34193680915943253, 39.472642058987574], ""type"": ""Point""}";39.472642058987574, -0.34193680915943253
Led;;;1816;BLASCO IBAEEZ - INGENIERO JANINI;117514;"{""coordinates"": [-0.34009702276103987, 39.47121387660635], ""type"": ""Point""}";39.47121387660635, -0.34009702276103987
Hal0gena/Incandescencia;;;1820;MUSICO GINES - JUSTO Y PASTOR;117518;"{""coordinates"": [-0.34378130980850674, 39.46887758683073], ""type"": ""Point""}";39.46887758683073, -0.34378130980850674
Hal1gena/Incandescencia;;;1821;L'ALGUER - CREVILLENTE;117519;"{""coordinates"": [-0.3395568503817036, 39.469857406458665], ""type"": ""Point""}";39.469857406458665, -0.3395568503817036
Hal6gena/Incandescencia;;;1826;JOSE M. HARO - PINTOR FERRER CALATAYUD;117523;"{""coordinates"": [-0.3391722449007428, 39.46760965693162], ""type"": ""Point""}";39.46760965693162, -0.3391722449007428
Led;;;1902;JACINTO LABAILA - NICOLAS FACTOR;117528;"{""coordinates"": [-0.3900620024986762, 39.460663510720295], ""type"": ""Point""}";39.460663510720295, -0.3900620024986762
Led;;;1903;GASPAR AGUILAR - PLAZA JESUS;117529;"{""coordinates"": [-0.3883861186232222, 39.45922499075994], ""type"": ""Point""}";39.45922499075994, -0.3883861186232222
Led;;;1904;GASPAR AGUILAR - FRANCO TORMO;117530;"{""coordinates"": [-0.38949713178871087, 39.45756818286674], ""type"": ""Point""}";39.45756818286674, -0.38949713178871087
Led;;;1908;GASPAR AGUILAR - JUAN DE GARAY;117534;"{""coordinates"": [-0.39247797014257385, 39.45344770052297], ""type"": ""Point""}";39.45344770052297, -0.39247797014257385
Led;;;1909;GASPAR AGUILAR - PEDRO ANDREU;117535;"{""coordinates"": [-0.39364519298737355, 39.451356713162625], ""type"": ""Point""}";39.451356713162625, -0.39364519298737355
Led;;;1916;SAN VICENTE - JOAQUIN NAVARRO;117540;"{""coordinates"": [-0.38476496357346807, 39.45248018385306], ""type"": ""Point""}";39.45248018385306, -0.38476496357346807
Led;;;1917;SAN VICENTE - FERNANDEZ DE MESA;117541;"{""coordinates"": [-0.3847320662891144, 39.451415860977576], ""type"": ""Point""}";39.451415860977576, -0.3847320662891144
Led;;;1927;SAN VICENTE - ALMUDAINA;117543;"{""coordinates"": [-0.3842723030591577, 39.45375123384762], ""type"": ""Point""}";39.45375123384762, -0.3842723030591577
Hal6gena/Incandescencia;;;2006;RAMON LLULL - SERPIS;117549;"{""coordinates"": [-0.3472580436760622, 39.47544699919865], ""type"": ""Point""}";39.47544699919865, -0.3472580436760622
Hal7gena/Incandescencia;;;2007;RAMON LLULL - Ce DEL CABADAL;117550;"{""coordinates"": [-0.34717952489490206, 39.47544844988826], ""type"": ""Point""}";39.47544844988826, -0.34717952489490206
Led;;;2009;RAMON LLULL - ALFONSO GABINO;117551;"{""coordinates"": [-0.34735502883785857, 39.475014721104394], ""type"": ""Point""}";39.475014721104394, -0.34735502883785857
Hal8gena/Incandescencia;;;2018;JUSTO Y PASTOR - REP. ARGENTINA;117552;"{""coordinates"": [-0.3522132024122212, 39.470995271674425], ""type"": ""Point""}";39.470995271674425, -0.3522132024122212
Hal0gena/Incandescencia;;;2020;MANUEL CANDELA - JUSTO Y PASTOR;117554;"{""coordinates"": [-0.34933306363132777, 39.46983072436914], ""type"": ""Point""}";39.46983072436914, -0.34933306363132777
Hal2gena/Incandescencia;;;2022;LOS LEONES - POETA MAS Y ROS;117556;"{""coordinates"": [-0.34695762780858497, 39.46994948604579], ""type"": ""Point""}";39.46994948604579, -0.34695762780858497
Led;;;2027;BLASCO IBANEZ - REPUBLICA ARGENTINA;117561;"{""coordinates"": [-0.35035525459914024, 39.47457309333021], ""type"": ""Point""}";39.47457309333021, -0.35035525459914024
Hal1gena/Incandescencia;;;2101;RODRIGUEZ CEPEDA - ABEN AL ABBAR;117566;"{""coordinates"": [-0.352143048839419, 39.46844428309088], ""type"": ""Point""}";39.46844428309088, -0.352143048839419
Led;;;2108;AVDA. DEL PUERTO - ABEN AL ABBAR;117570;"{""coordinates"": [-0.3533322102204646, 39.46601900492726], ""type"": ""Point""}";39.46601900492726, -0.3533322102204646
Led;;;2109;AVDA. PUERTO - CALLEJON SUAY;117571;"{""coordinates"": [-0.3548932790241266, 39.46648462546871], ""type"": ""Point""}";39.46648462546871, -0.3548932790241266
Led;;;2110;AVDA. DEL PUERTO - SINDICATURA DE CUENTAS;117572;"{""coordinates"": [-0.3522700662910256, 39.465704998382314], ""type"": ""Point""}";39.465704998382314, -0.3522700662910256
Led;;;2116;TOMAS DE MONTA ANA - BALEARES;117578;"{""coordinates"": [-0.35237573065466143, 39.462654873718684], ""type"": ""Point""}";39.462654873718684, -0.35237573065466143
Led;;;2117;RIO ESCALONA - BALEARES;117579;"{""coordinates"": [-0.3544870230270085, 39.46277097030927], ""type"": ""Point""}";39.46277097030927, -0.3544870230270085
Led;;;2118;TOMAS DE MONTA ANA - FRANCIA;117580;"{""coordinates"": [-0.3530943173101678, 39.460950386150934], ""type"": ""Point""}";39.460950386150934, -0.3530943173101678
Hal9gena/Incandescencia;;;2119;MARINO ALBESA    - PERIS BRELL;117581;"{""coordinates"": [-0.3469757023801361, 39.46654990311541], ""type"": ""Point""}";39.46654990311541, -0.3469757023801361
Led;;;2123;AVDA. PUERTO - DUQUE DE GAETA;117585;"{""coordinates"": [-0.3503576983251775, 39.46513484994967], ""type"": ""Point""}";39.46513484994967, -0.3503576983251775
Led;;;2124;AVDA DEL PUERTO - LEONES;117586;"{""coordinates"": [-0.3487917917684279, 39.46466968919213], ""type"": ""Point""}";39.46466968919213, -0.3487917917684279
Hal5gena/Incandescencia;;;2125;TOMAS DE MONTAdANA - ASTURIAS;117587;"{""coordinates"": [-0.3517354887062823, 39.463855569198685], ""type"": ""Point""}";39.463855569198685, -0.3517354887062823
Led;;;2212;HNOS. MARISTAS-CI S. LUIS;117598;"{""coordinates"": [-0.36981873186540254, 39.45079780512641], ""type"": ""Point""}";39.45079780512641, -0.36981873186540254
Led;;;2214;AVDA. DE LA PLATA - SENYERA;117600;"{""coordinates"": [-0.3626260052322861, 39.45715826238256], ""type"": ""Point""}";39.45715826238256, -0.3626260052322861
Led;;;2219;HNOS. MARISTAS-AUSIAS MARCH;117603;"{""coordinates"": [-0.3713046310330833, 39.44984594716766], ""type"": ""Point""}";39.44984594716766, -0.3713046310330833
Led;;;2221;AVDA. DE LA PLATA - MOLINA PALAU;117605;"{""coordinates"": [-0.37027805635356, 39.45352705784323], ""type"": ""Point""}";39.45352705784323, -0.37027805635356
Led;;;2302;ISLA CABRERA - J. RAMON JIMENEZ;117610;"{""coordinates"": [-0.3720971739028507, 39.44954477710341], ""type"": ""Point""}";39.44954477710341, -0.3720971739028507
Led;;;2304;ING. JOAQUIN BENLLOCH - BENIFAIRO DE VALLDIGNA;117612;"{""coordinates"": [-0.37455891032426053, 39.450322738274245], ""type"": ""Point""}";39.450322738274245, -0.37455891032426053
Led;;;2312;CARRERA MALILLA - PINTOR PEDRO CAMARA;117620;"{""coordinates"": [-0.37938132240506556, 39.450079326537484], ""type"": ""Point""}";39.450079326537484, -0.37938132240506556
Led;;;2315;Ce MALILLA - ISLA FORMENTERA;117623;"{""coordinates"": [-0.38025790753230887, 39.447173560754095], ""type"": ""Point""}";39.447173560754095, -0.38025790753230887
Led;;;2316;AMPARO ITURBI - JUAN RAMON JIMENEZ;117624;"{""coordinates"": [-0.37581132748319596, 39.454869755478654], ""type"": ""Point""}";39.454869755478654, -0.37581132748319596
Led;;;2407;TRES CRUCES - PROFESOR ANGEL DE LACALLE;117630;"{""coordinates"": [-0.40153169825528523, 39.45602610280191], ""type"": ""Point""}";39.45602610280191, -0.40153169825528523
Led;;;2411;CAMPOS CRESPO - BORRASCA;117633;"{""coordinates"": [-0.3981159851663666, 39.45486042631002], ""type"": ""Point""}";39.45486042631002, -0.3981159851663666
Led;;;2413;CAMPOS CRESPO - JACINTO LABAILA;117634;"{""coordinates"": [-0.3932539209908382, 39.456183704015835], ""type"": ""Point""}";39.456183704015835, -0.3932539209908382
Led;;;2415;TRES CRUCES - DOCTOR RAFAEL BARTUAL;117636;"{""coordinates"": [-0.4007926913421904, 39.45481500469006], ""type"": ""Point""}";39.45481500469006, -0.4007926913421904
Led;;;2416;TRES CRUCES - CANONIGO TARREGA;117637;"{""coordinates"": [-0.39998564119929275, 39.45490496939126], ""type"": ""Point""}";39.45490496939126, -0.39998564119929275
Led;;;2421;AV. JOSE ROCA COLL -  VALL D'UXO;117642;"{""coordinates"": [-0.3975414301674915, 39.458790643055934], ""type"": ""Point""}";39.458790643055934, -0.3975414301674915
Led;;;2504;RAMON Y CAJAL - GANDIA;117646;"{""coordinates"": [-0.38354249837423454, 39.46844224342463], ""type"": ""Point""}";39.46844224342463, -0.38354249837423454
Led;;;2507;FERNANDO EL CATOLICO - JUAN DE MENA;117649;"{""coordinates"": [-0.38618821029009154, 39.4720853946236], ""type"": ""Point""}";39.4720853946236, -0.38618821029009154
Led;;;2511;JESUS - PINTOR BENEDITO;117652;"{""coordinates"": [-0.38374212504564276, 39.465630583255006], ""type"": ""Point""}";39.465630583255006, -0.38374212504564276
Led;;;2513;GUILLEM DE CASTRO - ANGEL GUIMERA;117654;"{""coordinates"": [-0.3837020781205955, 39.47046146694755], ""type"": ""Point""}";39.47046146694755, -0.3837020781205955
Led;;;2518;GUILLEM DE CASTRO - QUART;117659;"{""coordinates"": [-0.38425286093402566, 39.475531408598634], ""type"": ""Point""}";39.475531408598634, -0.38425286093402566
Led;;;2519;GUILLEM DE CASTRO - CORONA;117660;"{""coordinates"": [-0.3836231083964081, 39.47809753189191], ""type"": ""Point""}";39.47809753189191, -0.3836231083964081
Hal3gena/Incandescencia;;;2603;BURJASOT - FLORISTA;117668;"{""coordinates"": [-0.39066619956932264, 39.48997318996344], ""type"": ""Point""}";39.48997318996344, -0.39066619956932264
Led;;;2604;BURJASOT - TUEJAR;117669;"{""coordinates"": [-0.3920670936822681, 39.49099362568449], ""type"": ""Point""}";39.49099362568449, -0.3920670936822681
Hal6gena/Incandescencia;;;2606;BURJASOT - CARRASQUETA;117671;"{""coordinates"": [-0.39542995105816675, 39.49423204218686], ""type"": ""Point""}";39.49423204218686, -0.39542995105816675
Hal7gena/Incandescencia;;;2607;BURJASOT - LUIS BRAILLE;117672;"{""coordinates"": [-0.39662742624936587, 39.495628665617616], ""type"": ""Point""}";39.495628665617616, -0.39662742624936587
Hal9gena/Incandescencia;;;2609;JOSE GROLLO - MAESTRO MIGUEL GALAN;117674;"{""coordinates"": [-0.394725358971333, 39.49455803966886], ""type"": ""Point""}";39.49455803966886, -0.394725358971333
Hal2gena/Incandescencia;;;2612;JOSE GROLLO - MONTDUVER;117677;"{""coordinates"": [-0.3888236115717031, 39.489739730401254], ""type"": ""Point""}";39.489739730401254, -0.3888236115717031
Hal4gena/Incandescencia;;;2614;FLORISTA - GARBe;117679;"{""coordinates"": [-0.394604599473833, 39.4924430400466], ""type"": ""Point""}";39.4924430400466, -0.394604599473833
Hal0gena/Incandescencia;;;2620;GIL SUMBIELA - PLATANOS;117685;"{""coordinates"": [-0.3885359048920136, 39.492334732557985], ""type"": ""Point""}";39.492334732557985, -0.3885359048920136
Hal3gena/Incandescencia;;;2623;GIL SUMBIELA - GRAL. LLORENS;117688;"{""coordinates"": [-0.3857627596627699, 39.49156419274847], ""type"": ""Point""}";39.49156419274847, -0.3857627596627699
Led;;;2702;VICENTE ZARAGOZA - BARON DE SAN PETRILLO;117694;"{""coordinates"": [-0.36098597988627196, 39.48427465362329], ""type"": ""Point""}";39.48427465362329, -0.36098597988627196
Led;;;2703;VICENTE ZARAGOZA - JUAN GINER;117695;"{""coordinates"": [-0.35953649099251567, 39.48384741175662], ""type"": ""Point""}";39.48384741175662, -0.35953649099251567
Led;;;2704;VICENTE ZARAGOZA - MISTRAL;117696;"{""coordinates"": [-0.35860537444162843, 39.483577608078264], ""type"": ""Point""}";39.483577608078264, -0.35860537444162843
Led;;;2705;VICENTE ZARAGOZA - HERMANOS VILLALONGA;117697;"{""coordinates"": [-0.3576595952206262, 39.48330223849208], ""type"": ""Point""}";39.48330223849208, -0.3576595952206262
Led;;;2711;POETA EMILIO BARO - POETA ASINS;117702;"{""coordinates"": [-0.36094047524444894, 39.48733416505558], ""type"": ""Point""}";39.48733416505558, -0.36094047524444894
Led;;;2715;PRIMADO REIG - VILA DE MURO;117706;"{""coordinates"": [-0.3620587772465031, 39.48348813456606], ""type"": ""Point""}";39.48348813456606, -0.3620587772465031
Led;;;2717;PRIMADO REIG - CUENCA TRAMOYERES;117708;"{""coordinates"": [-0.360908861709234, 39.48260051603875], ""type"": ""Point""}";39.48260051603875, -0.360908861709234
Led;;;2718;PRIMADO REIG - ALEMANIA;117709;"{""coordinates"": [-0.3613329903481059, 39.48255663583677], ""type"": ""Point""}";39.48255663583677, -0.3613329903481059
