Òptica / Óptica;Tipus Regulador / Tipo Regulador;Cod. Regulador;Cod. Encreuament / Cod. Cruce;Descripció / Descripción;OBJECTID;geo_shape;geo_point_2d
Led;;;3315;FRANCISCO CUBELLS - PADRE LUIS NAVARRO;117833;"{""coordinates"": [-0.330513792667378, 39.46296076809348], ""type"": ""Point""}";39.46296076809348, -0.330513792667378
Hal3gena/Incandescencia;;;3723;PADRE VIrAS - S. JUAN DE LA PEAA;117837;"{""coordinates"": [-0.3691939080863708, 39.495520562867874], ""type"": ""Point""}";39.495520562867874, -0.3691939080863708
Hal4gena/Incandescencia;;;3724;PADRE VIrAS - SANTIAGO RUSI OL;117838;"{""coordinates"": [-0.36840995414514993, 39.49656575280925], ""type"": ""Point""}";39.49656575280925, -0.36840995414514993
Led;;;3803;AVDA. CORTES VALENCIANAS - L'HORTA SUD - C.NAVARRES;117840;"{""coordinates"": [-0.4006405904778913, 39.49264020647023], ""type"": ""Point""}";39.49264020647023, -0.4006405904778913
Led;;;3808;AVDA. DE LES CORTS - GASOLINERA;117843;"{""coordinates"": [-0.39833612159318604, 39.488389808375565], ""type"": ""Point""}";39.488389808375565, -0.39833612159318604
Led;;;3810;NICASIO BENLLOCH - SIERRA AGULLENT;117845;"{""coordinates"": [-0.3984059456468321, 39.493363780161], ""type"": ""Point""}";39.493363780161, -0.3984059456468321
Led;;;3817;NICASIO BENLLOCH - SIERRA MARTES;117852;"{""coordinates"": [-0.39171543423604704, 39.488631914594244], ""type"": ""Point""}";39.488631914594244, -0.39171543423604704
Led;;;3831;AVDA. CORTES VALENCIANAS (VIA DE SERVICIO) (ENTRADA) - LA SAFOR;117856;"{""coordinates"": [-0.3991909683243537, 39.48957000001616], ""type"": ""Point""}";39.48957000001616, -0.3991909683243537
Led;;;3903;BALEARES - TRAFALGAR;117860;"{""coordinates"": [-0.34575677633263885, 39.460258907510294], ""type"": ""Point""}";39.460258907510294, -0.34575677633263885
Led;;;3905;BALEARES - PINTOR MAELLA;117862;"{""coordinates"": [-0.34749472536133635, 39.460692360282145], ""type"": ""Point""}";39.460692360282145, -0.34749472536133635
Led;;;3911;AV. FRANCIA - TRAFALGAR NORTE;117868;"{""coordinates"": [-0.3458294533544943, 39.458958259906936], ""type"": ""Point""}";39.458958259906936, -0.3458294533544943
Led;;;3913;FRANCIA - MENORCA;117870;"{""coordinates"": [-0.34363505560557256, 39.458412101155865], ""type"": ""Point""}";39.458412101155865, -0.34363505560557256
Led;;;3918;ALAMEDA - TRES DE ABRIL DE 1979;117874;"{""coordinates"": [-0.34435609773198295, 39.45455372774147], ""type"": ""Point""}";39.45455372774147, -0.34435609773198295
Led;;;3920;BALEARES - IBIZA;117876;"{""coordinates"": [-0.3407254627362433, 39.459271301313336], ""type"": ""Point""}";39.459271301313336, -0.3407254627362433
Led;;;3921;MENORCA - RODRIGO DE PERTEGAZ;117877;"{""coordinates"": [-0.3409450734720016, 39.46063655891652], ""type"": ""Point""}";39.46063655891652, -0.3409450734720016
Hal2gena/Incandescencia;;;4002;BULEVAR HNOS. MACHADO - JUAN XXIII;117878;"{""coordinates"": [-0.3848409231425289, 39.49707628093322], ""type"": ""Point""}";39.49707628093322, -0.3848409231425289
Hal6gena/Incandescencia;;;4006;AVDA. ECUADOR - SERRANO CLAVERO;117882;"{""coordinates"": [-0.3881665299826286, 39.49328442458933], ""type"": ""Point""}";39.49328442458933, -0.3881665299826286
Hal7gena/Incandescencia;;;4007;AVDA. ECUADOR - PINTOR MATARANA;117883;"{""coordinates"": [-0.3909123225453567, 39.494390861883204], ""type"": ""Point""}";39.494390861883204, -0.3909123225453567
Hal9gena/Incandescencia;;;4009;F. ALCACER AGUILAR-SERRANO CLAVERO;117885;"{""coordinates"": [-0.38667114043172957, 39.495158951362185], ""type"": ""Point""}";39.495158951362185, -0.38667114043172957
Hal2gena/Incandescencia;;;4012;AVENIDA ECUADOR - SALVADOR CERVERO;117888;"{""coordinates"": [-0.39353796627378146, 39.49681982275598], ""type"": ""Point""}";39.49681982275598, -0.39353796627378146
Led;;;4106;DR TOMAS SALA  - CARTEROS;117894;"{""coordinates"": [-0.39042449206838004, 39.44739397653249], ""type"": ""Point""}";39.44739397653249, -0.39042449206838004
Led;;;4114;SAN VICENTE - ARZOBISPO OLAECHEA;117901;"{""coordinates"": [-0.38783592019689495, 39.44242285609312], ""type"": ""Point""}";39.44242285609312, -0.38783592019689495
Hal5gena/Incandescencia;;;4205;ALFAHUIR - OP. SANTIAGO RUSITOL;117907;"{""coordinates"": [-0.3614794837816479, 39.491640427828465], ""type"": ""Point""}";39.491640427828465, -0.3614794837816479
Hal6gena/Incandescencia;;;4206;ALFAHUIR - DOLORES MARQUES;117908;"{""coordinates"": [-0.35956201904852547, 39.492882958915516], ""type"": ""Point""}";39.492882958915516, -0.35956201904852547
Hal8gena/Incandescencia;;;4208;ALFAHUIR - P.P. ENTRADA;117910;"{""coordinates"": [-0.35917732969787725, 39.49359095208563], ""type"": ""Point""}";39.49359095208563, -0.35917732969787725
Hal9gena/Incandescencia;;;4209;ALFAHUIR - OP. DOLORES MARQUES;117911;"{""coordinates"": [-0.3598814017318635, 39.493190567956965], ""type"": ""Point""}";39.493190567956965, -0.3598814017318635
Hal5gena/Incandescencia;;;4215;Ce VIEJO DE ALBORAYA - BENICARLO;117917;"{""coordinates"": [-0.3673756995726716, 39.48796337346076], ""type"": ""Point""}";39.48796337346076, -0.3673756995726716
Hal6gena/Incandescencia;;;4216;DUQUE DE MANDAS - BEATA GENOVEVA;117918;"{""coordinates"": [-0.3655685793396473, 39.49097224131307], ""type"": ""Point""}";39.49097224131307, -0.3655685793396473
Hal7gena/Incandescencia;;;4217;DUQUE DE MANDAS - MOTILLA DEL PALANCAR;117919;"{""coordinates"": [-0.36653645322323253, 39.491882445039806], ""type"": ""Point""}";39.491882445039806, -0.36653645322323253
Hal8gena/Incandescencia;;;4218;SAN VICENTE DE PAUL - DUQUE DE MANDAS;117920;"{""coordinates"": [-0.3677084016659195, 39.49254943330859], ""type"": ""Point""}";39.49254943330859, -0.3677084016659195
Led;;;4304;PP OESTE - VIA SERVICIO TRAS. LA FE;117925;"{""coordinates"": [-0.37846222034579824, 39.44271703409269], ""type"": ""Point""}";39.44271703409269, -0.37846222034579824
Led;;;4315;ENTRADA PARKING - VIA DE SERVICIO DEL. LA FE;117934;"{""coordinates"": [-0.37336502469782473, 39.44424426791752], ""type"": ""Point""}";39.44424426791752, -0.37336502469782473
Led;;;4318;FERNANDO ABRIL MARTORELL - JOAQUIN BENLLOCH P.P.;117937;"{""coordinates"": [-0.37460584361349347, 39.44479427317298], ""type"": ""Point""}";39.44479427317298, -0.37460584361349347
Hal4gena/Incandescencia;;;4404;AV. H. MACHADO - CONDE TORREFIEL;117941;"{""coordinates"": [-0.3781047047626421, 39.49914062654319], ""type"": ""Point""}";39.49914062654319, -0.3781047047626421
Hal9gena/Incandescencia;;;4409;AV. H. MACHADO - CONSTITUCION;117946;"{""coordinates"": [-0.37025545946197236, 39.49785020475394], ""type"": ""Point""}";39.49785020475394, -0.37025545946197236
Hal4gena/Incandescencia;;;4414;AV. H. MACHADO - GENOVEVA TORRES;117951;"{""coordinates"": [-0.36095018087669034, 39.495267851043394], ""type"": ""Point""}";39.495267851043394, -0.36095018087669034
Hal0gena/Incandescencia;;;4420;CONDE LUMIARES - SANTIAGO RUSI OL;117956;"{""coordinates"": [-0.37174982267948004, 39.497858252454655], ""type"": ""Point""}";39.497858252454655, -0.37174982267948004
Hal2gena/Incandescencia;;;4502;C/ DELS COCOTERS - C/ SUIZA;117959;"{""coordinates"": [-0.33497629155268993, 39.45358534848698], ""type"": ""Point""}";39.45358534848698, -0.33497629155268993
Hal4gena/Incandescencia;;;4504;C/ DE LES MORERES - C/ ADOLFO DE AZCARRAGA (ESCRITOR);117960;"{""coordinates"": [-0.33701643078313964, 39.45216413414609], ""type"": ""Point""}";39.45216413414609, -0.33701643078313964
Hal5gena/Incandescencia;;;4505;C/ DE LES MORERES - C/ L'ALQUEREA DEL FAVERO;117961;"{""coordinates"": [-0.33841436452575, 39.451804094754316], ""type"": ""Point""}";39.451804094754316, -0.33841436452575
Led;;;5000;FELIPE VALLS - CAMPAMENTO;117966;"{""coordinates"": [-0.41977371665871327, 39.50257996701585], ""type"": ""Point""}";39.50257996701585, -0.41977371665871327
Led;;;5003;CNO NUEVO PATERNA - BETERA;117968;"{""coordinates"": [-0.41869029811150693, 39.49676052881542], ""type"": ""Point""}";39.49676052881542, -0.41869029811150693
Led;;;5004;CNO NUEVO PATERNA - TARIN;117969;"{""coordinates"": [-0.4159494693349274, 39.496920863627], ""type"": ""Point""}";39.496920863627, -0.4159494693349274
Led;;;5008;CAMINO MONCADA NR 183 (frente Iglesia Poble Nou);117972;"{""coordinates"": [-0.38270124920560145, 39.502827227695036], ""type"": ""Point""}";39.502827227695036, -0.38270124920560145
Led;;;5010;CTRA. DE MONCADA - AVDA. DEL PALMARET (BORBOTO);117974;"{""coordinates"": [-0.3865486042679664, 39.51760757391521], ""type"": ""Point""}";39.51760757391521, -0.3865486042679664
Led;;;5017;AV DE LAS FERIAS - ALGEMESI;117980;"{""coordinates"": [-0.4247269737914909, 39.50620924563677], ""type"": ""Point""}";39.50620924563677, -0.4247269737914909
Led;;;5025;ETD - PASO INFERIOR FERIA MUESTRAS DE BURJASSOT A PATERNA;117983;"{""coordinates"": [-0.42454674797046654, 39.50560391207891], ""type"": ""Point""}";39.50560391207891, -0.42454674797046654
Led;;;5028;PASO DE PEATONES CASAS DE BARCENA ND44;117986;"{""coordinates"": [-0.359427762026234, 39.519540161983684], ""type"": ""Point""}";39.519540161983684, -0.359427762026234
Led;;;5307;CRA DEL RIU - MOSEN CUENCA;117988;"{""coordinates"": [-0.34044750857661227, 39.422035154068084], ""type"": ""Point""}";39.422035154068084, -0.34044750857661227
Led;;;5409;DR. RUIZ Y COMES - CTRA. DEL PI (CASTELLAR);117996;"{""coordinates"": [-0.36164574210542255, 39.425997505569995], ""type"": ""Point""}";39.425997505569995, -0.36164574210542255
Led;;;5411;CRA. EN CORTS - CAMI DEL ROIG;117998;"{""coordinates"": [-0.35738605218629127, 39.444485839665475], ""type"": ""Point""}";39.444485839665475, -0.35738605218629127
Led;;;5412;CRISTO DEL REFUGIO - TREMOLAR;117999;"{""coordinates"": [-0.36344621846679737, 39.42395533344915], ""type"": ""Point""}";39.42395533344915, -0.36344621846679737
Led;;;5510;CTRA. DE ALBA - CASTELL DE CULLERA;118005;"{""coordinates"": [-0.39234165340498667, 39.435427300033766], ""type"": ""Point""}";39.435427300033766, -0.39234165340498667
Led;;;5511;CNO. REAL DE MADRID - HELLIN;118006;"{""coordinates"": [-0.39143163702081535, 39.433737088982305], ""type"": ""Point""}";39.433737088982305, -0.39143163702081535
Led;;;5515;PASO PEATONES CASA DE MAICALLES;118010;"{""coordinates"": [-0.39384102868404847, 39.432289535430954], ""type"": ""Point""}";39.432289535430954, -0.39384102868404847
Led;;;2522;C/JESUS - PADRE JOFRE;118011;"{""coordinates"": [-0.38184215992390147, 39.46795846343525], ""type"": ""Point""}";39.46795846343525, -0.38184215992390147
Led;;;1308;PRIMADO REIG - VINAROZ;118013;"{""coordinates"": [-0.3664208127217468, 39.4867009581721], ""type"": ""Point""}";39.4867009581721, -0.3664208127217468
Hal2gena/Incandescencia;;;1732;CONTROLADOR DE PANEL;118015;"{""coordinates"": [-0.3989121109610583, 39.48944970663989], ""type"": ""Point""}";39.48944970663989, -0.3989121109610583
Led;;;2318;PIANISTA MARTINEZ CARRASCO - VICENT MIGUEL CARCELLER (PERIODISTA);118020;"{""coordinates"": [-0.37657848059084564, 39.446977779776006], ""type"": ""Point""}";39.446977779776006, -0.37657848059084564
Led;;;2319;PIANISTA MARTINEZ CARRASCO - VICENT MARCO MIRANDA (POLITICO);118022;"{""coordinates"": [-0.37386690945384715, 39.44675609784394], ""type"": ""Point""}";39.44675609784394, -0.37386690945384715
Led;;;5303;PASO DE PEATONES AV. DE LAS GAVIOTAS 145 (PERELLONET);118027;"{""coordinates"": [-0.2903741000555145, 39.30010396774685], ""type"": ""Point""}";39.30010396774685, -0.2903741000555145
Led;;;5311;PASO DE PEATONES AV. DE LAS GAVIOTAS 249 (PERELLONET);118030;"{""coordinates"": [-0.2817757581075375, 39.28501649052692], ""type"": ""Point""}";39.28501649052692, -0.2817757581075375
Led;;;2808;AVDA. DE LOS NARANJOS - PABELLON POLIDEPORTIVO;118032;"{""coordinates"": [-0.3418338313625176, 39.479069603018324], ""type"": ""Point""}";39.479069603018324, -0.3418338313625176
Led;;;5029;CAMPAMENTO - SENDA SECANET;118035;"{""coordinates"": [-0.4229319732963692, 39.50132864613025], ""type"": ""Point""}";39.50132864613025, -0.4229319732963692
Led;;;0931;AVDA. DEL CID - BURGOS;118036;"{""coordinates"": [-0.39946661868240607, 39.469021289751936], ""type"": ""Point""}";39.469021289751936, -0.39946661868240607
Led;;;0909;AVDA. DEL CID - SANTA CRUZ DE TENERIFE;118037;"{""coordinates"": [-0.39965827696687656, 39.468434869297546], ""type"": ""Point""}";39.468434869297546, -0.39965827696687656
Led;;;0908;AVDA. DEL CID - JOSE MAESTRE;118039;"{""coordinates"": [-0.40293267557121687, 39.4691213208158], ""type"": ""Point""}";39.4691213208158, -0.40293267557121687
Led;;;0907;AVDA. DEL CID - MISERICORDIA;118041;"{""coordinates"": [-0.4101864752794379, 39.46947715797417], ""type"": ""Point""}";39.46947715797417, -0.4101864752794379
Led;;;0934;AVDA. DEL CID - OP. MARCONI;118043;"{""coordinates"": [-0.4143476559751314, 39.469812513401365], ""type"": ""Point""}";39.469812513401365, -0.4143476559751314
Led;;;5018;AV DE LAS FERIAS - JOAQUIN MARIN;118046;"{""coordinates"": [-0.4248875363477644, 39.50442815703305], ""type"": ""Point""}";39.50442815703305, -0.4248875363477644
Led;;;0906;AVDA. DEL CID - MARCONI;118042;"{""coordinates"": [-0.4143102417478908, 39.46909349538572], ""type"": ""Point""}";39.46909349538572, -0.4143102417478908
Led;;;5024;ETD - PASO INFERIOR FERIA MUESTRAS DE PATERNA A BURJASSOT;118047;"{""coordinates"": [-0.42704017217130197, 39.50290416713693], ""type"": ""Point""}";39.50290416713693, -0.42704017217130197
Led;;;1520;ALAMEDA - PL. GALICIA;118050;"{""coordinates"": [-0.36284458025367816, 39.471935648346076], ""type"": ""Point""}";39.471935648346076, -0.36284458025367816
Hal3gena/Incandescencia;;;1433;;118051;"{""coordinates"": [-0.35438607454954313, 39.476108314714665], ""type"": ""Point""}";39.476108314714665, -0.35438607454954313
Led;;;0205;;118054;"{""coordinates"": [-0.3699325023685888, 39.47276788482263], ""type"": ""Point""}";39.47276788482263, -0.3699325023685888
Hal2gena/Incandescencia;;;2102;MANUEL CANDELA - RODRIGUEZ CEPEDA;118062;"{""coordinates"": [-0.350423018480361, 39.46768600007459], ""type"": ""Point""}";39.46768600007459, -0.350423018480361
Hal0gena/Incandescencia;;;2010;Dr. Manuel Candela - Explorador Andres;118064;"{""coordinates"": [-0.3484430691148313, 39.47235215150862], ""type"": ""Point""}";39.47235215150862, -0.3484430691148313
Hal6gena/Incandescencia;;;2016;Dr. Manuel candela - Pobla de Farnals;118067;"{""coordinates"": [-0.34986699332905663, 39.46889193689143], ""type"": ""Point""}";39.46889193689143, -0.34986699332905663
Led;;;0524;Filipinas-Op. Los Centelles;118069;"{""coordinates"": [-0.3768259906160031, 39.45788538934975], ""type"": ""Point""}";39.45788538934975, -0.3768259906160031
Led;;;0302;MARQUES DEL TURIA - TAQUIGRAFO MART;118075;"{""coordinates"": [-0.3712299922769342, 39.46596371427861], ""type"": ""Point""}";39.46596371427861, -0.3712299922769342
Led;;;2820;LUIS PEIXO - CONDE MELITO - I. BALLESTER;118078;"{""coordinates"": [-0.3334027122144221, 39.47499529113582], ""type"": ""Point""}";39.47499529113582, -0.3334027122144221
Led;;;0304;MARQUES DEL TURIA - ALMIRANTE CADARSO;118081;"{""coordinates"": [-0.3691597451041676, 39.466824592565324], ""type"": ""Point""}";39.466824592565324, -0.3691597451041676
Led;;;0305;MARQUES DEL TURIA - JOAQUIN COSTA;118082;"{""coordinates"": [-0.36805649160233145, 39.46729050077278], ""type"": ""Point""}";39.46729050077278, -0.36805649160233145
Led;;;0308;MARQUES DEL TURIA - JACINTO BENAVENTE;118084;"{""coordinates"": [-0.3646607610785367, 39.46880179446935], ""type"": ""Point""}";39.46880179446935, -0.3646607610785367
Led;;;0312;MARQUES DEL TURIA - JORGE JUAN;118087;"{""coordinates"": [-0.3679811029122573, 39.46740032218358], ""type"": ""Point""}";39.46740032218358, -0.3679811029122573
Led;;;0316;MARQUES DEL TURIA - FELIX PIZCUETA;118091;"{""coordinates"": [-0.3721164854048555, 39.465654131555674], ""type"": ""Point""}";39.465654131555674, -0.3721164854048555
Led;;;0326;GERMANIAS -ALICANTE;118092;"{""coordinates"": [-0.37772238564671057, 39.46346459493682], ""type"": ""Point""}";39.46346459493682, -0.37772238564671057
Led;;;0329;GERMANIAS - CASTELLON;118093;"{""coordinates"": [-0.37560829304022475, 39.46434270863045], ""type"": ""Point""}";39.46434270863045, -0.37560829304022475
Led;;;3304;SERRERIA - J. MONSORIU - MARIANO CUBER;118102;"{""coordinates"": [-0.33664797044959555, 39.463929324983866], ""type"": ""Point""}";39.463929324983866, -0.33664797044959555
Led;;;2825;Avda. de los Naranjos - Pl. Manuel Broseta i Pont (P.P.);118103;"{""coordinates"": [-0.3416679854412828, 39.47856195038245], ""type"": ""Point""}";39.47856195038245, -0.3416679854412828
Led;;;3414;Eduardo Primo Yufera - Oceanografico (P.P.);118106;"{""coordinates"": [-0.3479296363926707, 39.452174580003415], ""type"": ""Point""}";39.452174580003415, -0.3479296363926707
Led;;;0411;Reino de Valencia - Joaquin Costa;118114;"{""coordinates"": [-0.3650997045621604, 39.46301657520038], ""type"": ""Point""}";39.46301657520038, -0.3650997045621604
Led;;;4307;FDO. ABRIL MARTORELL - AUSIAS MARCH;118116;"{""coordinates"": [-0.3696602612548699, 39.44607504136103], ""type"": ""Point""}";39.44607504136103, -0.3696602612548699
Led;;;3711;Avda. ConstituciRn - Coronel Montesinos;118117;"{""coordinates"": [-0.3723838045164429, 39.49425899784167], ""type"": ""Point""}";39.49425899784167, -0.3723838045164429
Led;;;0215;COLON - JATIVA;118119;"{""coordinates"": [-0.3752590487692499, 39.466992057483345], ""type"": ""Point""}";39.466992057483345, -0.3752590487692499
Led;;;4014;HERMANOS MACHADO - SALVADOR CERVERO;118120;"{""coordinates"": [-0.38910316307634396, 39.49987413834091], ""type"": ""Point""}";39.49987413834091, -0.38910316307634396
Led;;;0103;PL. AYUNTAMIENTO - LAURIA;117053;"{""coordinates"": [-0.3757913371251505, 39.46925042231163], ""type"": ""Point""}";39.46925042231163, -0.3757913371251505
Led;;;0109;JATIVA - SAN VICENTE;117057;"{""coordinates"": [-0.3793433200677623, 39.46825879891657], ""type"": ""Point""}";39.46825879891657, -0.3793433200677623
Led;;;0110;GUILLEM DE CASTRO - JESUS;117058;"{""coordinates"": [-0.3810696658005702, 39.46855095358584], ""type"": ""Point""}";39.46855095358584, -0.3810696658005702
Led;;;0122;BARON DE CARCER - REQUENA;117066;"{""coordinates"": [-0.3795461194016857, 39.4698851367052], ""type"": ""Point""}";39.4698851367052, -0.3795461194016857
Led;;;0124;PASCUAL Y GENIS - SAGASTA;117068;"{""coordinates"": [-0.37394909359500306, 39.469959960813505], ""type"": ""Point""}";39.469959960813505, -0.37394909359500306
Led;;;0127;JATIVA - MARQUES DE SOTELO;117070;"{""coordinates"": [-0.3767905665538576, 39.467707432607504], ""type"": ""Point""}";39.467707432607504, -0.3767905665538576
Led;;;0202;PINTOR LOPEZ - POETA LLORENTE;117072;"{""coordinates"": [-0.3709624581452961, 39.47707072324591], ""type"": ""Point""}";39.47707072324591, -0.3709624581452961
Led;;;0203;PL. DE TETUAN - PTE. DEL REAL;117073;"{""coordinates"": [-0.36956394494319017, 39.475931625435734], ""type"": ""Point""}";39.475931625435734, -0.36956394494319017
Led;;;0207;PL. PORTA DE LA MAR;117076;"{""coordinates"": [-0.3684867152381026, 39.47245993602447], ""type"": ""Point""}";39.47245993602447, -0.3684867152381026
Led;;;1111;SAN PIO V - ALBORAYA;117084;"{""coordinates"": [-0.3721072393579939, 39.47957457261009], ""type"": ""Point""}";39.47957457261009, -0.3721072393579939
Led;;;1114;SAGUNTO - RUAYA;117087;"{""coordinates"": [-0.3748978455677253, 39.48522885680787], ""type"": ""Point""}";39.48522885680787, -0.3748978455677253
Led;;;1115;SAGUNTO - POETA MONMENEU;117088;"{""coordinates"": [-0.37487044303568456, 39.48270334744262], ""type"": ""Point""}";39.48270334744262, -0.37487044303568456
Led;;;1024;PADRE FERRIS - GREGORIO GEA;117094;"{""coordinates"": [-0.3848469329105051, 39.483272616034625], ""type"": ""Point""}";39.483272616034625, -0.3848469329105051
Led;;;1025;FRANCISCO TARREGA - MUSICO JARQUE CUALLADO;117095;"{""coordinates"": [-0.38489126079972785, 39.48883942406018], ""type"": ""Point""}";39.48883942406018, -0.38489126079972785
Led;;;1026;FRANCISCO TARREGA - SAN PANCRACIO;117096;"{""coordinates"": [-0.3840308285112442, 39.48826142137202], ""type"": ""Point""}";39.48826142137202, -0.3840308285112442
Led;;;1031;REUS - ALQUERIA DE LA ESTRELLA;117101;"{""coordinates"": [-0.38350685325888156, 39.48563797662091], ""type"": ""Point""}";39.48563797662091, -0.38350685325888156
Led;;;1032;CAMPANAR - SAN JAVIER;117102;"{""coordinates"": [-0.39244138228422104, 39.48285545886936], ""type"": ""Point""}";39.48285545886936, -0.39244138228422104
Led;;;1104;GUADALAVIAR - VISITACION;117106;"{""coordinates"": [-0.37687082950833317, 39.48277176406447], ""type"": ""Point""}";39.48277176406447, -0.37687082950833317
Led;;;1602;AVDA DEL PUERTO - MAESTRO VALLS;117109;"{""coordinates"": [-0.34285267827598986, 39.462902560825036], ""type"": ""Point""}";39.462902560825036, -0.34285267827598986
Led;;;1603;AVDA. DEL PUERTO - PERIS BRELL;117110;"{""coordinates"": [-0.34751872817337437, 39.46429182018723], ""type"": ""Point""}";39.46429182018723, -0.34751872817337437
Led;;;1604;AVDA. DEL PUERTO - SAMUEL ROS;117111;"{""coordinates"": [-0.3452528709267097, 39.46361820704072], ""type"": ""Point""}";39.46361820704072, -0.3452528709267097
Led;;;1606;ISLAS CANARIAS - SIETE AGUAS;117113;"{""coordinates"": [-0.3408040979790006, 39.46142709500669], ""type"": ""Point""}";39.46142709500669, -0.3408040979790006
Led;;;1611;ISLAS CANARIAS - GASOLINERA;117117;"{""coordinates"": [-0.34834049352500085, 39.464446245367235], ""type"": ""Point""}";39.464446245367235, -0.34834049352500085
Hal4gena/Incandescencia;;;1614;MARINO ALBESA -  INDUSTRIA;117120;"{""coordinates"": [-0.34298378406909297, 39.46526936638697], ""type"": ""Point""}";39.46526936638697, -0.34298378406909297
Led;;;1616;JERONIMO MONSORIU - INDUSTRIA;117122;"{""coordinates"": [-0.34253611227863634, 39.46618775274567], ""type"": ""Point""}";39.46618775274567, -0.34253611227863634
Led;;;1617;AVDA DEL PUERTO - SIETE AGUAS;117123;"{""coordinates"": [-0.34073820671432936, 39.46226925744048], ""type"": ""Point""}";39.46226925744048, -0.34073820671432936
Led;;;1619;AVDA DEL PUERTO - PINTOR MAELLA;117125;"{""coordinates"": [-0.34613652289841423, 39.463874779370705], ""type"": ""Point""}";39.463874779370705, -0.34613652289841423
Led;;;1703;MAESTRO RODRIGO - GENERAL AVILES;117126;"{""coordinates"": [-0.4024284588419256, 39.48323607120909], ""type"": ""Point""}";39.48323607120909, -0.4024284588419256
Led;;;1704;GENERAL AVILIS - TERRATEIG;117127;"{""coordinates"": [-0.4046870458523917, 39.48224637882707], ""type"": ""Point""}";39.48224637882707, -0.4046870458523917
Led;;;1706;GENERAL AVILES - PUERTO DE SANTA MARIA;117129;"{""coordinates"": [-0.3992763625895808, 39.484656255147925], ""type"": ""Point""}";39.484656255147925, -0.3992763625895808
Led;;;1708;SALIDA PARQUE BOMBEROS CAMPANAR - BENICALAP;117131;"{""coordinates"": [-0.40622556980412283, 39.48313440644182], ""type"": ""Point""}";39.48313440644182, -0.40622556980412283
Led;;;1713;GENERAL  AVILES - MIGUEL SERVET;117135;"{""coordinates"": [-0.3934673544980215, 39.4868136122141], ""type"": ""Point""}";39.4868136122141, -0.3934673544980215
Hal2gena/Incandescencia;;;1122;ALMASSORA - SAN JUAN DE LA CRUZ;117137;"{""coordinates"": [-0.3719526000692169, 39.484301133643534], ""type"": ""Point""}";39.484301133643534, -0.3719526000692169
Hal9gena/Incandescencia;;;1129;FRAY PEDRO VIVES - MINISTRO LUIS MAYANS;117141;"{""coordinates"": [-0.3717445623524547, 39.486391958868474], ""type"": ""Point""}";39.486391958868474, -0.3717445623524547
Hal0gena/Incandescencia;;;1130;FRAY PEDRO VIVES - BILBAO;117142;"{""coordinates"": [-0.3726582799491054, 39.48660441916296], ""type"": ""Point""}";39.48660441916296, -0.3726582799491054
Led;;;1132;ACTOR MORA - VISITACION;117144;"{""coordinates"": [-0.37613249677375443, 39.48629599532873], ""type"": ""Point""}";39.48629599532873, -0.37613249677375443
Led;;;1201;DR. PESET ALEIXANDRE - ALCA IZ;117145;"{""coordinates"": [-0.37735586676521493, 39.491449607067004], ""type"": ""Point""}";39.491449607067004, -0.37735586676521493
Led;;;1205;DR. PESET ALEIXANDRE - JUAN XXIII;117148;"{""coordinates"": [-0.382295416359842, 39.49002886995415], ""type"": ""Point""}";39.49002886995415, -0.382295416359842
Led;;;1207;CONSTITUCION - CP DE MONCADA;117150;"{""coordinates"": [-0.37653398072165767, 39.488641756906425], ""type"": ""Point""}";39.488641756906425, -0.37653398072165767
Led;;;1210;SAGUNTO - PADRE URBANO;117153;"{""coordinates"": [-0.3750613269479114, 39.48914343920548], ""type"": ""Point""}";39.48914343920548, -0.3750613269479114
Led;;;1215;CAMINO MONCADA - CAMBRILS;117158;"{""coordinates"": [-0.38025134383039894, 39.49489492723495], ""type"": ""Point""}";39.49489492723495, -0.38025134383039894
Led;;;1216;CAMINO MONCADA - PINTOR ALEMANY;117159;"{""coordinates"": [-0.38093613440489094, 39.49648843162751], ""type"": ""Point""}";39.49648843162751, -0.38093613440489094
Led;;;1227;PRIMADO REIG - SALESIANOS;117162;"{""coordinates"": [-0.3733195128652483, 39.49164554120324], ""type"": ""Point""}";39.49164554120324, -0.3733195128652483
Led;;;1229;Ce MONCADA - PEDRO PATRICIO MEY;117163;"{""coordinates"": [-0.37926710967355337, 39.492003527787766], ""type"": ""Point""}";39.492003527787766, -0.37926710967355337
Led;;;1231;MAXIMILIANO THOUS - LUZ CASANOVA;117165;"{""coordinates"": [-0.37369948543839665, 39.487692433665], ""type"": ""Point""}";39.487692433665, -0.37369948543839665
Led;;;1233;MAXIMILIANO THOUS - LUIS MAYANS;117167;"{""coordinates"": [-0.3714728919907992, 39.487073092791086], ""type"": ""Point""}";39.487073092791086, -0.3714728919907992
Led;;;1236;CONSTITUCION - LLORERS;117169;"{""coordinates"": [-0.37495892726770597, 39.490922340095224], ""type"": ""Point""}";39.490922340095224, -0.37495892726770597
Led;;;1247;AVDA. DE PORTUGAL - CORBETA;117171;"{""coordinates"": [-0.37877921259936354, 39.48773407371596], ""type"": ""Point""}";39.48773407371596, -0.37877921259936354
Led;;;1306;PRIMADO REIG - ALFAHUIR -  ALBORAYA;117175;"{""coordinates"": [-0.3682455374831104, 39.487554711039564], ""type"": ""Point""}";39.487554711039564, -0.3682455374831104
