objectid;Código;Bocas;Situación;Estado;Tipo calle;Calle;Número;APERTURA;M_DERECHA;M_INFERIOR;M_IZQUIERDA;OPERATIVO;geo_shape;geo_point_2d
3636;H1074;3 O 70;U;O;Avd;GENERAL AVILES;90;D;;1.0;;S;"{""coordinates"": [-0.4051606116966396, 39.48204374278255], ""type"": ""Point""}";39.48204374278255, -0.4051606116966396
3639;H1075;3 O 70;U;O;Avd;Pio Baroja;s/n;D;;1.0;;S;"{""coordinates"": [-0.4064480950599566, 39.48252575525083], ""type"": ""Point""}";39.48252575525083, -0.4064480950599566
3645;H43;3 O 70;U;O;C;SAN PIO V;--;D;;0.5;;S;"{""coordinates"": [-0.3721336456592309, 39.47959849350547], ""type"": ""Point""}";39.47959849350547, -0.3721336456592309
3646;H1112;1 O 70;U;O;C;VUELTA DEL RUISEÑOR;35;D;1.5;1.5;;S;"{""coordinates"": [-0.36985935995584895, 39.48007128746431], ""type"": ""Point""}";39.48007128746431, -0.36985935995584895
3648;H175;3 O 70;U;O;C;CAVANILLES;Front 18 Acc;D;;5.0;2.0;S;"{""coordinates"": [-0.3651982914325124, 39.482105313711955], ""type"": ""Point""}";39.482105313711955, -0.3651982914325124
3677;H929;3 O 70;U;O;C;GONGORA;1;D;3.5;;;S;"{""coordinates"": [-0.3976699139183069, 39.47662011160991], ""type"": ""Point""}";39.47662011160991, -0.3976699139183069
3679;H905;3 O 70;U;O;Avd;TAMARINDOS;Pares;D;;2.0;;S;"{""coordinates"": [-0.4017731166119693, 39.47665794469203], ""type"": ""Point""}";39.47665794469203, -0.4017731166119693
3680;H871;3 O 70;U;O;C;MARQUES DE SAN JUAN;28;D;846.0;2.0;;S;"{""coordinates"": [-0.3984045326783854, 39.47770081708567], ""type"": ""Point""}";39.47770081708567, -0.3984045326783854
3683;H1052;3 O 70;U;O;C;SANTA PAULA MONTALT;2 Acc;D;;2.0;;S;"{""coordinates"": [-0.4029364819481967, 39.47644664846184], ""type"": ""Point""}";39.47644664846184, -0.4029364819481967
3910;Z236;3 O 100;F;O;Vial;L'ENTRADA DE L'ATERRISSADOR;;D;;;;S;"{""coordinates"": [-0.3200224389405043, 39.353148273294615], ""type"": ""Point""}";39.353148273294615, -0.3200224389405043
3912;Z238;3 O 100;F;O;Avenida;DE LOS PINARES;75;D;;;;S;"{""coordinates"": [-0.3231130376189758, 39.35660147709158], ""type"": ""Point""}";39.35660147709158, -0.3231130376189758
3833;H824;3 O 70;U;O;Avd;"MAESTRO RODRIGO ""MUSICO""";Impares;D;;3.0;;S;"{""coordinates"": [-0.3988692036480438, 39.47895350809807], ""type"": ""Point""}";39.47895350809807, -0.3988692036480438
6420;H1708;O;U;F;Calle;"Calle Filipinas; Muelle Ruzafa";;D;;;;S;"{""coordinates"": [-0.37699339026069023, 39.45789746646225], ""type"": ""Point""}";39.45789746646225, -0.37699339026069023
4015;H1637;3 O 70;U;O;Calle;Gonzalo Tejero Langarita cruce con C Vicente Chulia campos;s/n;D;;;;S;"{""coordinates"": [-0.3836453180836557, 39.439866378356896], ""type"": ""Point""}";39.439866378356896, -0.3836453180836557
