OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
223268;1;"{""coordinates"": [-0.3781925828227357, 39.48771393813457], ""type"": ""Point""}";39.48771393813457, -0.3781925828227357
223280;2;"{""coordinates"": [-0.38435039065197746, 39.489161079632396], ""type"": ""Point""}";39.489161079632396, -0.38435039065197746
223282;1;"{""coordinates"": [-0.3846532911922113, 39.48645840584897], ""type"": ""Point""}";39.48645840584897, -0.3846532911922113
223284;1;"{""coordinates"": [-0.38232661406201035, 39.48458163644304], ""type"": ""Point""}";39.48458163644304, -0.38232661406201035
223285;1;"{""coordinates"": [-0.38071248199917596, 39.48394835909853], ""type"": ""Point""}";39.48394835909853, -0.38071248199917596
223286;1;"{""coordinates"": [-0.39595736669317705, 39.495749548191505], ""type"": ""Point""}";39.495749548191505, -0.39595736669317705
223292;2;"{""coordinates"": [-0.3350345298915919, 39.46598618605458], ""type"": ""Point""}";39.46598618605458, -0.3350345298915919
223296;1;"{""coordinates"": [-0.3369101692741221, 39.467488077396226], ""type"": ""Point""}";39.467488077396226, -0.3369101692741221
223297;2;"{""coordinates"": [-0.3374307873955591, 39.467581499853125], ""type"": ""Point""}";39.467581499853125, -0.3374307873955591
223299;1;"{""coordinates"": [-0.3408411022805573, 39.46677070096985], ""type"": ""Point""}";39.46677070096985, -0.3408411022805573
223301;1;"{""coordinates"": [-0.3412504957904657, 39.466549317830186], ""type"": ""Point""}";39.466549317830186, -0.3412504957904657
223303;1;"{""coordinates"": [-0.3417866905420977, 39.468035271676534], ""type"": ""Point""}";39.468035271676534, -0.3417866905420977
223306;1;"{""coordinates"": [-0.33894697480607705, 39.46861670364204], ""type"": ""Point""}";39.46861670364204, -0.33894697480607705
223307;1;"{""coordinates"": [-0.34385520541990994, 39.46900081293369], ""type"": ""Point""}";39.46900081293369, -0.34385520541990994
223309;1;"{""coordinates"": [-0.354808726604059, 39.462586820544445], ""type"": ""Point""}";39.462586820544445, -0.354808726604059
