geo_point_2d;geo_shape;nivel2;nivel3;id;m2_poligon;m2zv_enero;m2zv_febre;m2zv_marzo;m2zv_abril;m2zv_mayo;m2zv_junio;m2zv_julio;m2zv_agost;m2zv_octub;m2zv_novie;m2zv_dicie
39.47641195785355, -0.3433679129991771;"{""coordinates"": [[[-0.341332726735724, 39.476669076374925], [-0.342075087630256, 39.4751679090831], [-0.345409636990056, 39.47618361489704], [-0.344689332666372, 39.477637824709056], [-0.341332726735724, 39.476669076374925]]], ""type"": ""Polygon""}";Zonas verdes;Parques urbanos;1457;54184.846;16805.167;8442.879;22889.456;11403.455;15281.549;8841.461;7734.784;8371.584;13242.508;21654.649;11457.704
39.45645563063575, -0.3562247128411952;"{""coordinates"": [[[-0.357678158445613, 39.45849583759451], [-0.3575754772027, 39.45837270331338], [-0.357649357540238, 39.458335488544186], [-0.357702743187366, 39.45831262542332], [-0.357711320740699, 39.458305105313485], [-0.357710642322476, 39.458295145991606], [-0.356291108323624, 39.456589754818765], [-0.356263863733374, 39.4565861027156], [-0.356198797030272, 39.45662140996272], [-0.356120326680684, 39.45666355712361], [-0.355871137835255, 39.45639193974275], [-0.355962731557883, 39.456347555333565], [-0.35603530435861, 39.456320101669064], [-0.356036336667037, 39.456292832135794], [-0.355574971879497, 39.455769831886755], [-0.355131672973887, 39.45538977077311], [-0.354562388834885, 39.45503110104762], [-0.354313387740829, 39.45489200029182], [-0.354062079476158, 39.45476913436739], [-0.354362893509204, 39.45464006054523], [-0.355105559647061, 39.455073098746404], [-0.355366075122914, 39.4552498444958], [-0.356042051655702, 39.455895108926676], [-0.358025650251003, 39.45833128956016], [-0.358108880622166, 39.45834710646126], [-0.35819866406637, 39.45837884484568], [-0.358097034082064, 39.45850174684789], [-0.358082498701926, 39.458492020263414], [-0.358056470468777, 39.4584776045987], [-0.358028624139748, 39.45846504574929], [-0.357998599993875, 39.458454605799915], [-0.357963601994479, 39.45844622118598], [-0.357933722479335, 39.45844120509444], [-0.357895714477253, 39.458438443783194], [-0.357850566193863, 39.45843958579611], [-0.357811573480872, 39.45844439107183], [-0.357778406134132, 39.458452310681395], [-0.357742671634405, 39.45846342408838], [-0.357709258359518, 39.45847784333081], [-0.357678158445613, 39.45849583759451]]], ""type"": ""Polygon""}";Red viaria;Transito;1458;13337.108;53.289;;;1017.469;2174.657;2239.106;3021.716;2296.924;544.384;617.923;
39.478668635404844, -0.3412451518848776;"{""coordinates"": [[[-0.333218867087078, 39.476444865038005], [-0.333165420296322, 39.47676164962441], [-0.33315508789419, 39.47675813479349], [-0.333098336133529, 39.47673097187989], [-0.333086986412023, 39.47672445213499], [-0.333036116260956, 39.4766952008224], [-0.332990493651922, 39.47666183672396], [-0.332939858786874, 39.47661955604062], [-0.332905410546861, 39.4765628680322], [-0.332870900728158, 39.47650064453838], [-0.332867797527862, 39.47649120153259], [-0.332855666513665, 39.47643674820721], [-0.332853015307792, 39.47638153141437], [-0.332859878437244, 39.4763265329974], [-0.332876146207457, 39.47627273689256], [-0.332899747830014, 39.47622410985665], [-0.332904495575667, 39.47621585692431], [-0.332937946090019, 39.47616812167528], [-0.33297930720998, 39.47612427236378], [-0.332990055370079, 39.47611465178584], [-0.333026162561243, 39.476086521020726], [-0.333080726439589, 39.476052863567276], [-0.33314059166326, 39.476025150094536], [-0.333204689031091, 39.47600386144677], [-0.333271876098794, 39.47598938760287], [-0.33332095192781, 39.47598332485287], [-0.333391413617557, 39.4759791014466], [-0.333459993419551, 39.4759825426831], [-0.333527285431407, 39.475993342388385], [-0.333595297360136, 39.476012439398865], [-0.333650988914921, 39.47603573011208], [-0.333709602382804, 39.476068070447035], [-0.333762262307084, 39.47610606045943], [-0.333808077322828, 39.47614905540071], [-0.333846260780617, 39.476196316531755], [-0.333876157692548, 39.47624703606385], [-0.333897261913709, 39.476300343858625], [-0.33390920025422, 39.4763553277827], [-0.333910194767186, 39.47636374043053], [-0.333939702512723, 39.47638226102279], [-0.335554762565039, 39.47683118246611], [-0.350537014827475, 39.48116474317371], [-0.350493060526201, 39.48121999249774], [-0.350452784306599, 39.481281550714115], [-0.350421147429372, 39.48134036545236], [-0.350384676036935, 39.48141018944095], [-0.35036247653607, 39.481484523411886], [-0.350272466960643, 39.48146088509655], [-0.333888977928766, 39.47674289503943], [-0.333725973017723, 39.476699964344995], [-0.333668602762966, 39.476734261285294], [-0.333608716304375, 39.476760633136486], [-0.333544752826967, 39.476780440432805], [-0.333477907727016, 39.4767933079084], [-0.333441343033487, 39.47679726329626], [-0.333412285782744, 39.476800904479354], [-0.333346482516077, 39.47679982955386], [-0.333280382070979, 39.47679290290793], [-0.33321616734884, 39.4767789125144], [-0.333165493834522, 39.47676167464031], [-0.333218867087078, 39.476444865038005]]], ""type"": ""Polygon""}";Red viaria;Transito;1459;67050.017;;;;8.695;423.689;28.176;525.301;328.264;;2193.639;
39.498556914859336, -0.38062364448687375;"{""coordinates"": [[[-0.38668653476771, 39.49723138628743], [-0.386447394225534, 39.497400869572], [-0.386434936764242, 39.49738139435432], [-0.386399715092774, 39.4973443606682], [-0.386333232631994, 39.497300320333686], [-0.386279191872985, 39.497277044899434], [-0.386215711456936, 39.497261436166475], [-0.386164098667204, 39.497254759918064], [-0.386109143426537, 39.4972558866291], [-0.386049888099173, 39.497263220016386], [-0.385994372240342, 39.497279303946044], [-0.385939576711751, 39.497303283131416], [-0.385889537238534, 39.49733603483723], [-0.385848435831795, 39.49737450279052], [-0.385823827743527, 39.49740703927338], [-0.385802780932862, 39.49745304832442], [-0.385789863310694, 39.49749924117372], [-0.385790846416736, 39.4975544132226], [-0.385802314230698, 39.497601154726574], [-0.385823103793443, 39.49764337905547], [-0.385848282045474, 39.49767703477729], [-0.385892470092656, 39.49771899726335], [-0.385934200817116, 39.497745148097295], [-0.386002201632199, 39.49777582856976], [-0.386067714453739, 39.49779148404692], [-0.386137645430712, 39.497797784168675], [-0.386212113703984, 39.497791580336774], [-0.386275787541642, 39.49777489245645], [-0.386330524309371, 39.49775248833069], [-0.386427082466819, 39.49794414825872], [-0.386516131446706, 39.49802230968694], [-0.386461179093678, 39.498011055860886], [-0.386382330264467, 39.49799166287027], [-0.386308871005824, 39.4979819836104], [-0.385875396001747, 39.49807458681331], [-0.385652879377, 39.498122116742245], [-0.38502846313534, 39.49825550291369], [-0.384874890687051, 39.49826982622316], [-0.384768535916982, 39.498249652692294], [-0.384511936166169, 39.49815495568625], [-0.384299426394313, 39.498108679185954], [-0.381915985091224, 39.498618149736934], [-0.381655409303282, 39.49867690322325], [-0.381629206619233, 39.49868216123166], [-0.381024886613045, 39.4988190775941], [-0.380967291881058, 39.49883283120909], [-0.379338872804471, 39.49919924306285], [-0.378348599586552, 39.49939920688879], [-0.377699882762982, 39.49948182708353], [-0.37668657654918, 39.49953119783166], [-0.376041291824141, 39.49952218332515], [-0.375307381407457, 39.49948615489187], [-0.374411540480359, 39.49936865943179], [-0.372993164958729, 39.499030936113066], [-0.372853653744297, 39.498985448647375], [-0.372947071644117, 39.49872945098164], [-0.373221599653204, 39.49880852513631], [-0.373463673765745, 39.49887824992988], [-0.374267501117669, 39.49906006511764], [-0.374885603896923, 39.49917135264484], [-0.37533466176214, 39.49921867856029], [-0.375846596234955, 39.49927265964131], [-0.376620839056282, 39.49927875380437], [-0.376748348377392, 39.49927975709829], [-0.376782451774504, 39.499278520813164], [-0.377725919993982, 39.49924432121697], [-0.377738911839713, 39.499242538811664], [-0.377925097955083, 39.49921699195833], [-0.378667050058255, 39.49911518267437], [-0.379243671257245, 39.498994336341994], [-0.379524447287446, 39.49893548896056], [-0.381110224272079, 39.498542918448834], [-0.381455672049666, 39.49846290660785], [-0.382846316707088, 39.49814079429124], [-0.382990372361854, 39.498107425578056], [-0.38427786943694, 39.49783159749514], [-0.384333455413054, 39.49778349969232], [-0.3843508446029, 39.49773403209317], [-0.384368298211751, 39.4976828461659], [-0.38439246882183, 39.497630091669755], [-0.384425636382533, 39.49757410195113], [-0.384465069906507, 39.497528569222105], [-0.384509002479333, 39.49748141797911], [-0.384568198017392, 39.497441487585974], [-0.384528968386036, 39.49736323626306], [-0.384602030802757, 39.4973283737287], [-0.384614600265375, 39.49732351535307], [-0.384675214009891, 39.4973000866688], [-0.384776855465582, 39.49726844921768], [-0.384808251180848, 39.49725994619839], [-0.384874263072645, 39.49724360359343], [-0.384894619935404, 39.497282495908244], [-0.38492882942789, 39.497306683269585], [-0.385006017432402, 39.49732856591969], [-0.385077464472031, 39.49733017389095], [-0.38524116404752, 39.497298602966524], [-0.385967517331998, 39.49713678630429], [-0.386099157107633, 39.497119631230596], [-0.386163048322238, 39.49711177149159], [-0.386215870057951, 39.49711110125079], [-0.386277015142909, 39.4971124767317], [-0.386339289633265, 39.49711573609677], [-0.386403752051909, 39.497124623780074], [-0.386473932162558, 39.497141076784615], [-0.386545066473329, 39.49716405915104], [-0.386617156200455, 39.49719357000427], [-0.38668653476771, 39.49723138628743]], [[-0.385484910303194, 39.49748489953965], [-0.385508523526483, 39.49750676006061], [-0.385535789838471, 39.497532168453404], [-0.385560519068235, 39.49756098542845], [-0.385581114648077, 39.49759032738852], [-0.385592296847449, 39.497612890136175], [-0.385604518270423, 39.49764489133849], [-0.385611054347386, 39.49767249895851], [-0.385617186568661, 39.49770169835056], [-0.385619316266707, 39.49773667149456], [-0.385620355467262, 39.497773220960795], [-0.38561586794483, 39.49780111385876], [-0.385611825325427, 39.49782635107032], [-0.385605335448936, 39.497852599855], [-0.385600399790105, 39.4978740837348], [-0.385595734897745, 39.49788837569477], [-0.385596103117031, 39.49789691619192], [-0.385600517111022, 39.497907680100575], [-0.385610249422382, 39.497914297120126], [-0.385618109173951, 39.49791770001459], [-0.385628656796777, 39.49791897695785], [-0.385641114764206, 39.49791712489422], [-0.385791413809364, 39.49788264724841], [-0.385801525548532, 39.497879142420004], [-0.385806975034073, 39.49787478406418], [-0.385812947398885, 39.497868202395075], [-0.385815633145977, 39.497860797249245], [-0.385814628162765, 39.49785091002775], [-0.385808454688374, 39.49784117317904], [-0.385792095170553, 39.49782774147438], [-0.38577206494121, 39.49781129392054], [-0.385748341673429, 39.49779236423377], [-0.385735655250348, 39.49778194752171], [-0.385724393206141, 39.497770229557865], [-0.385689588836053, 39.4977347869904], [-0.385648352632854, 39.49767813807446], [-0.385623460431564, 39.49762612165329], [-0.38561963997584, 39.49760870640757], [-0.38561439905209, 39.49758420622882], [-0.385610744587324, 39.49755225094896], [-0.385609495678713, 39.49752129571762], [-0.385613385238662, 39.49749099032675], [-0.385617133871706, 39.49746441319992], [-0.385622726194725, 39.497443743171786], [-0.385629217146225, 39.49741749530928], [-0.385639084856774, 39.497392922483385], [-0.385641203784646, 39.49738230557069], [-0.385639509871739, 39.497372402846054], [-0.385632912695655, 39.49736478883195], [-0.38562340569704, 39.497361375900915], [-0.385606567013071, 39.49736073035653], [-0.385591712976018, 39.49736226274469], [-0.385438593913675, 39.49739854240567], [-0.385430819629832, 39.49740396551927], [-0.385423633222466, 39.49741206935974], [-0.385420582451017, 39.4974199987014], [-0.385421932435278, 39.497429893689585], [-0.385426456215822, 39.497437727718726], [-0.385443553311509, 39.49744984277225], [-0.385461551097853, 39.49746544466794], [-0.385484910303194, 39.49748489953965]], [[-0.385138622236151, 39.49748736785081], [-0.385081178254057, 39.497482482361846], [-0.385035148416026, 39.497487176912195], [-0.384985991216852, 39.49749638382324], [-0.384941139840269, 39.49750912627273], [-0.384904982561456, 39.49752664804793], [-0.384867219794039, 39.49754757142514], [-0.384830633143551, 39.49757654267496], [-0.38480135090071, 39.49760797105318], [-0.384776545074256, 39.49763835426311], [-0.384757351191762, 39.49767688519615], [-0.384747023152246, 39.49771561568166], [-0.384742435876078, 39.497759059046324], [-0.384749370708838, 39.497800334790966], [-0.384758729234168, 39.4978373516868], [-0.384780958932943, 39.49787566907283], [-0.38479995591946, 39.49790546256123], [-0.384836364409685, 39.49793650647599], [-0.384872325300601, 39.497963672838154], [-0.384931759958426, 39.49799595207733], [-0.384992916289276, 39.4980170496057], [-0.385091821591364, 39.49802705733627], [-0.385166017822238, 39.49802070571873], [-0.385240686276601, 39.49800175870113], [-0.385291836803827, 39.497978844647776], [-0.385340375049625, 39.497946703555534], [-0.385381652811542, 39.49791096131157], [-0.385412927869385, 39.497865826634936], [-0.385430601850134, 39.497828407305825], [-0.385442706711265, 39.49778169442388], [-0.385444123258565, 39.49774390925969], [-0.385434318027142, 39.497689828749856], [-0.38541791351724, 39.49765393439948], [-0.385395640601358, 39.49761676207519], [-0.38536297993384, 39.49758050190739], [-0.385316931773177, 39.497546232299385], [-0.385254540434127, 39.497513887621636], [-0.385194590855164, 39.49749534885705], [-0.385138622236151, 39.49748736785081]]], ""type"": ""Polygon""}";Red viaria;Transito;1463;39682.809;970.17;652.107;1009.635;2369.109;4867.585;2550.134;6754.759;2784.162;1609.933;5636.18;119.8
39.487366142303, -0.381776442377056;"{""coordinates"": [[[-0.38049220444675, 39.4888813634729], [-0.380046960379078, 39.48769336499059], [-0.380427647107405, 39.487601602639415], [-0.379921452194765, 39.48623771675337], [-0.380867255237883, 39.48603709959154], [-0.380803333883571, 39.486189036932686], [-0.380741452643558, 39.486178450411956], [-0.380682254976983, 39.48633338057079], [-0.380708665076787, 39.48634086941738], [-0.38070222125161, 39.48635451210704], [-0.380731593483161, 39.486362068620274], [-0.380711056373486, 39.486435141682406], [-0.38082863403613, 39.48646307064199], [-0.380925975900936, 39.48624005955019], [-0.381070049648087, 39.48627318085173], [-0.381159439282949, 39.48607786259527], [-0.380875651012329, 39.486035318611364], [-0.380999803844377, 39.486008983440286], [-0.382372771845754, 39.48603119461303], [-0.382718613526267, 39.48611751539527], [-0.382957996747471, 39.48626363240115], [-0.383102268189695, 39.486396651376005], [-0.383230742619506, 39.486574057471174], [-0.383816708577687, 39.48814575386549], [-0.38049220444675, 39.4888813634729]], [[-0.382871178627318, 39.48828268542924], [-0.382938924239096, 39.488175804046854], [-0.382780397661946, 39.48811060262558], [-0.38269180715705, 39.488250945075904], [-0.382755316145082, 39.48827438673917], [-0.382773446189493, 39.488245447185435], [-0.382871178627318, 39.48828268542924]], [[-0.381300998301553, 39.488102834702765], [-0.381402229985543, 39.48800912209835], [-0.381245879404033, 39.48791204861885], [-0.381259171683686, 39.48789789810033], [-0.381168779833517, 39.487847944996574], [-0.381066103823417, 39.48794222212756], [-0.381300998301553, 39.488102834702765]], [[-0.383231620513448, 39.48769910975438], [-0.382911836706728, 39.48758529694254], [-0.382839153518884, 39.48770545506807], [-0.383166324584905, 39.487818476814276], [-0.383231620513448, 39.48769910975438]], [[-0.381226318422209, 39.48732459549227], [-0.381195960620681, 39.48723552704039], [-0.38054820998577, 39.48737595334099], [-0.380583542836101, 39.48746177653066], [-0.381226318422209, 39.48732459549227]], [[-0.380615609372349, 39.48723959239409], [-0.38085906589876, 39.48713026870491], [-0.380805188392866, 39.487087601264996], [-0.380731712752604, 39.48706985896346], [-0.380645952759169, 39.48706332950228], [-0.380629757910093, 39.487099732879784], [-0.380617043651035, 39.487122425873146], [-0.380592475950322, 39.48714485255912], [-0.380562412590444, 39.487155664650125], [-0.380517706056692, 39.4871615503489], [-0.380467677412593, 39.48715123087001], [-0.380423746753418, 39.487136452562424], [-0.380329505639481, 39.48727680453697], [-0.380507932205893, 39.487342873189505], [-0.380615609372349, 39.48723959239409]], [[-0.383296526464057, 39.487275534202794], [-0.383415420352003, 39.48731050084105], [-0.383449769107306, 39.487229093461174], [-0.383333610379301, 39.48719566228948], [-0.383296526464057, 39.487275534202794]], [[-0.381078020305135, 39.486830255581566], [-0.380546337429874, 39.486635952258396], [-0.38048302259416, 39.4867425312369], [-0.381012546670853, 39.48693600964015], [-0.381078020305135, 39.486830255581566]], [[-0.381406062535122, 39.486359025462875], [-0.381103452415138, 39.48633138450795], [-0.381102935301065, 39.486345160797185], [-0.381031734181028, 39.48634585327928], [-0.381018620950206, 39.48645816031478], [-0.381181249606777, 39.48647101822139], [-0.381156629194716, 39.48657387336699], [-0.38128275256569, 39.48661118613224], [-0.381360622983268, 39.48651182914713], [-0.381406062535122, 39.486359025462875]]], ""type"": ""Polygon""}";Zonas verdes;Parques urbanos;1473;72595.241;13233.07;6339.03;12094.097;22637.414;28711.972;24192.935;23597.635;20976.851;17945.071;29043.88;1047.575
39.45177798509569, -0.33605945206849924;"{""coordinates"": [[[-0.336895044237116, 39.45149446638704], [-0.336637778465626, 39.45221247041651], [-0.336050256410384, 39.45236179269072], [-0.336000936525713, 39.45209221550142], [-0.335251664307749, 39.45201778074619], [-0.335378508234037, 39.45129678353871], [-0.336895044237116, 39.45149446638704]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;4;10932.188;3587.213;245.75;2278.334;1684.371;4542.341;5157.169;4469.109;3707.372;3338.093;7263.859;198.945
39.44186925713558, -0.33689763465516015;"{""coordinates"": [[[-0.338460448579625, 39.44272915811281], [-0.336156089870483, 39.44234403703777], [-0.336041763987777, 39.44234836885616], [-0.335955606657007, 39.442389236256396], [-0.335903367621118, 39.44245381647137], [-0.335892642778115, 39.44254483403628], [-0.335856883584034, 39.44286725641357], [-0.335821039710862, 39.44289928170887], [-0.335779927760609, 39.442917352365065], [-0.335699860896474, 39.44291745843581], [-0.334834685930272, 39.44270430653334], [-0.334695334462127, 39.44267346768754], [-0.334294027209056, 39.44257363354784], [-0.334216958965421, 39.442570587636965], [-0.334128806865335, 39.442593234518526], [-0.334076779291664, 39.44261863328546], [-0.334370896365556, 39.44176904829343], [-0.334466418626864, 39.44154685293683], [-0.334477720501769, 39.44159682343595], [-0.334480837288768, 39.44160914143976], [-0.334487076806528, 39.441629113741435], [-0.334490496016246, 39.441639412607316], [-0.334497700573019, 39.441657326012894], [-0.334528017487955, 39.44171658639685], [-0.334567002639429, 39.4417727213183], [-0.334614132423411, 39.44182495932193], [-0.334668759411824, 39.44187260719098], [-0.334730155412698, 39.44191501760271], [-0.334797481590341, 39.44195161096602], [-0.334869832880297, 39.44198189896241], [-0.334911987171581, 39.44199589402802], [-0.336989013806774, 39.44234434476251], [-0.337049852992489, 39.44235193219656], [-0.3371180902946, 39.44235350096435], [-0.33718596711466, 39.442347851709776], [-0.337252217630259, 39.44233508966501], [-0.337315605976142, 39.44231544867594], [-0.337374960900173, 39.442289296500235], [-0.337429168016152, 39.44225712471967], [-0.337477215935673, 39.442219527274375], [-0.337518218119236, 39.44217720636796], [-0.337551403080225, 39.44213095512564], [-0.337576156386215, 39.442081622520625], [-0.33758216913548, 39.442065488597436], [-0.337795774674473, 39.44142502129922], [-0.337827624542364, 39.44125734699851], [-0.337831118899595, 39.44099373647667], [-0.337793139317407, 39.440751187170505], [-0.337675083483333, 39.43988428261718], [-0.337633535465444, 39.439487853601165], [-0.337597846511539, 39.43893776085185], [-0.337605451993437, 39.438504302776224], [-0.337650287468041, 39.43839975223378], [-0.337715101000266, 39.4383399167056], [-0.337820304148106, 39.4383057101006], [-0.337940124370901, 39.43829897082049], [-0.337890053036263, 39.438574020689025], [-0.337825848662517, 39.43927200999509], [-0.337887879900644, 39.4400107850093], [-0.337947102028788, 39.44042890466063], [-0.338041446380012, 39.4409119540392], [-0.338168918446032, 39.44141324893287], [-0.338485993548159, 39.44216662596646], [-0.338745812550754, 39.44264764408122], [-0.33893430863164, 39.44292884190719], [-0.339168562041784, 39.44327049264153], [-0.339360398899824, 39.44353586937915], [-0.339593814929686, 39.44380251463944], [-0.339309657863193, 39.443761700213926], [-0.339000392160683, 39.44339673208383], [-0.33878759936135, 39.44310233244717], [-0.338619536083128, 39.442834592009646], [-0.338556579668913, 39.44277205652008], [-0.338460448579625, 39.44272915811281]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;6;34720.689;11942.46;4900.949;14689.269;14576.317;14055.41;5525.814;4670.668;3802.575;1089.781;7266.592;
39.47887899892582, -0.36450270881074703;"{""coordinates"": [[[-0.36402325181907, 39.47851831735026], [-0.364082082588334, 39.47850458919375], [-0.365143870747559, 39.47881535020694], [-0.365169008573684, 39.47885460025068], [-0.364983332083106, 39.47924202921076], [-0.364924501997146, 39.47925575783367], [-0.363851970330166, 39.478936196319296], [-0.363829916883201, 39.478902558164705], [-0.36402325181907, 39.47851831735026]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;10;5492.246;4291.865;3396.232;3695.16;4156.882;5172.739;5019.102;5376.866;5450.749;5197.109;5273.57;1400.0
39.486529372522774, -0.37028868355139205;"{""coordinates"": [[[-0.3700160956298, 39.48677701282144], [-0.370317648853824, 39.48620629812918], [-0.37054928094428, 39.48627200862663], [-0.370285394024791, 39.48683866840267], [-0.3700160956298, 39.48677701282144]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;19;1533.149;;;;132.588;175.556;300.669;175.556;265.46;185.089;415.15;42.967
39.442062657397976, -0.38803843705049257;"{""coordinates"": [[[-0.388002356123301, 39.44224424917079], [-0.387982270173853, 39.44224243025535], [-0.387943252282064, 39.44223337700336], [-0.387906855115613, 39.442219207951176], [-0.387874183843619, 39.442200352435094], [-0.387846231276922, 39.44217738591331], [-0.387823847465512, 39.44215100405713], [-0.387807711180777, 39.44212200859667], [-0.387798314605732, 39.44209128175116], [-0.387795942355557, 39.44205975692893], [-0.387800665556687, 39.44202839066663], [-0.387812341629391, 39.441998137399594], [-0.387830616695125, 39.441969916183204], [-0.387854933552433, 39.44194458384611], [-0.387884554677047, 39.44192291028255], [-0.387918579383225, 39.441905554514925], [-0.387955973653602, 39.441893043743256], [-0.387969558307116, 39.441889903136456], [-0.387973464368007, 39.44188885039394], [-0.388019490800584, 39.441880705582214], [-0.388021625554442, 39.441880508513165], [-0.388061187151526, 39.441879984035886], [-0.388092660328303, 39.441882833582], [-0.388099667156475, 39.44188408831082], [-0.388121924965643, 39.4418892532471], [-0.388147316932913, 39.44189720026919], [-0.388162724536244, 39.44190319953957], [-0.388186541071741, 39.441915466029776], [-0.388199176939498, 39.44192275794441], [-0.388223524288625, 39.441941774973365], [-0.388230155935224, 39.44194722389194], [-0.388254330859005, 39.44197589092231], [-0.388259017979379, 39.44198431230875], [-0.388270930860414, 39.442007684981036], [-0.38827610551508, 39.442024605458606], [-0.388279186542133, 39.44203673663524], [-0.388279755041923, 39.44204428170743], [-0.38828055150726, 39.44205486698297], [-0.388279759377367, 39.4420760614189], [-0.388277745796856, 39.44208943035003], [-0.388271276456726, 39.44211069451501], [-0.388266631015623, 39.44212273225952], [-0.388252988857784, 39.44214553432104], [-0.38824768550314, 39.44215372491741], [-0.388221408750299, 39.44218126100557], [-0.388214386020371, 39.442186399506085], [-0.388188650761759, 39.44220429657479], [-0.388175510367706, 39.44221099937811], [-0.388148479739473, 39.44222323499823], [-0.388133916718722, 39.44222848963842], [-0.3881303794476, 39.44222841015297], [-0.388122279457252, 39.44223094250493], [-0.388090469589233, 39.442239272586924], [-0.388073506946725, 39.442242391352266], [-0.38804578974594, 39.44224504952864], [-0.388029071081118, 39.44224580624475], [-0.388002356123301, 39.44224424917079]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;23;1329.451;597.645;600.0;500.0;200.0;;;;;;;
39.484916665147225, -0.37050556581452493;"{""coordinates"": [[[-0.370296909347971, 39.48498488999753], [-0.370428988514549, 39.484793173338126], [-0.37070616518862, 39.48488667650035], [-0.37064191406513, 39.485007661754196], [-0.370296909347971, 39.48498488999753]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;32;519.338;;;;199.547;299.547;252.484;125.463;125.463;165.529;245.221;
39.445394766144645, -0.38992672644477677;"{""coordinates"": [[[-0.38956033554951, 39.44576945651125], [-0.389896835227689, 39.444929842268415], [-0.390290102864531, 39.44502100379549], [-0.389962432056384, 39.445854808572356], [-0.38956033554951, 39.44576945651125]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;35;3461.68;300.0;;;976.785;1037.433;739.814;1000.754;900.754;400.0;1113.45;
39.48302140119128, -0.37324742467335115;"{""coordinates"": [[[-0.37286486293625, 39.48275036335552], [-0.372867334468494, 39.48268471822198], [-0.372880439859794, 39.482624661112645], [-0.372889584405142, 39.482591252504164], [-0.372902697652297, 39.482557170576456], [-0.373370288417356, 39.48187944421235], [-0.373666217899859, 39.481945172971365], [-0.373511771552662, 39.48216652595351], [-0.37344754278954, 39.48214063156387], [-0.373219852100161, 39.482456808049186], [-0.373290916408299, 39.48248305347376], [-0.373180707464751, 39.48264100129277], [-0.373179468027433, 39.482742791378946], [-0.373826678923174, 39.482726784150124], [-0.373856648967163, 39.483306498885646], [-0.373819473302918, 39.483311391893494], [-0.373828436833671, 39.483466386892374], [-0.373753868594981, 39.48348190025856], [-0.373416049895497, 39.483611857585515], [-0.373281914212057, 39.48363749144471], [-0.373281267316125, 39.48365467547683], [-0.372728908751246, 39.48364347360926], [-0.372605837016687, 39.48363063531753], [-0.372616505594923, 39.483602022335674], [-0.37248587873441, 39.483548516842376], [-0.372862113075453, 39.482997365990066], [-0.372875559898664, 39.482963751958444], [-0.372884991879482, 39.4829227104081], [-0.372881323467315, 39.48286303801567], [-0.372873513837245, 39.4828086205071], [-0.37286486293625, 39.48275036335552]]], ""type"": ""Polygon""}";Zonas verdes;Jardin;38;11605.381;5235.24;4278.141;5078.141;4831.83;5017.848;4915.12;4572.242;5275.946;4578.141;6552.715;1299.326
39.48240212289856, -0.37429934797014486;"{""coordinates"": [[[-0.374060122294292, 39.482233166220006], [-0.374530826864125, 39.48223751148516], [-0.374542593471606, 39.4825676725501], [-0.374066433935093, 39.48256883632548], [-0.374060122294292, 39.482233166220006]]], ""type"": ""Polygon""}";Zonas verdes;Jardin;39;1506.071;398.959;193.784;338.543;538.543;638.543;373.88;466.254;366.254;193.784;766.94;
39.44417959797111, -0.3903691870689949;"{""coordinates"": [[[-0.390015831209196, 39.44437891799008], [-0.390130639783137, 39.4438842093145], [-0.390736532948004, 39.443984839668886], [-0.390589698961929, 39.444478742629656], [-0.390015831209196, 39.44437891799008]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;43;2913.297;1105.801;1015.06;100.0;;895.167;;70.404;;;667.067;
39.483892253867005, -0.37112442480511754;"{""coordinates"": [[[-0.370823339056151, 39.48404698057138], [-0.371017855678673, 39.48374858593006], [-0.371054424243863, 39.4836958218825], [-0.371389790387389, 39.48378915612264], [-0.371289570602708, 39.48406288805604], [-0.371037426526681, 39.483963397872756], [-0.370949662581198, 39.48409003317985], [-0.370823339056151, 39.48404698057138]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;44;1178.284;;;;1.013;100.386;156.811;267.229;222.187;;101.013;
39.44472098598657, -0.3926320077571552;"{""coordinates"": [[[-0.392290040488224, 39.44491475172527], [-0.392419923744157, 39.444445327974144], [-0.393009810351526, 39.44454549645187], [-0.392800287710039, 39.445000786098376], [-0.392290040488224, 39.44491475172527]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;47;2582.767;500.0;;;200.0;500.0;;;;;100.0;
39.481990479657654, -0.372677042081288;"{""coordinates"": [[[-0.372364855958399, 39.482405915103364], [-0.372916774770598, 39.481551818230066], [-0.372962467602846, 39.481624798949206], [-0.372457801466935, 39.4823933487321], [-0.37243753734794, 39.482404920839144], [-0.372400444090633, 39.4824094882417], [-0.372364855958399, 39.482405915103364]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;50;695.291;;;;61.191;61.191;7.135;46.644;96.296;4.036;11.54;
