geo_point_2d;geo_shape;nivel2;nivel3;id;m2_poligon;m2zv_enero;m2zv_febre;m2zv_marzo;m2zv_abril;m2zv_mayo;m2zv_junio;m2zv_julio;m2zv_agost;m2zv_octub;m2zv_novie;m2zv_dicie
39.48542334088239, -0.3684535567709806;"{""coordinates"": [[[-0.36843473728152, 39.48557205504565], [-0.368364592695788, 39.485552155230394], [-0.368335204968197, 39.485600320783334], [-0.368257190513109, 39.48558024266619], [-0.368423431831245, 39.48524523839108], [-0.368360697347153, 39.48523771417495], [-0.368365783008423, 39.48520730945013], [-0.368573890395631, 39.48522423019256], [-0.368637685283019, 39.48530807806776], [-0.368412975381198, 39.48572562923609], [-0.368362546171495, 39.485710810928246], [-0.36843473728152, 39.48557205504565]]], ""type"": ""Polygon""}";Zonas verdes;Jardin;30;879.052;;;;;;;;;;;
39.48569248767705, -0.3738088603261055;"{""coordinates"": [[[-0.373138326339443, 39.48595722391424], [-0.373313197947513, 39.48543002963679], [-0.374397592374114, 39.48548512667796], [-0.374523002425399, 39.485859684050006], [-0.373138326339443, 39.48595722391424]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;33;5314.038;822.957;359.187;897.795;1326.234;1417.624;1539.407;1377.155;1260.851;692.125;828.262;
39.44488946159237, -0.3878447802930938;"{""coordinates"": [[[-0.387274937327332, 39.44541816208992], [-0.387749285812228, 39.444204094889535], [-0.388410222252113, 39.44435602668215], [-0.387947384013725, 39.445572603048475], [-0.387274937327332, 39.44541816208992]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;40;8433.355;970.707;649.121;1304.283;901.812;401.812;;;;;;
39.44505476135342, -0.3872675806402819;"{""coordinates"": [[[-0.387265995128949, 39.44491172895165], [-0.387282090068884, 39.44487369505238], [-0.387361222011151, 39.444891116753915], [-0.387224027881465, 39.44524923610708], [-0.387171281473175, 39.445237384833064], [-0.387283988113779, 39.444945551714596], [-0.387284797390151, 39.444944106869755], [-0.387286391371164, 39.44493997881264], [-0.387287035967559, 39.444935697885604], [-0.387286712300418, 39.44493139609428], [-0.387285429488183, 39.444927202470154], [-0.387283228028502, 39.444923245849075], [-0.387280173169127, 39.444919645713476], [-0.387276358424343, 39.4449165113707], [-0.387271899904897, 39.44491393822168], [-0.38726693180883, 39.444912004056405], [-0.387265995128949, 39.44491172895165]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;42;206.903;;;;;;;;;;;
39.44449449330761, -0.3914422436811254;"{""coordinates"": [[[-0.39106454126892, 39.44465102242889], [-0.391225530134354, 39.444207164497406], [-0.391846062244968, 39.44434542421499], [-0.391620981269267, 39.444787835745295], [-0.39106454126892, 39.44465102242889]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;45;2747.245;999.828;400.0;958.957;1100.0;900.0;99.915;294.106;200.0;;743.544;
39.48385281121253, -0.3723997686059372;"{""coordinates"": [[[-0.372204095543614, 39.48403698783663], [-0.372477038404683, 39.48357902425739], [-0.372573389653203, 39.483625267535096], [-0.372388623353764, 39.484086853183776], [-0.372204095543614, 39.48403698783663]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;46;722.142;;;;197.459;312.908;246.62;410.827;337.619;283.139;455.022;
39.48104168239585, -0.3737591669614949;"{""coordinates"": [[[-0.373682172055447, 39.481326309691504], [-0.373622806667719, 39.481281670846506], [-0.373562779179586, 39.48125465619766], [-0.373486528123446, 39.48123287647827], [-0.37339833879389, 39.481225282348525], [-0.373319409403177, 39.481233119602244], [-0.373259820008491, 39.48124941269673], [-0.373224581417355, 39.48125102147088], [-0.373190677025966, 39.481244641680036], [-0.373178342957492, 39.4812347504942], [-0.373177872058684, 39.48121977446502], [-0.373273335609752, 39.48109032858097], [-0.373274369375797, 39.48109035194901], [-0.373377466837077, 39.48113083547811], [-0.37337566111323, 39.48113794763285], [-0.373421194662456, 39.48115447646437], [-0.373419478589032, 39.48115920692311], [-0.373507427511454, 39.48119338591671], [-0.373510681454593, 39.48118869021666], [-0.373557663270226, 39.481207636353986], [-0.373560872355878, 39.48120413240111], [-0.373826167958626, 39.48130908713468], [-0.373902530193976, 39.48119381947137], [-0.373635934572652, 39.481090178740885], [-0.37364750205434, 39.48106897946812], [-0.373602236361791, 39.481045302907056], [-0.373605445437348, 39.48104179895253], [-0.373518988537486, 39.48100884561934], [-0.373515735765499, 39.481013541346265], [-0.373464231319194, 39.480992108343564], [-0.37344800765132, 39.48101439511552], [-0.373349387093343, 39.48097758933182], [-0.373348353328915, 39.48097756596453], [-0.373557674971667, 39.480650397616515], [-0.373595187991433, 39.48063455762332], [-0.373622852094552, 39.48063518288162], [-0.374232401639605, 39.481032786255525], [-0.374234668392217, 39.481054293689915], [-0.374227894114636, 39.481070829381814], [-0.373852300721889, 39.48148669845924], [-0.373827867537165, 39.48149637483972], [-0.373796973798139, 39.48149246951034], [-0.373774833796223, 39.481475933509394], [-0.373755911295395, 39.481432070918835], [-0.373729774127438, 39.48138110490363], [-0.373682172055447, 39.481326309691504]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;48;3478.444;;;;166.031;1001.003;743.909;716.51;477.499;94.495;1032.802;
39.480121054211935, -0.37116092414382923;"{""coordinates"": [[[-0.370935406190606, 39.480555194379], [-0.371083977452907, 39.48035348167579], [-0.370472753463435, 39.480100078930704], [-0.370572822338219, 39.47993889527365], [-0.370603919301845, 39.480032133483604], [-0.370669989681612, 39.4800508775847], [-0.370695926317795, 39.48001888240586], [-0.370849350023185, 39.480016604390556], [-0.371007697101968, 39.47994927346561], [-0.37109842441195, 39.480035655423094], [-0.371138015522079, 39.4799694708375], [-0.371157855488975, 39.4799680026071], [-0.371163140548494, 39.47989337543695], [-0.37139592601771, 39.47988522557982], [-0.371487355685932, 39.479887293751496], [-0.371543215568917, 39.47978314556616], [-0.37166314454768, 39.479816523216364], [-0.371636630258501, 39.47986383849384], [-0.371717237854455, 39.47989057728265], [-0.371732857908825, 39.479869848231154], [-0.371769491419591, 39.479882175601965], [-0.371768914444341, 39.47989749549411], [-0.371726925530132, 39.479961709902035], [-0.371544789176457, 39.48020099569852], [-0.371316186383922, 39.48009807934705], [-0.371181197794612, 39.48026751759848], [-0.371390537869924, 39.48035658350847], [-0.371325009088586, 39.480454763478754], [-0.371191047093329, 39.48039998476715], [-0.371099076347854, 39.480543565233475], [-0.370984178578411, 39.48057354694077], [-0.370935406190606, 39.480555194379]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;58;3566.824;321.02;390.921;169.901;462.284;25.002;;;;;;
39.477720813242044, -0.3656050343660962;"{""coordinates"": [[[-0.365644461587655, 39.477608890283655], [-0.365793014345319, 39.477605831916996], [-0.365579942870274, 39.477844221426075], [-0.365418888054045, 39.47779721899612], [-0.365644461587655, 39.477608890283655]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;85;361.715;320.832;312.043;345.862;345.862;351.107;342.406;335.242;351.107;351.107;226.497;294.36
39.477519357114986, -0.3665738742278841;"{""coordinates"": [[[-0.366489622648997, 39.47741247151175], [-0.366755762864905, 39.477388422350984], [-0.366621754296285, 39.47766865570255], [-0.366398224453303, 39.477605922086205], [-0.366489622648997, 39.47741247151175]]], ""type"": ""Polygon""}";Zonas verdes;Jardines;86;575.024;;;;;438.592;361.697;423.346;274.101;;;
