"barrio","metros_carril_bici","estaciones_valenbisi","Total_poblacion","X0_15_años","X16_64_años","X65_o_más","paradas_emt","paradas_metro","plazas_mob","paradas_taxis","plazas_parkings","superficie_zonas_verdes","amenity","monuments","shop","sport","distrito","superficie_barrio","RENTA_BRUTA","SALARIO","Precio_alquiler/m2","Precio_venta/m2","Cargadores","Hospitales","Universidad","Estadio","otros_servicios","indice_ricos","eco_friendly"
"CIUTAT DE LES ARTS I DE LES CIENCIES",0.0320343868067987,7.0604077674124e-06,0.00835145375916781,0.00138787444113707,0.00583593133460688,0.00112764798342387,1.81553342590605e-05,2.01725936211783e-06,2.52157420264729e-05,8.06903744847132e-06,NA,0.40197927308922,9.4811190019538e-05,7.0604077674124e-06,8.06903744847132e-05,7.66558557604775e-05,"QUATRE CARRERES",991444.153170414,23236.6666666667,14991.3333333333,"9.9",2638,NA,NA,NA,NA,0.661828577784415,0.351371799862168,1.47663422521129
"CIUTAT FALLERA",0.0366038525854569,4.03044555442062e-06,0.0120530474304949,0.00164845223175803,0.00804879977217798,0.00235579542655885,1.20913366632619e-05,NA,3.62740099897856e-05,2.01522277721031e-06,NA,0.290312993284917,NA,1.00761138860516e-05,1.00761138860516e-05,0.000167263490508456,"BENICALAP",496223.053504937,10427.25,5885,"8.7",1301,NA,NA,NA,NA,-1.34517574517209,-0.43600875995171,0.980442303231473
"CIUTAT JARDI",0.0448008865857976,8.2652278664018e-06,0.0321627567041249,0.00314078658923268,0.0197373641449675,0.00928460596992469,2.75507595546727e-05,NA,0.000104692886307756,5.51015191093453e-06,0.0016998818645233,0.230627408232165,0.000132243645862429,NA,7.16319748421489e-05,7.16319748421489e-05,"ALGIROS",362966.399534491,19337.8,10028.9,"9.2",2118,NA,NA,NA,NA,3.71236958211711,-0.00273096613099846,1.31768452023314
"CIUTAT UNIVERSITARIA",0.0505516562324776,1.80787810746282e-05,0.00995417685969029,0.00155477517241803,0.00596238199841238,0.00243701968885988,3.61575621492564e-05,NA,4.70048307940333e-05,1.80787810746282e-05,NA,0.239580006800973,4.70048307940333e-05,1.08472686447769e-05,3.61575621492564e-06,0.000271181716119423,"EL PLA DEL REAL",276567.318303169,24885,12974,"10.0",2395,NA,1,1,NA,3.29712566893447,0.276821953895081,1.99786830310167
"EL BOTANIC",0.031278391994685,5.41123396441576e-06,0.0179625911448781,0.0022673070310902,0.0120616405066827,0.00363364360710518,2.1644935857663e-05,NA,2.70561698220788e-06,NA,NA,0.146887945964066,3.51730207687024e-05,NA,5.41123396441576e-06,0.000308440335971698,"EXTRAMURS",369601.464869564,21658.8,12209.2,"10.0",2410,1,NA,1,NA,0.382590665079266,0.204067940337607,-0.828827842232629
"EL CALVARI",0.0497596701713643,1.06892025388237e-05,0.0532749854534971,0.00624249428267302,0.0351995439603463,0.0118329472104778,4.27568101552946e-05,NA,0.000138959633004708,1.06892025388237e-05,NA,0.0355950444542828,0.000138959633004708,NA,3.2067607616471e-05,NA,"CAMPANAR",93552.3483971751,12039,6409.25,"9.0",1808,NA,NA,NA,NA,3.93295951142468,-0.297369723270902,0.134670541731559
"EL CARME",0.044488353659461,1.30367403706267e-05,0.0179802723191683,0.00203894619396601,0.0125622030211358,0.00337912310406643,1.04293922965013e-05,NA,5.21469614825066e-06,7.82204422237599e-06,NA,0.387608364699472,0.000179907017114648,0.00062576353779008,7.82204422237599e-06,0.000219017238226528,"CIUTAT VELLA",383531.45478494,19456.3333333333,11629.3333333333,"11.5",2577,NA,NA,1,NA,4.32527652300613,0.274916913526523,2.65502108426096
"EL GRAU",0.0286270392981995,5.74753866146355e-07,0.00186181935707009,0.000254999131946933,0.00127614516746696,0.000330675057656203,2.87376933073178e-06,1.91584622048785e-07,7.6633848819514e-06,7.6633848819514e-07,NA,0.00528198802988501,8.42972337014654e-06,1.30277542993174e-05,7.6633848819514e-07,7.6633848819514e-06,"POBLATS MARITIMS",5219625.61141969,14487.3333333333,9199.33333333333,"10.2",1969,NA,NA,NA,NA,-5.48911871817494,-0.0610885957932861,-2.34226871012527
"EL MERCAT",0.0661931660665842,1.15905695495394e-05,0.0228102408734935,0.00259628757909682,0.016255773793229,0.00395817950116769,2.31811390990787e-05,NA,2.89764238738484e-05,1.7385854324309e-05,0.00249776773792573,0.00452032212432035,0.000591119047026507,0.000237606675765557,4.05669934233878e-05,NA,"CIUTAT VELLA",172554.074366387,22502.6666666667,12165.6666666667,"12.7",2757,NA,NA,NA,NA,10.5586169978331,0.445602142967423,1.58389243206834
"EL PILAR",0.0553789554191526,NA,0.0304930029099564,0.00384183332740763,0.0215886246978842,0.00506254488466458,3.09825268339325e-05,NA,NA,NA,0.00167305644903236,NA,0.000229270698571101,0.000260253225405033,6.19650536678651e-06,4.9572042934292e-05,"CIUTAT VELLA",161381.285225707,20565.6666666667,11816,"10.4",2533,NA,NA,1,NA,2.26324823669265,0.218959733706497,1.65824391096054
"EL PLA DEL REMEI",0.0362127970845895,1.55289611056613e-05,0.0183604083472602,0.00266580498980519,0.0108418030119359,0.00485280034551916,3.88224027641533e-05,NA,6.21158444226453e-05,7.76448055283066e-06,0.000520220197039654,0.0707602994381301,0.00011646720829246,9.31737666339679e-05,5.17632036855377e-06,0.00011646720829246,"L'EIXAMPLE",386374.848850166,42633.1666666667,16740.6666666667,"11.2",4029,NA,NA,NA,NA,-0.413757184593394,1,-0.97664973843201
"ELS ORRIOLS",0.0412554206141813,7.57226976648286e-06,NA,NA,NA,NA,4.79577085210581e-05,5.04817984432191e-06,9.08672371977943e-05,2.52408992216095e-06,NA,0.151394913531214,NA,6.81504278983457e-05,5.04817984432191e-06,3.02890790659314e-05,"RASCANYA",396182.398741115,NA,NA,"8.7",1170,NA,NA,NA,NA,-1.59067762192427,-0.177299266179464,0.255004836588077
"EN CORTS",0.0467915493225368,5.50179808687883e-06,0.0331840951610096,0.00420062283933198,0.0221942534824692,0.00678921883920847,3.85125866081518e-05,NA,0.000118288658867895,2.75089904343941e-06,0.00104534163650698,0.132070663075526,9.353056747694e-05,NA,0.000110035961737577,2.20071923475153e-05,"QUATRE CARRERES",363517.520711961,14661.1111111111,8506.66666666667,"8.8",1950,NA,NA,NA,NA,2.41364945719972,-0.177406571249115,0.665930800437393
"EXPOSICIO",0.0450947390950097,1.04967238358735e-05,0.0179835121118102,0.00290759250253695,0.0104967238358735,0.0045791957733998,2.8865990548652e-05,2.62418095896837e-06,8.65979716459561e-05,5.24836191793673e-06,0.00121761996496132,0.309784562206216,5.51078001383357e-05,1.57450857538102e-05,1.83692667127786e-05,0.000107591419317703,"EL PLA DEL REAL",381071.281148662,33679,16040.8,"11.0",3342,1,1,1,NA,0.0720610864811739,0.723870118682884,2.0392943181003
"FAVARA",0.0347800132938193,7.14627876246539e-06,0.0131241409472677,0.00163649783660457,0.00907934716771227,0.00240829594295084,1.42925575249308e-05,3.57313938123269e-06,4.28776725747923e-05,1.78656969061635e-05,NA,0.0403764750079294,8.21822057683519e-05,NA,NA,0.000121486738961912,"PATRAIX",279865.936731248,15216,9722,"8.0",1550,NA,1,NA,NA,2.52461312067099,-0.240315573332585,-1.39182396989461
"JAUME ROIG",0.0473598708152847,5.24848046770169e-06,0.0338579474971436,0.00571034674885944,0.0195033534179795,0.00864424733030468,3.14908828062101e-05,NA,7.87272070155253e-05,5.24848046770169e-06,NA,0.152993205633504,5.24848046770169e-05,NA,1.57454414031051e-05,6.82302460801219e-05,"EL PLA DEL REAL",190531.336860991,33166.5,15224.3333333333,"9.2",2772,NA,NA,NA,NA,-0.525338495615308,0.48342901904172,0.908030621154561
"L'AMISTAT",0.0555292488637641,9.6628874133123e-06,0.0338877461584862,0.00375403176007183,0.0218622827726191,0.00827143162579533,3.86515496532492e-05,4.83144370665615e-06,9.6628874133123e-05,4.83144370665615e-06,NA,0.103247952011242,8.21345430131546e-05,NA,1.44943311199685e-05,1.93257748266246e-05,"ALGIROS",206977.471065704,17251.1666666667,8987,"9.4",1946,NA,NA,NA,NA,-0.574560286295654,-0.0828412817563745,1.32913205157904
"L'HORT DE SENABRE",0.0311432024608092,4.69740629393888e-06,0.0398527949977775,0.00467861666876313,0.0261669017603865,0.00900727656862781,2.58357346166638e-05,NA,0.000119783860495441,2.34870314696944e-06,NA,0.0679714690732956,3.99279534984805e-05,NA,1.40922188818166e-05,8.22046101439304e-05,"JESUS",425766.875345789,14260.6666666667,8225.66666666667,"7.9",1474,NA,NA,NA,NA,-0.054331663081175,-0.324250736559864,-1.53172665159966
