"barrio","metros_carril_bici","estaciones_valenbisi","Total_poblacion","X0_15_años","X16_64_años","X65_o_más","paradas_emt","paradas_metro","plazas_mob","paradas_taxis","plazas_parkings","superficie_zonas_verdes","amenity","monuments","shop","sport","distrito","superficie_barrio","RENTA_BRUTA","SALARIO","Precio_alquiler/m2","Precio_venta/m2","Cargadores","Hospitales","Universidad","Estadio","otros_servicios","indice_ricos","eco_friendly"
"MORVEDRE",0.0426090468536854,4.67743930910726e-06,0.023677197782701,0.00281347974442802,0.0151712743990894,0.00569244363918354,3.27420751637508e-05,2.33871965455363e-06,6.3145430672948e-05,2.33871965455363e-06,NA,0.097594771184523,2.33871965455363e-05,2.33871965455363e-06,2.33871965455363e-06,9.58875058366988e-05,"LA SAIDIA",427584.38278523,17225.25,10014,"7.8",1850,NA,NA,NA,NA,-2.35542418213295,-0.167844104572262,-0.0728259035333257
"NA ROVELLA",0.0413769329596186,5.59986789570588e-06,0.0139810035129457,0.00184235653768724,0.0090381867836693,0.00310046019158916,2.79993394785294e-05,NA,8.21313958036863e-05,5.59986789570588e-06,NA,0.220392134148665,5.59986789570588e-06,NA,NA,0.000248260810042961,"QUATRE CARRERES",535726.923540549,10290.5,5170.33333333333,"8.2",1501,NA,NA,NA,NA,1.98763870557976,-0.465417675129105,0.8699011882294
"NATZARET",0.0314601230007688,2.18396398783593e-06,0.006735344938486,0.00105485460612475,0.00441269923742249,0.00126779109493876,1.31037839270156e-05,1.09198199391796e-06,4.04033337749646e-05,NA,NA,0.135394847425888,1.09198199391796e-06,NA,2.18396398783593e-06,0.000101554325434371,"POBLATS MARITIMS",915766.015895612,11272.4,6550.2,"10.2",1161,NA,NA,NA,NA,-2.01310777296689,-0.322650282666997,-0.910108712702869
"NOU MOLES",0.038089346437807,1.08317823106572e-05,0.0359168361693503,0.00432323511474104,0.0237771161446813,0.00781648490992797,2.43715101989786e-05,NA,0.000102901931951243,2.70794557766429e-06,NA,0.0494200067923733,1.48937006771536e-05,5.28049387644536e-05,5.41589115532858e-06,0.000181432353703507,"L'OLIVERETA",738567.280116863,14849.6,8381.45,"8.6",1617,1,NA,NA,NA,0.236428893997224,-0.242293322172691,-0.966441253631133
"PATRAIX",0.036228030694074,4.83524277371177e-06,0.0391864191857514,0.00465150354831072,0.025447882718045,0.00908703291939566,3.38466994159824e-05,NA,0.000101540098247947,1.61174759123726e-06,NA,0.0771543571925275,2.57879614597961e-05,NA,5.15759229195922e-05,2.90114566422706e-05,"PATRAIX",620444.544441571,17227.2222222222,9966.55555555555,"8.0",1918,NA,NA,NA,NA,-0.464624110678757,-0.146005046397979,-0.919250608056598
"PENYA-ROJA",0.045807115680973,6.59463928039855e-06,0.0146422974155782,0.00283569489057138,0.0098512919783687,0.00195531054663817,2.74776636683273e-05,NA,3.40723029487258e-05,6.59463928039855e-06,NA,0.322532816138826,4.39642618693237e-05,NA,0.000127496359421039,0.000154974023089366,"CAMINS AL GRAU",909829.900451718,28838.8333333333,18805.6666666667,"9.8",3429,NA,NA,NA,NA,3.04180175663454,0.679893665711807,2.22513397334084
"RUSSAFA",0.0317177405767485,7.98651648892989e-06,0.0278752244082193,0.00365896548285688,0.018452275882209,0.0057639830431534,3.19460659557196e-05,1.14093092698998e-06,NA,4.56372370795994e-06,0.000197381050369267,0.0329843130992804,0.000150602882362678,0.000407312340935424,1.25502401968898e-05,9.81200597211386e-05,"L'EIXAMPLE",876477.248835922,21475.0909090909,12061.8636363636,"10.6",2738,1,1,NA,1,0.55819784469776,0.285260410747396,-1.77692948191725
"SAFRANAR",0.0420837398516715,6.80797511422065e-06,NA,NA,NA,NA,2.04239253426619e-05,NA,7.71570512945006e-05,NA,NA,0.151250513787602,1.58852752665148e-05,NA,5.67331259518387e-05,8.62343514467948e-05,"PATRAIX",440659.660129123,17445.5,11120.8333333333,"8.0",1791,NA,NA,NA,NA,0.475608918313768,-0.122183353712158,0.340461562673493
"SANT ANTONI",0.0321957744943433,4.00989109591359e-06,0.0393811404529674,0.00518879907811219,0.0251901358645292,0.00900220551032601,2.0049455479568e-05,4.00989109591359e-06,9.22274952060126e-05,4.00989109591359e-06,0.0015037091609676,0.0423845488838066,1.60395643836544e-05,4.00989109591359e-06,3.20791287673087e-05,0.000180445099316112,"LA SAIDIA",249383.331387499,18058.1666666667,10647.3333333333,"7.2",1709,NA,NA,NA,NA,1.4093558723687,-0.194304619007042,-1.64484315077912
"SANT FRANCESC",0.0473773816034867,1.36972097702777e-05,0.0133707596040861,0.00155919904551661,0.00847628997950684,0.00333527057906262,5.93545756712033e-05,2.28286829504628e-06,4.1091629310833e-05,2.51115512455091e-05,0.00183770897751226,0.133890225504464,0.000333298771076757,0.000194043805078934,0.000105011941572129,1.82629463603702e-05,"CIUTAT VELLA",438045.419514544,34073.4,14387.4,"12.0",3417,1,NA,NA,NA,9.24105938528649,0.75019114901192,0.74314203264685
"SANT ISIDRE",0.0312520121365202,8.08825180368247e-06,0.0209607045492431,0.00270754229128271,0.0145103237358063,0.00374283852215406,2.02206295092062e-05,4.04412590184123e-06,6.67280773803804e-05,2.02206295092062e-06,NA,0.0729155900101974,6.06618885276185e-06,2.02206295092062e-06,4.04412590184123e-06,1.61765036073649e-05,"PATRAIX",494544.445089958,15105.5,9743.5,"8.0",1655,NA,NA,NA,NA,-3.58273271590845,-0.225401075235871,-1.4771853804459
"SANT LLORENS",0.0252721892830655,2.61440039040525e-06,NA,NA,NA,NA,5.88240087841181e-06,1.30720019520262e-06,1.50328022448302e-05,1.30720019520262e-06,NA,0.0725430748327696,6.53600097601312e-06,NA,0.00011438001708023,0.000101961615225805,"RASCANYA",1529987.5316267,NA,NA,"9.6",2594,NA,NA,NA,1,-0.0630829905750063,0.0968838325030792,-2.10646588949593
"SANT MARCEL.LI",0.0389797037538857,6.0609355281953e-06,NA,NA,NA,NA,2.72742098768788e-05,NA,9.69749684511248e-05,3.03046776409765e-06,NA,0.254498682828921,1.21218710563906e-05,NA,3.03046776409765e-06,0.00010303590397932,"JESUS",329982.061464943,13068.2222222222,7145,"7.3",1441,NA,NA,NA,NA,-0.816405832141461,-0.423935190038805,0.916600439761026
"SANT PAU",0.0233573721662226,2.82591178193254e-06,0.00459981367777293,0.000954387479079945,0.00292070827716283,0.000724717921530155,6.16562570603464e-06,NA,1.38726578385779e-05,2.05520856867821e-06,NA,0.17936575882068,2.26072942554603e-05,7.96393320362808e-06,2.23503931843756e-05,4.75266981506837e-05,"CAMPANAR",3892548.97138986,22169.7777777778,14387.7777777778,"10.3",3032,NA,1,NA,NA,-3.74619582590397,0.400319472599683,-1.37463065564039
"SOTERNES",0.040248156825195,4.46374313316715e-06,0.0217830664898557,0.00266931839363396,0.0142304131085369,0.00488333498768486,2.23187156658357e-05,4.46374313316715e-06,5.80286607311729e-05,NA,NA,0.0786511540064052,3.124620193217e-05,NA,NA,5.35649175980058e-05,"L'OLIVERETA",224027.227859429,14113.75,8355.5,"8.6",1631,NA,NA,NA,NA,-1.23219868544389,-0.25218547875042,-0.485319112125677
"TORMOS",0.0451034249225168,7.15410864434095e-06,0.0309558281040633,0.00401345494947527,0.0211833156958936,0.00575905745869447,2.14623259330229e-05,NA,0.000157390390175501,NA,NA,0.335885400851808,NA,NA,NA,0.000175275661786353,"LA SAIDIA",279559.634809578,13282,7957.66666666667,"8.4",1550,NA,NA,NA,NA,3.44116692568058,-0.30382758220419,2.26799944543879
"TORREFIEL",0.0373205968912157,8.58007972569374e-06,0.0375449988663482,0.00516663800815524,0.0247621100883521,0.00761625076984081,4.00403720532374e-05,1.43001328761562e-06,0.00010439096999594,1.43001328761562e-06,NA,0.262250136815829,7.15006643807811e-06,1.43001328761562e-05,1.71601594513875e-05,6.86406378055499e-05,"RASCANYA",699294.201431779,NA,NA,"3.0",1428,NA,NA,NA,NA,-1.53176706710079,-0.513992026843007,0.810559099034943
"TRES FORQUES",0.0497193950080278,5.70304049145251e-06,0.0181660849787734,0.00246371349230748,0.0120125042884961,0.00368986719796977,2.09111484686592e-05,1.90101349715084e-06,6.08324319088268e-05,NA,NA,0.137025052874632,1.90101349715084e-06,1.90101349715084e-06,NA,0.000174893241737877,"L'OLIVERETA",526035.192016659,11551,6106.66666666667,"8.6",1332,1,NA,NA,NA,-0.275122415290796,-0.413328793976559,1.01568738305408
"TRINITAT",0.0246394592184016,6.72449203153789e-06,0.0133985503728392,0.00168112300788447,0.00839720942438293,0.00332021794057183,1.84923530867292e-05,1.68112300788447e-06,4.37091982049963e-05,3.36224601576894e-06,NA,0.534092779604897,4.03469521892273e-05,3.1941337149805e-05,1.68112300788447e-05,0.000247125082159017,"LA SAIDIA",594840.469918023,18169.6,9902.4,"8.4",2699,1,NA,NA,NA,0.25969872168805,0.0102286356805299,1.85548148659134
"VARA DE QUART",0.0324113527019466,3.87146700998532e-06,0.00971835006181564,0.00103368169166608,0.00591560159125757,0.002769066778892,1.35501345349486e-05,NA,3.96825368523495e-05,2.90360025748899e-06,NA,0.019260548374677,6.77506726747431e-06,NA,2.90360025748899e-05,2.71002690698972e-05,"PATRAIX",1033200.07368865,16465.875,8619.25,"7.4",1616,NA,NA,NA,NA,-2.67114219018724,-0.288938172765163,-1.82408957304834
