"","SECCIONES","RENTA_BRUTA","SALARIO"
"292","09023",14931,6807
"293","09024",14482,7767
"294","09025",16882,9926
"295","09026",12047,7255
"296","09028",16670,9109
"297","09029",15148,8879
"298","09030",13102,7351
"299","09031",15930,10836
"300","09032",11930,7411
"301","09033",11621,6853
"302","09034",10850,5936
"303","09035",14341,6684
"304","09036",14091,6810
"305","09037",11582,5743
"306","09038",14322,10299
"307","09039",12758,8071
"308","09040",14167,6681
"309","09041",18164,11049
"310","09042",15706,9414
"311","10001",22150,10854
"312","10002",15359,8795
"313","10003",13617,8444
"314","10004",14414,8239
"315","10005",15740,7413
"316","10006",12475,7308
"317","10007",13584,7836
"318","10008",12302,6178
"319","10009",12303,6316
"320","10010",18317,10033
"321","10011",16547,8098
"322","10012",17140,9121
"323","10013",15205,10287
"324","10014",16014,9652
"325","10015",12953,6894
"326","10016",14603,7863
"327","10017",12765,7467
"328","10018",15888,9546
"329","10019",13582,7604
"330","10021",11955,7191
"331","10022",17785,10612
"332","10023",17917,9547
"333","10024",14071,7920
"334","10025",16166,10933
"335","10026",16783,9363
"336","10027",16597,9058
"337","10028",14093,7902
"338","10029",13392,8642
"339","10030",13255,8312
"340","10031",11875,6775
"341","10032",13494,7677
"342","10033",9257,4707
"343","10034",9032,4273
"344","10035",10437,5578
"345","10036",9252,4119
"346","10037",10271,4668
"347","10039",18230,12704
"348","10040",24656,15131
"349","10041",13296,5687
"350","10043",16682,9050
"351","10044",14652,8034
"352","10045",19484,9688
"353","10046",18985,10056
"354","10047",16734,8898
"355","10048",15871,10683
"356","10049",14924,9800
"357","10050",14809,8681
"358","10051",15000,9646
"359","10052",23022,15063
"360","10053",22032,14780
"361","10054",16618,11203
"362","10055",NA,NA
"363","11001",12216,8044
"364","11002",11804,7374
"365","11004",17547,10832
"366","11005",14862,9293
"367","11006",18342,10361
"368","11008",13241,7832
"369","11009",18377,12345
"370","11010",NA,NA
"371","11011",16540,9202
"372","11012",17740,8965
"373","11013",11837,6338
"374","11015",17790,9701
"375","11017",12888,7872
"376","11018",14782,8400
"377","11019",15567,8278
"378","11021",14022,7829
"379","11022",13096,7380
"380","11024",11985,5828
"381","11026",13208,7275
"382","11027",NA,NA
"383","11028",14807,8386
"384","11029",14798,9591
"385","11030",14271,8197
"386","11031",15637,9759
"387","11032",10733,5795
"388","11033",16430,9664
"389","11034",15250,7902
"390","11035",14186,7273
"391","11036",11184,6559
"392","11037",11220,5586
"393","11038",16992,9597
"394","11039",12962,7353
"395","11040",20831,12625
"396","11041",16597,10520
"397","11042",8645,4359
"398","11044",12028,7498
"399","11045",10348,5448
"400","11046",11704,6651
"401","11047",11307,6443
"402","11048",10975,6711
"403","11050",14115,6747
"404","11051",18564,10904
"405","11052",22014,15369
"406","11053",14353,9383
"407","11054",15077,9951
"408","11055",15418,9702
"409","12001",13318,7355
"410","12002",15163,8808
"411","12003",14042,8353
"412","12006",12749,7098
"413","12008",16081,9066
"414","12009",14520,7683
"415","12010",13411,7331
"416","12011",13175,7899
"417","12012",13878,8797
"418","12013",16480,10208
"419","12014",14912,10251
"420","12015",12478,7705
"421","12016",17782,13545
"422","12018",17015,10196
"423","12019",16936,10405
"424","12020",17900,10418
"425","12021",16020,9339
"426","12023",15272,8042
"427","12024",17014,9813
"428","12025",16420,11143
"429","12026",11777,6615
"430","12027",9245,5483
"431","12028",14658,8001
"432","12029",11795,7179
"433","12030",13856,8235
"434","12031",13864,8906
"435","12032",12128,6914
"436","12033",14863,8646
"437","12034",17003,10950
"438","12035",16641,9346
"439","12036",15695,9317
"440","12037",30089,17163
"441","12038",19359,13291
"442","12039",16683,9799
"443","12040",17782,12246
"444","12041",33711,21532
"445","12042",28527,19328
"446","12043",16342,9134
"447","12044",24413,14864
"448","12045",29315,21259
"449","12046",26978,18688
"450","12047",19876,12734
"451","12048",NA,NA
"452","13001",16724,10989
"453","13002",17681,10201
"454","13003",16220,9456
"455","13004",12844,6652
"456","13005",19086,12049
"457","13007",14361,7386
"458","13008",16906,9056
"459","13009",11723,5821
"460","13010",20869,11551
"461","13011",20495,9630
"462","13012",21176,11476
"463","13013",24505,11655
"464","13014",21815,12434
"465","13015",19517,9287
"466","13016",10290,5845
"467","13017",15757,8776
"468","13019",17214,9461
"469","13020",18048,10375
"470","13021",22681,10178
"471","13022",23607,13370
"472","13023",25094,14971
"473","13024",22105,12428
"474","13025",25777,14490
"475","13026",23389,11964
"476","13027",23960,13955
"477","13028",22689,12922
"478","13029",17568,7325
"479","13030",17027,9650
"480","14001",26646,14589
"481","14002",20944,11535
"482","14003",16143,8617
"483","14004",18948,10414
"484","14005",15530,9295
"485","14006",13197,7923
"486","14007",13936,8134
"487","14008",16092,10079
"488","14009",15929,9556
"489","14010",15974,8372
"490","14012",15142,8869
"491","14013",14665,8468
"492","14014",19077,10735
"493","14015",17913,11014
"494","14016",14231,8284
"495","14018",17213,9465
"496","14019",17839,11458
"497","14020",21691,12596
"498","14021",32108,17974
"499","14022",16168,9482
"500","14023",20980,11883
"501","14024",24209,14175
"502","16001",12906,7660
"503","16002",12804,7211
"504","16003",11817,6790
"505","16004",10255,6361
"506","16005",12626,7837
"507","16006",11667,6293
"508","16008",10449,6418
"509","16009",9419,5753
"510","16010",13760,7753
"511","16011",12857,8072
"512","16012",10850,6427
"513","16013",11062,6154
"514","16014",14173,8398
"515","16015",13345,7018
"516","16016",16651,9729
"517","16017",16118,11170
"518","16018",12659,6809
"519","16019",17365,10656
"520","16020",11358,6490
"521","16021",10061,5228
"522","16022",9658,5010
"523","16023",10632,6812
"524","16024",15355,9382
"525","16025",12431,7537
"526","16026",12300,6985
"527","16027",15276,8207
"528","16028",21699,12400
"529","16029",20846,17018
"530","16030",18421,13179
"531","16031",30149,21396
"532","16032",17824,14078
"533","16033",NA,NA
"534","17001",15294,9336
"535","17002",13602,7292
"536","17003",16326,9063
"537","17006",26691,17736
"538","17007",15535,8585
"539","18001",12758,7788
"540","18002",11373,6855
"541","18003",13710,8455
"542","18004",17503,11172
"543","18005",11993,6455
"544","18006",10465,5608
"545","18007",13488,8956
"546","18008",11656,7265
"547","18009",13845,7732
"548","18010",11802,7050
"549","19001",12156,7067
"550","19002",12466,6807
"551","19003",13469,8284
"552","19004",14880,8606
"553","19005",15736,9716
"554","19006",15932,9624
"555","19007",17523,9623
"556","19008",21178,12162
"557","19009",15722,8010
"558","19011",9553,5125
"559","19012",13022,9359
"560","19013",12989,7374
"561","19014",11450,5837
"562","19015",14854,8813
"563","19016",21749,12802
