"","districto","n_plazas"
"1","ALGIROS",136
"2","BENICALAP",153
"3","BENIMACLET",98
"4","CAMINS AL GRAU",177
"5","CAMPANAR",141
"6","CIUTAT VELLA",32
"7","EL PLA DEL REAL",107
"8","EXTRAMURS",89
"9","JESUS",164
"10","L'EIXAMPLE",48
"11","L'OLIVERETA",160
"12","LA SAIDIA",154
"13","PATRAIX",183
"14","POBLATS DE L'OEST",79
"15","POBLATS DEL NORD",34
"16","POBLATS DEL SUD",125
"17","POBLATS MARITIMS",298
"18","QUATRE CARRERES",301
"19","RASCANYA",132
