"","districto","plazas_parking"
"1","ALGIROS",617
"2","BENIMACLET",603
"3","CIUTAT VELLA",2112
"4","EL PLA DEL REAL",991
"5","EXTRAMURS",391
"6","L'EIXAMPLE",965
"7","L'OLIVERETA",483 
"8","LA SAIDIA",375
"9","POBLATS DE L'OEST",565
"10","POBLATS MARITIMS",742
"11","QUATRE CARRERES",1357
