"","id_plaza","n_plazas","districto","latitud","longitud"
"1412",223519,1,"POBLATS MARITIMS",39.47101792176,-0.330362058362881
"1413",223521,1,"POBLATS MARITIMS",39.4706813953761,-0.331946960897442
"1414",223526,1,"POBLATS DEL SUD",39.2906583420823,-0.283556792276176
"1415",223532,1,"L'EIXAMPLE",39.4672920435182,-0.36480992008339
"1416",223533,1,"POBLATS DEL SUD",39.432528138035,-0.37426063988762
"1417",223535,1,"POBLATS MARITIMS",39.4677069335561,-0.331507422266637
"1418",223538,1,"POBLATS DEL SUD",39.4326684509236,-0.376061129685623
"1419",223539,1,"BENICALAP",39.4993184253585,-0.394987194597446
"1420",223541,1,"L'OLIVERETA",39.4640948134676,-0.397226897612663
"1421",223544,1,"POBLATS MARITIMS",39.4718100410244,-0.32858387614844
"1422",223545,1,"POBLATS MARITIMS",39.4703415029422,-0.328831640377476
"1423",223546,1,"POBLATS MARITIMS",39.4706626026741,-0.330035173997411
"1424",223547,1,"POBLATS DEL SUD",39.2809086412062,-0.277190094869411
"1425",223554,1,"POBLATS MARITIMS",39.4762822270877,-0.329865701288072
"1426",223556,1,"POBLATS MARITIMS",39.4688308360307,-0.329926434187728
"1427",223563,1,"BENICALAP",39.4898250575033,-0.387394249799595
"1428",223565,1,"CAMINS AL GRAU",39.4692619496475,-0.35503820539495
"1429",223567,1,"QUATRE CARRERES",39.44924420314,-0.38029223192475
"1430",223571,1,"JESUS",39.4490400246957,-0.392343437729533
"1431",223573,1,"BENICALAP",39.4910031419843,-0.394178163752247
"1432",223576,1,"EL PLA DEL REAL",39.467268054273,-0.357515907355053
"1433",223578,1,"POBLATS MARITIMS",39.4632658425523,-0.334645263869058
"1434",223579,1,"POBLATS MARITIMS",39.4632382061045,-0.334424625650774
"1435",223582,1,"PATRAIX",39.4502714081463,-0.403510127675677
"1436",223584,1,"QUATRE CARRERES",39.4578345818658,-0.372589462705475
"1437",223593,1,"QUATRE CARRERES",39.4549229941179,-0.370627408118754
"1438",223595,1,"QUATRE CARRERES",39.4542772362528,-0.370584514238806
"1439",223603,1,"POBLATS DEL SUD",39.4218552997164,-0.33838092513114
"1440",223604,1,"CAMINS AL GRAU",39.4621505613223,-0.351529185123969
"1441",223605,1,"CAMINS AL GRAU",39.4618588781032,-0.346246936004908
"1442",223606,1,"CAMINS AL GRAU",39.4642220953992,-0.354115472220459
"1443",223607,1,"CAMINS AL GRAU",39.4641318018839,-0.354045498537597
"1444",223608,1,"JESUS",39.4521733909861,-0.385905990183089
"1445",223609,2,"POBLATS DEL SUD",39.3876573287196,-0.327747599536468
"1446",223612,1,"POBLATS DE L'OEST",39.4969283220051,-0.415076212917463
"1447",223616,1,"JESUS",39.4400443765197,-0.387581408390724
"1448",223618,1,"POBLATS DEL SUD",39.4328079348822,-0.390685145727328
"1449",223621,1,"POBLATS DEL SUD",39.4272586729936,-0.393509432031901
"1450",223630,1,"L'OLIVERETA",39.4694916919727,-0.405163727074849
"1451",223631,1,"QUATRE CARRERES",39.4523704757064,-0.36348691368782
"1452",223634,1,"CAMINS AL GRAU",39.4612048374162,-0.346570275909865
"1453",223636,1,"POBLATS MARITIMS",39.4734451218355,-0.333089808260294
"1454",223637,1,"POBLATS MARITIMS",39.4729580634888,-0.333392421984223
"1455",223639,1,"CAMPANAR",39.4840671351994,-0.387174775840437
"1456",223641,1,"POBLATS MARITIMS",39.4602626767366,-0.338907452863952
"1457",223646,2,"POBLATS MARITIMS",39.4587729968144,-0.338019184781599
"1458",223650,1,"POBLATS MARITIMS",39.4722825153034,-0.328065580608924
"1459",223652,1,"POBLATS MARITIMS",39.4700522783336,-0.328519718944121
"1460",223654,1,"POBLATS MARITIMS",39.451784733504,-0.333270666308516
"1461",223659,1,"POBLATS DEL SUD",39.4219553421207,-0.335485439189826
"1462",223660,1,"PATRAIX",39.4529213732864,-0.404151419649649
"1463",223664,1,"CAMPANAR",39.4850458913355,-0.403444365148031
