"","station","wday","hour","mean.day"
"1","1","1",0,6.54226997516471
"2","1","1",1,5.3048867048867
"3","1","1",2,4.65628485628486
"4","1","1",3,3.87057057057057
"5","1","1",4,3.46923811923812
"6","1","1",5,3.31895694395694
"7","1","1",6,3.12172887172887
"8","1","1",7,2.71164736164736
"9","1","1",8,2.34606587106587
"10","1","1",9,2.81765141765142
"11","1","1",10,3.42087233337233
"12","1","1",11,3.43306333898439
"13","1","1",12,3.78042475542475
"14","1","1",13,3.56007243507243
"15","1","1",14,4.0453550953551
"16","1","1",15,3.95162787662788
"17","1","1",16,3.43616766116766
"18","1","1",17,3.48285602496129
"19","1","1",18,3.91106986106986
"20","1","1",19,4.60960765960766
"21","1","1",20,4.88431808431809
"22","1","1",21,4.94903474903475
"23","1","1",22,4.85457762957763
"24","1","1",23,4.27361647361647
"25","1","2",0,4.1969111969112
"26","1","2",1,4.10617760617761
"27","1","2",2,3.996138996139
"28","1","2",3,3.94932432432432
"29","1","2",4,3.88041613041613
"30","1","2",5,3.93107695607695
"31","1","2",6,5.35054906893142
"32","1","2",7,6.21427966897075
"33","1","2",8,3.95474094676881
"34","1","2",9,4.83109272594567
"35","1","2",10,5.3011615151321
"36","1","2",11,3.88835884938826
"37","1","2",12,3.64933137874314
"38","1","2",13,2.67403132141491
"39","1","2",14,3.78724193958748
"40","1","2",15,4.75542647307353
"41","1","2",16,4.16656798967171
"42","1","2",17,3.11460036913073
"43","1","2",18,3.19004386415377
"44","1","2",19,3.05152911255853
"45","1","2",20,3.70664170664171
"46","1","2",21,4.92558597558597
"47","1","2",22,4.90839213339213
"48","1","2",23,4.38655083655084
"49","1","3",0,4.19256756756757
"50","1","3",1,3.98970398970399
"51","1","3",2,3.82480694980695
"52","1","3",3,3.7953667953668
"53","1","3",4,3.98885671385671
"54","1","3",5,4.41531921531922
"55","1","3",6,6.19422197796811
"56","1","3",7,6.68360366030645
"57","1","3",8,5.61033349110395
"58","1","3",9,8.27783953012282
"59","1","3",10,8.94924635954048
"60","1","3",11,7.40537240397921
"61","1","3",12,5.8876614058967
"62","1","3",13,4.23623160579548
"63","1","3",14,4.55961076675507
"64","1","3",15,4.48967912432309
"65","1","3",16,4.95442378677673
"66","1","3",17,4.51614444114444
"67","1","3",18,3.68583746390315
"68","1","3",19,3.37518697739286
"69","1","3",20,3.78059883059883
"70","1","3",21,5.36691615441615
"71","1","3",22,5.15422077922078
"72","1","3",23,4.25020377520378
"73","1","4",0,3.75511583011583
"74","1","4",1,3.56805019305019
"75","1","4",2,3.40097402597403
"76","1","4",3,3.3287752037752
"77","1","4",4,3.2231435981436
"78","1","4",5,3.53955188955189
"79","1","4",6,5.07162713017976
"80","1","4",7,7.6938697992952
"81","1","4",8,4.93813032176048
"82","1","4",9,5.78797547804518
"83","1","4",10,6.85605264618423
"84","1","4",11,5.72781913161223
"85","1","4",12,3.72720978037949
"86","1","4",13,3.69467416246298
"87","1","4",14,3.7305067444381
"88","1","4",15,4.49929444099127
"89","1","4",16,5.03699190113717
"90","1","4",17,4.05720065626974
"91","1","4",18,3.24037858938542
"92","1","4",19,2.57948737494016
"93","1","4",20,3.05478976432924
"94","1","4",21,3.96685069316648
"95","1","4",22,4.44859416898891
"96","1","4",23,4.11254366978051
"97","1","5",0,3.71658312447786
"98","1","5",1,3.45015664160401
"99","1","5",2,3.31466165413534
"100","1","5",3,3.03394465894466
"101","1","5",4,2.94890897390897
"102","1","5",5,3.33803088803089
"103","1","5",6,4.70014238021204
"104","1","5",7,5.98564328085158
"105","1","5",8,4.41941892642357
"106","1","5",9,5.74322887370596
"107","1","5",10,5.65367574283016
"108","1","5",11,5.53116127946722
"109","1","5",12,4.29359691127299
"110","1","5",13,2.84466083409751
"111","1","5",14,3.30115678960395
"112","1","5",15,4.31956620675983
"113","1","5",16,4.3696809585419
"114","1","5",17,4.54426200674588
"115","1","5",18,4.85954923707374
"116","1","5",19,3.44366953625532
"117","1","5",20,3.28815460365705
"118","1","5",21,5.3430595638929
"119","1","5",22,6.27107159815493
"120","1","5",23,5.29400653358987
"121","1","6",0,4.01746332371332
"122","1","6",1,3.55147707231041
"123","1","6",2,3.06696428571429
"124","1","6",3,2.76126126126126
"125","1","6",4,2.67717717717718
"126","1","6",5,3.50845584595585
"127","1","6",6,4.71261472445683
"128","1","6",7,4.89002561785849
"129","1","6",8,3.9621307991735
