Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d
Salamanca - Reina Doña Germana;155;T;19;1;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3630783484267159, 39.46495329574819], ""type"": ""Point""}";39.46495329574819, -0.3630783484267159
Corts Valencianes - La Safor;226;T;0;30;30;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3988594505654264, 39.49086439918327], ""type"": ""Point""}";39.49086439918327, -0.3988594505654264
Av. de la Plata (Museo Fallero);42;T;1;19;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3586583378805894, 39.45878127329601], ""type"": ""Point""}";39.45878127329601, -0.3586583378805894
General Urrutia - Av. de la Plata;44;T;0;19;19;T;23/01/2024 17:44:30;"{""coordinates"": [-0.36301435452576164, 39.45642926768604], ""type"": ""Point""}";39.45642926768604, -0.36301435452576164
Francia - Menorca;56;T;9;6;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.3444052893928658, 39.45842126509135], ""type"": ""Point""}";39.45842126509135, -0.3444052893928658
Plaza España;58;T;14;6;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3815864106638383, 39.46621830848607], ""type"": ""Point""}";39.46621830848607, -0.3815864106638383
Beato Nicolás Factor - Convento de Jesús;199;T;2;13;15;F;23/01/2024 17:44:30;"{""coordinates"": [-0.39155844823975844, 39.46158829801141], ""type"": ""Point""}";39.46158829801141, -0.39155844823975844
Moraira - Alta del Mar;273;T;15;0;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3332722584595297, 39.450305232524904], ""type"": ""Point""}";39.450305232524904, -0.3332722584595297
Moreras (Oceanográfico);51;T;9;11;20;T;23/01/2024 17:44:30;"{""coordinates"": [-0.3472273049060467, 39.45218324552497], ""type"": ""Point""}";39.45218324552497, -0.3472273049060467
Pío XII - Monestir de Poblet;173;T;4;16;20;F;23/01/2024 17:44:30;"{""coordinates"": [-0.394678441209281, 39.484541375368174], ""type"": ""Point""}";39.484541375368174, -0.394678441209281
Juan XXIII - Domingo Gómez;175;T;7;8;15;T;23/01/2024 17:44:30;"{""coordinates"": [-0.38271239433339566, 39.49258939642365], ""type"": ""Point""}";39.49258939642365, -0.38271239433339566
