"stop_id";"neighbours_in";"neighbours_out";"betweenness";"closeness";"pagerank";"eigenvector";"metros_in_Afternoon";"metros_in_Evening";"metros_in_Mid_morning";"metros_in_Midday";"metros_in_Morning";"metros_in_Night";"stop_name";"lines";"n_lines";"people_Afternoon";"people_Evening";"people_Mid_morning";"people_Midday";"people_Morning";"people_Night";"capacidad_hora";"metros_hora";"stop_lat";"stop_lon";"barrio";"geometry"
"82";1;2;0,015096251266464;0,0290697674418605;0,00566701725494659;7,33753360625861e-07;27;27;27;27;28;27;"Platja les Arenes";<chr>;2;6408,39130434783;6408,39130434783;6408,39130434783;6408,39130434783;6645,73913043478;6408,39130434783;1842,27122153209;7,76190476190476;39,4689292908;-0,3257277906;"CABANYAL-CANYAMELAR";c(-0.3257277906, 39.4689292908)
"83";2;1;0,0166413373860182;0,0291970802919708;0,0054583182652692;4,33294590441238e-07;45;45;45;45;44;39;"Dr. Lluch";<chr>;2;10680,652173913;10680,652173913;10680,652173913;10680,652173913;10443,3043478261;9256,5652173913;3121,12391304348;13,15;39,4693069458;-0,3281527758;"CABANYAL-CANYAMELAR";c(-0.3281527758, 39.4693069458)
"84";1;1;0,0165906788247214;0,03003003003003;0,00569590855365259;5,77674508534617e-08;27;27;27;27;25;18;"Cabanyal";<chr>;2;6408,39130434783;6408,39130434783;6408,39130434783;6408,39130434783;5933,69565217391;4272,26086956522;1886,29061784897;7,94736842105263;39,4728546143;-0,3275833428;"CABANYAL-CANYAMELAR";c(-0.3275833428, 39.4728546143)
"85";2;2;0,0431357649442756;0,0319051959890611;0,0102776246445017;2,41551969303601e-07;54;54;54;54;53;45;"La Cadena";<chr>;2;12816,7826086957;12816,7826086957;12816,7826086957;12816,7826086957;12579,4347826087;10680,652173913;3548,91511387164;14,952380952381;39,4752044678;-0,3293749988;"CABANYAL-CANYAMELAR";c(-0.3293749988, 39.4752044678)
"86";2;2;0,053419452887538;0,033718689788054;0,00772899590422029;8,9073216428835e-07;54;54;54;60;55;52;"Beteró";<chr>;2;12816,7826086957;12816,7826086957;12816,7826086957;14240,8695652174;13054,1304347826;12342,0869565217;3718,44927536232;15,6666666666667;39,4765930176;-0,3342027664;"LA CARRASCA";c(-0.3342027664, 39.4765930176)
"87";2;2;0,0653495440729483;0,0346964064436183;0,00542274682855129;6,58199616093245e-06;72;72;72;72;60;55;"Tarongers - Ernest Lluch";<chr>;2;17089,0434782609;17089,0434782609;17089,0434782609;17089,0434782609;14240,8695652174;13054,1304347826;4554,81780538302;19,1904761904762;39,47813797;-0,3396222293;"LA CARRASCA";c(-0.3396222293, 39.47813797)
"88";2;2;0,077178318135765;0,035732516590097;0,00512123912356769;5,13162764048803e-05;72;72;72;72;60;55;"La Carrasca";<chr>;2;17089,0434782609;17089,0434782609;17089,0434782609;17089,0434782609;14240,8695652174;13054,1304347826;4554,81780538302;19,1904761904762;39,4796600342;-0,3448249996;"LA CARRASCA";c(-0.3448249996, 39.4796600342)
"89";2;2;0,0889057750759878;0,0368130423349987;0,00621258950562658;0,000400447910346231;72;72;72;72;59;56;"Universitat Politècnica";<chr>;2;17089,0434782609;17089,0434782609;17089,0434782609;17089,0434782609;14003,5217391304;13291,4782608696;4554,81780538302;19,1904761904762;39,4813156128;-0,3504999876;"LA CARRASCA";c(-0.3504999876, 39.4813156128)
"9";2;2;0,107396149949341;0,034465780403742;0,00820191496166826;0,000220132795052735;48;48;48;48;38;22;"Alboraia Peris Aragó";<chr>;2;30732,3870967742;30732,3870967742;30732,3870967742;30732,3870967742;24329,8064516129;14085,6774193548;8491,84380305603;13,2631578947368;39,5007629395;-0,352327764;NA;c(-0.352327764, 39.5007629395)
"90";2;2;0,100531914893617;0,0391827595857823;0,00701111729397383;0,0015624761432411;72;72;72;72;60;55;"Vicente Zaragozá";<chr>;2;17089,0434782609;17089,0434782609;17089,0434782609;17089,0434782609;14240,8695652174;13054,1304347826;4554,81780538302;19,1904761904762;39,4833717346;-0,3579472303;"BENIMACLET";c(-0.3579472303, 39.4833717346)
"91";3;3;0,106053698074975;0,0405444540978859;0,0117647837184275;0,00246230826702177;72;72;72;72;62;53;"Trinitat";<chr>;2;17089,0434782609;17089,0434782609;17089,0434782609;17089,0434782609;14715,5652173913;12579,4347826087;4554,81780538302;19,1904761904762;39,4862709045;-0,3677638769;"TRINITAT";c(-0.3677638769, 39.4862709045)
"92";2;2;0,0569402228976697;0,0385356454720617;0,0103740608920338;0,00146594534411184;36;36;36;36;34;31;"Pont de Fusta";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;8069,82608695652;7357,78260869565;2362,17598343685;9,95238095238095;39,4817810059;-0,3731805682;"MORVEDRE";c(-0.3731805682, 39.4817810059)
"93";2;2;0,0529381965552178;0,0371944739638682;0,00846605839908496;0,00059277897939297;36;36;36;36;33;32;"Sagunt";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;7832,47826086956;7595,13043478261;2480,2847826087;10,45;39,4864997864;-0,3749722242;"SANT ANTONI";c(-0.3749722242, 39.4864997864)
"94";2;2;0,0525075987841945;0,0374732334047109;0,00640693798026617;0,000151981050028392;36;36;36;36;34;31;"Reus";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;8069,82608695652;7357,78260869565;2480,2847826087;10,45;39,4859657288;-0,3817070127;"MARXALENES";c(-0.3817070127, 39.4859657288)
"95";2;2;0,0562056737588652;0,0379506641366224;0,00581680022683961;1,99237502890615e-05;36;36;36;36;34;31;"Marxalenes";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;8069,82608695652;7357,78260869565;2480,2847826087;10,45;39,4879722595;-0,3838368952;"MARXALENES";c(-0.3838368952, 39.4879722595)
"96";2;2;0,0613728470111449;0,0380848748639826;0,00519734665457468;4,03329661473745e-06;36;36;36;36;34;31;"Trànsits";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;8069,82608695652;7357,78260869565;2480,2847826087;10,45;39,4895629883;-0,387258321;"BENICALAP";c(-0.387258321, 39.4895629883)
"97";2;2;0,0673505572441743;0,0387489620813728;0,00589012422351586;2,10563463060171e-06;36;36;36;36;34;31;"Benicalap";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;8069,82608695652;7357,78260869565;2480,2847826087;10,45;39,4900283813;-0,3909277916;"BENICALAP";c(-0.3909277916, 39.4900283813)
"98";2;2;0,0740374873353597;0,040709508578075;0,00790871680756174;8,44543613913301e-06;36;36;36;36;34;31;"Garbí";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;8069,82608695652;7357,78260869565;2480,2847826087;10,45;39,4922904968;-0,3945111036;"BENICALAP";c(-0.3945111036, 39.4922904968)
"99";2;2;0,0812056737588653;0,0411885848779053;0,00620230891658463;4,25526469508203e-05;36;36;36;36;33;32;"Florista";<chr>;1;8544,52173913043;8544,52173913043;8544,52173913043;8544,52173913043;7832,47826086956;7595,13043478261;2610,82608695652;11;39,4944343567;-0,3968166709;"BENICALAP";c(-0.3968166709, 39.4944343567)
