Código Sección;Código Distrito Sección;OBJECTID;Area;Código Distrito;geo_shape;geo_point_2d
27;1027;460;17431.249344;10;"{""coordinates"": [[[-0.3743054743542415, 39.450382137881704], [-0.3732826333087396, 39.45081397143258], [-0.3723204855542444, 39.449458918014265], [-0.3733797619480861, 39.449023420721986], [-0.37407981374878496, 39.45004821783657], [-0.3743054743542415, 39.450382137881704]]], ""type"": ""Polygon""}";39.44991649911481, -0.37331964812613927
28;0928;469;40471.8911575;9;"{""coordinates"": [[[-0.3893170991049943, 39.44922038926409], [-0.38810420777787696, 39.449008458133136], [-0.3855594416195071, 39.448523315254164], [-0.3858161370446614, 39.447835417583406], [-0.38961274862909967, 39.44772257099926], [-0.3893170991049943, 39.44922038926409]]], ""type"": ""Polygon""}";39.44835041097727, -0.3878041764972675
33;0933;477;17161.9810625;9;"{""coordinates"": [[[-0.3904250106986845, 39.445497617063516], [-0.3894270654133065, 39.44526800387034], [-0.38966337816996227, 39.44463819655157], [-0.39006468128748906, 39.44361570418842], [-0.3910553498333725, 39.44384514838447], [-0.3906833127775916, 39.444823257047126], [-0.3904250106986845, 39.445497617063516]]], ""type"": ""Polygon""}";39.44455746141814, -0.3902412103913589
15;1915;484;109577.0380515;19;"{""coordinates"": [[[-0.35908200569736526, 39.4339207727042], [-0.3612776583891646, 39.42984924438757], [-0.3634365013688801, 39.43018650421881], [-0.36312257849356705, 39.4316162373235], [-0.3613896025630597, 39.43466683917187], [-0.35908200569736526, 39.4339207727042]]], ""type"": ""Polygon""}";39.432205913296016, -0.3613765222296506
10;0310;494;115669.7202835;3;"{""coordinates"": [[[-0.37885836944844103, 39.46791237418445], [-0.37695411383000127, 39.46745499491857], [-0.37652726010842674, 39.46735076722082], [-0.37686057947617096, 39.466425889299245], [-0.3780779848696769, 39.463043555533034], [-0.37994569696786346, 39.46338747241248], [-0.38128743120952147, 39.46534108569734], [-0.38007055609943635, 39.4650929432842], [-0.37885836944844103, 39.46791237418445]]], ""type"": ""Polygon""}";39.46543066602767, -0.3786377529671197
35;0335;502;41246.245034;3;"{""coordinates"": [[[-0.38781306235559404, 39.46389792568095], [-0.38610382522168624, 39.46385948580155], [-0.38568095210052866, 39.463435568301385], [-0.38455770733146083, 39.46260851052963], [-0.38523847726203436, 39.4617319649456], [-0.38577023052097836, 39.461032239627066], [-0.38579427838994274, 39.461068815844854], [-0.38693717983977277, 39.46267105333486], [-0.38781306235559404, 39.46389792568095]]], ""type"": ""Polygon""}";39.462729552095794, -0.38608320031913645
24;0924;514;25443.009875;9;"{""coordinates"": [[[-0.39194707363551246, 39.4540180659134], [-0.391709385174399, 39.454373085533696], [-0.3900770795294533, 39.45370131913807], [-0.3905180636892453, 39.45301754045617], [-0.39089818626782874, 39.452426995526885], [-0.392564427695973, 39.453104016002136], [-0.39194707363551246, 39.4540180659134]]], ""type"": ""Polygon""}";39.453399639030316, -0.39131405508093214
6;1006;519;26781.402094;10;"{""coordinates"": [[[-0.3636835512018422, 39.46083953812825], [-0.3634114668487512, 39.46071625148166], [-0.3627875363711713, 39.460427326817545], [-0.36408553110709135, 39.45883070448395], [-0.36401587201730856, 39.45869399264528], [-0.3640713514223765, 39.45860966742138], [-0.36410460157950336, 39.4585563687846], [-0.3643414583924129, 39.45845813939504], [-0.3654130286974576, 39.4599733824706], [-0.363877441157648, 39.46053313291896], [-0.3636835512018422, 39.46083953812825]]], ""type"": ""Polygon""}";39.4597675389684, -0.3641182760778321
25;0225;390;21135.8308755;2;"{""coordinates"": [[[-0.3743241935360714, 39.46037327997471], [-0.3729690407821261, 39.460946236579254], [-0.37209408289977225, 39.45968324056801], [-0.373443422933354, 39.45911016253108], [-0.3743241935360714, 39.46037327997471]]], ""type"": ""Polygon""}";39.46002849886331, -0.37320810255771564
4;0904;408;22683.7962815;9;"{""coordinates"": [[[-0.3869052430041701, 39.459080346141526], [-0.38759469708197175, 39.458280555907905], [-0.3868095114764261, 39.457970108055754], [-0.38685411441582324, 39.45745761678211], [-0.3890351579694159, 39.45833544757637], [-0.38821142790233504, 39.45956014835744], [-0.3869052430041701, 39.459080346141526]]], ""type"": ""Polygon""}";39.45855614427062, -0.3878607722625532
