;Total;;;0 - 15 ;;;16 - 64;;;65 i més;;
;Total;Homes;Dones;Total;Homes;Dones;Total;Homes;Dones;Total;Homes;Dones
   2. Albors;8.911;4.134;4.777;1.069;522;547;5.871;2.851;3.020;1.971;761;1.210
   3. la Creu del Grau;14.851;7.181;7.670;1.947;1.041;906;9.995;4.962;5.033;2.909;1.178;1.731
   4. Camí Fondo;4.557;2.176;2.381;622;312;310;2.998;1.487;1.511;937;377;560
   5. Penya-roja;13.322;6.518;6.804;2.580;1.311;1.269;8.963;4.365;4.598;1.779;842;937
13. Algirós;;;;;;;;;;;;
   1. l'Illa Perduda;8.410;3.982;4.428;964;518;446;5.331;2.593;2.738;2.115;871;1.244
   2. Ciutat Jardí;11.674;5.480;6.194;1.140;571;569;7.164;3.551;3.613;3.370;1.358;2.012
   3. l'Amistat;7.014;3.341;3.673;777;403;374;4.525;2.239;2.286;1.712;699;1.013
   4. la Bega Baixa;5.424;2.523;2.901;597;311;286;3.453;1.640;1.813;1.374;572;802
   5. la Carrasca;3.297;1.548;1.749;306;154;152;2.182;1.054;1.128;809;340;469
14. Benimaclet;;;;;;;;;;;;
   1. Benimaclet;23.050;10.640;12.410;2.705;1.385;1.320;14.958;7.071;7.887;5.387;2.184;3.203
   2. Camí de Vera;5.267;2.496;2.771;589;316;273;3.387;1.604;1.783;1.291;576;715
15. Rascanya;;;;;;;;;;;;
   1. Orriols;17.092;8.462;8.630;2.548;1.288;1.260;11.513;5.972;5.541;3.031;1.202;1.829
   2. Torrefiel;26.255;12.670;13.585;3.613;1.883;1.730;17.316;8.557;8.759;5.326;2.230;3.096
   3. Sant Llorenç;11.258;5.432;5.826;2.141;1.093;1.048;7.639;3.668;3.971;1.478;671;807
16. Benicalap;;;;;;;;;;;;
   1. Benicalap;42.725;20.663;22.062;6.502;3.336;3.166;28.408;13.950;14.458;7.815;3.377;4.438
   2. Ciutat Fallera;5.981;2.910;3.071;818;439;379;3.994;1.982;2.012;1.169;489;680
17. Pobles del Nord;;;;;;;;;;;;
   1. Benifaraig;986;473;513;127;61;66;631;309;322;228;103;125
   2. Poble Nou;942;463;479;118;59;59;602;312;290;222;92;130
   3. Carpesa;1.196;568;628;136;72;64;729;354;375;331;142;189
   4. les Cases de Bàrcena;363;184;179;30;9;21;254;141;113;79;34;45
   5. Mauella;56;31;25;6;2;4;36;22;14;14;7;7
   6. Massarrojos;2.589;1.259;1.330;475;245;230;1.692;846;846;422;168;254
   7. Borbotó;743;370;373;116;57;59;456;239;217;171;74;97
18. Pobles de l'Oest;;;;;;;;;;;;
   1. Benimàmet;13.559;6.540;7.019;1.926;1.022;904;8.974;4.423;4.551;2.659;1.095;1.564
   2. Beniferri;1.199;593;606;223;99;124;781;392;389;195;102;93
19. Pobles del Sud;;;;;;;;;;;;
   1. el Forn d'Alcedo;1.320;646;674;183;93;90;849;429;420;288;124;164
   2. Castellar-l'Oliveral;6.790;3.299;3.491;922;471;451;4.304;2.126;2.178;1.564;702;862
   3. Pinedo;2.616;1.256;1.360;355;175;180;1.645;795;850;616;286;330
   4. el Saler;1.930;990;940;319;167;152;1.234;627;607;377;196;181
   5. el Palmar;749;353;396;94;44;50;431;207;224;224;102;122
   6. el Perellonet;1.475;758;717;198;102;96;981;511;470;296;145;151
   7. la Torre;4.969;2.442;2.527;675;355;320;3.217;1.626;1.591;1.077;461;616
   8. Faitanar;1.668;833;835;276;130;146;1.272;647;625;120;56;64
Font: Padró Municipal d’Habitants a 01/01/2023. Oficina d’Estadística. Ajuntament de València.;;;;;;;;;;;;
